"D_mc.chi.1.all","ox","D_mc.Z.1.all","mc.Z.1.all","D_mc.S.1.all","mc.S.1.all","mc.Z.0.all","mc.Z.2.all","mc.S.0.all","mc.chi.0.all","alpha","D_lc.Z.1.eq","D_lc.chi.1.eq","lc.Z.0.eq","lc.chi.0.eq","mc.chi.1.all","D_mc.chi.2.all","mc.S.2.all","D_mc.Z.2.all","f.S.1.all","f.S.2.all","D_mc.S.2.all","f.chi.3.all","f.S.0.all","mc.chi.2.all","f.Z.1.all","f.Z.3.all","f.Z.2.all","f.chi.0.all","f.Z.0.all","f.chi.1.all","f.S.3.all","f.chi.2.all","mc.S.3.all","mc.chi.3.all","lc.Z.0.ax","D_mc.Z.3.all","lc.chi.0.ax","D_mc.S.3.all","f.I.3.all","D_lc.Z.1.ax"
-6.96,2,120,1134,3.06,5.67,729,486,1.5876,3.5344,0.25,18,2.52,49,9.2416,34.2912,-5.76,8.3916,468,21.33,38.5866,16.02,1203.84,7.4268,74.448,2520,1260,2478,146.104,1041,309.3504,49.95,600.384,0,0,49,0,9.2416,0,180,18
-6.22,2,76,2080,1.96,6.925,676,728,1.5625,3.3489,0.05,10,0.03,256,6.6564,31.476,-4.36,5.7,180,26.914,43.5318,5.44,584.9296,11.9591,34.77,5328,5104,7604,135.9781,2172,238.144,49.5808,397.1928,3.75,22.2528,64,76,11.8336,2,88,14
-6.96,2,120,1134,3.06,5.67,729,972,1.5876,3.5344,0.2,1,0.49,49,9.2416,34.2912,-4.02,5.8212,126,27.6948,37.6974,2.94,523.3248,14.7624,28.764,3924,7704,4758,137.9374,2775,240.5544,50.0724,428.8944,7.7112,29.1024,49,66,9.2416,1.44,72,1
-4.32,2,120,936,2.88,5.775,676,1092,1.5625,3.3489,0.2,-1,-0.49,36,6.5025,27.999,-7.26,5.625,114,100.1616,158.0282,3,3147.752,39.3297,33.3792,6216,10088,9144,609.5935,2678,1314.678,204.2124,2277.6054,3.85,18.666,36,80,6.5025,1.92,516,-1
-8.94,2,108,1050,3.84,6.255,625,900,1.9321,2.4025,0.25,1,0.49,49,9.2416,28.272,-6,6.4218,114,28.8648,38.8986,3.72,513.108,15.1069,23.715,3756,7320,4614,136.8055,2671,228.516,51.6636,418.7964,8.5068,23.994,49,54,9.2416,2.22,72,1
-4.32,2,120,936,2.88,5.775,676,1092,1.5625,3.3489,0.1,-1,-0.49,36,6.5025,27.999,-7.26,5.625,114,100.1616,158.0282,3,3147.752,39.3297,33.3792,6216,10088,9144,609.5935,2678,1314.678,204.2124,2277.6054,3.85,18.666,36,80,6.5025,1.92,516,-1
-6.96,2,120,1134,3.06,5.67,729,1458,1.5876,3.5344,0.3,2,0.98,49,9.2416,34.2912,-7.28,10.5588,324,61.486,109.6154,9.26,2199.638,22.204,63.168,4944,9928,8102,321.524,1909,764.5104,152.3876,1431.536,9.6264,54.896,49,272,9.2416,7.48,340,18
-4.32,2,120,936,2.88,5.775,676,1092,1.5625,3.3489,0.15,-1,-0.49,36,6.5025,27.999,-7.26,5.625,114,100.1616,158.0282,3,3147.752,39.3297,33.3792,6216,10088,9144,609.5935,2678,1314.678,204.2124,2277.6054,3.85,18.666,36,80,6.5025,1.92,516,-1
-6.96,2,120,1134,3.06,5.67,729,486,1.5876,3.5344,0.2,18,2.52,49,9.2416,34.2912,-5.76,8.3916,468,21.33,38.5866,16.02,1203.84,7.4268,74.448,2520,1260,2478,146.104,1041,309.3504,49.95,600.384,0,0,49,0,9.2416,0,180,18
-7.96,2,110,1000,3.8,6.3106,625,650,1.9321,2.4025,0,18,2.52,49,9.2416,26.753,-10.78,8.2566,324,62.432,101.4702,13.52,2268.1496,23.5531,50.344,4256,5504,5596,384.8271,1749,827.854,130.1776,1472.6702,2.1406,7.905,36,38,6.5025,1.24,368,-1
-9.18,2,120,1344,2.88,5.2998,784,1008,1.4641,3.6481,0.2,2,0.89,64,11.8336,39.4224,-3.84,5.5902,132,45.2496,74.1738,2.64,1482.699,16.8406,29.223,4416,7176,6138,288.3472,1732,609.4488,90.9114,1280.907,8.3853,43.8345,64,198,11.8336,3.96,210,2
-7.96,2,110,1000,3.8,6.3106,625,650,1.9321,2.4025,0.05,18,2.52,49,9.2416,26.753,-10.78,8.2566,324,62.432,101.4702,13.52,2268.1496,23.5531,50.344,4256,5504,5596,384.8271,1749,827.854,130.1776,1472.6702,2.1406,7.905,36,38,6.5025,1.24,368,-1
-9.18,2,120,1344,2.88,5.2998,784,1008,1.4641,3.6481,0.25,2,0.89,64,11.8336,39.4224,-3.84,5.5902,132,45.2496,74.1738,2.64,1482.699,16.8406,29.223,4416,7176,6138,288.3472,1732,609.4488,90.9114,1280.907,8.3853,43.8345,64,198,11.8336,3.96,210,2
-7.58,2,118,1188,3.1,5.6196,729,1026,1.5876,3.5344,0,2,0.89,64,11.8336,35.4568,-5,5.7708,124,36.6492,59.4534,2.98,1149.5656,14.1494,30.6064,3696,5584,5128,224.822,1531,455.6576,72.6324,934.875,5.8212,28.764,36,126,6.5025,2.94,160,-1
-3.84,2,132,1008,2.64,5.5902,784,1176,1.4641,3.6481,0.1,-1,-0.49,36,6.5025,29.223,-6.78,5.445,126,18.1104,28.677,2.76,465.12,8.3965,34.8384,2520,2520,3432,98.1127,1294,151.47,34.65,264.7518,0,0,36,0,6.5025,0,60,-1
-3.84,2,132,1008,2.64,5.5902,784,1176,1.4641,3.6481,0.15,-1,-0.49,36,6.5025,29.223,-6.78,5.445,126,18.1104,28.677,2.76,465.12,8.3965,34.8384,2520,2520,3432,98.1127,1294,151.47,34.65,264.7518,0,0,36,0,6.5025,0,60,-1
-3.84,2,132,1008,2.64,5.5902,784,1176,1.4641,3.6481,0,-1,-0.49,36,6.5025,29.223,-6.78,5.445,126,35.2968,50.7102,2.76,725.526,14.4181,34.8384,3240,4752,4152,224.2477,1528,446.454,56.0868,757.7898,5.5902,29.223,36,132,6.5025,2.64,108,-1
-4.02,2,126,972,2.94,5.8212,729,1134,1.5876,3.5344,0.05,-1,-0.49,36,6.5025,28.764,-6.96,5.67,120,35.7588,51.1602,3.06,724.608,14.5416,34.2912,3168,4680,4068,224.134,1473,445.536,56.5488,756.6954,5.8212,28.764,36,126,6.5025,2.94,108,-1
-7.96,2,110,1000,3.8,6.3106,625,650,1.9321,2.4025,0.25,18,2.52,49,9.2416,26.753,-10.78,8.2566,324,62.432,101.4702,13.52,2268.1496,23.5531,50.344,4256,5504,5596,384.8271,1749,827.854,130.1776,1472.6702,2.1406,7.905,36,38,6.5025,1.24,368,-1
-6.76,2,76,2080,2,6.875,676,364,1.5625,3.3489,0.1,0,0,289,9.9856,32.4642,-2.42,1.875,38,56.9008,93.3894,1,1526.0264,23.2111,11.1264,6248,5856,8840,330.6695,2748,678.7644,98.9712,1291.899,1.925,9.333,36,40,6.5025,0.96,248,-1
-6.76,2,76,2080,2,6.875,676,364,1.5625,3.3489,0.15,0,0,289,9.9856,32.4642,-2.42,1.875,38,56.9008,93.3894,1,1526.0264,23.2111,11.1264,6248,5856,8840,330.6695,2748,678.7644,98.9712,1291.899,1.925,9.333,36,40,6.5025,0.96,248,-1
-11.34,2,102,1200,3.96,6.0882,625,900,1.9321,2.4025,0,2,0.89,64,11.8336,31.992,-6,6.4218,114,46.8264,75.837,3.72,1466.175,17.3086,23.715,4128,6852,5922,287.1016,1573,594.588,93.4062,1269.891,9.6327,35.5725,64,171,11.8336,5.58,210,2
-8.38,2,122,1288,2.84,5.3482,784,840,1.4641,3.6481,0.3,2,0.89,64,11.8336,37.8944,-4.3,6.413,250,37.1264,62.0862,6.8,1415.666,13.6615,44.694,3812,5156,4922,240.9707,1520,509.7808,77.1488,1053.578,5.5902,29.223,49,132,9.2416,2.64,200,18
-11.34,2,102,1200,3.96,6.0882,625,900,1.9321,2.4025,0.05,2,0.89,64,11.8336,31.992,-6,6.4218,114,46.8264,75.837,3.72,1466.175,17.3086,23.715,4128,6852,5922,287.1016,1573,594.588,93.4062,1269.891,9.6327,35.5725,64,171,11.8336,5.58,210,2
-7.26,2,114,1092,3,5.625,676,1872,1.5625,3.3489,0,2,0.98,49,9.2416,33.3792,-8.64,11.55,240,70.8018,123.6006,5.76,2340.699,26.0101,55.998,5424,12252,9474,370.0335,2074,873.2214,172.4166,1609.962,14.325,80.154,49,390,9.2416,11.04,366,2
-7.26,2,114,1092,3,5.625,676,1872,1.5625,3.3489,0.05,2,0.98,49,9.2416,33.3792,-8.64,11.55,240,70.8018,123.6006,5.76,2340.699,26.0101,55.998,5424,12252,9474,370.0335,2074,873.2214,172.4166,1609.962,14.325,80.154,49,390,9.2416,11.04,366,2
-9.74,2,106,1100,3.88,6.1994,625,900,1.9321,2.4025,0.25,13,2.17,49,9.2416,29.512,-11.8,10.4528,364,30.5496,58.3962,14.72,1585.792,10.3575,56.73,2952,2976,4072,185.8461,1113,404.362,75.036,860.692,4.1144,27.28,64,192,11.8336,8.16,248,14
-9.74,2,106,1100,3.88,6.1994,625,900,1.9321,2.4025,0.2,13,2.17,49,9.2416,29.512,-11.8,10.4528,364,30.5496,58.3962,14.72,1585.792,10.3575,56.73,2952,2976,4072,185.8461,1113,404.362,75.036,860.692,4.1144,27.28,64,192,11.8336,8.16,248,14
-7.88,2,112,1144,3.04,5.575,676,988,1.5625,3.3489,0.3,2,0.89,64,11.8336,34.5138,-5.3,5.725,118,65.666,105.7766,2.92,1976.4024,25.9255,29.7924,5288,8624,7804,411.4059,2248,849.2256,128.026,1597.8518,5.575,34.5138,36,112,6.5025,3.04,300,-1
-6.96,2,120,1134,3.06,5.67,729,972,1.5876,3.5344,0.25,1,0.49,49,9.2416,34.2912,-4.02,5.8212,126,27.6948,37.6974,2.94,523.3248,14.7624,28.764,3924,7704,4758,137.9374,2775,240.5544,50.0724,428.8944,7.7112,29.1024,49,66,9.2416,1.44,72,1
-4.32,2,120,936,2.88,5.775,676,1092,1.5625,3.3489,0.05,-1,-0.49,36,6.5025,27.999,-7.26,5.625,114,18.48,29.037,3,465.12,8.4949,33.3792,2376,2520,3264,97.8135,1186,149.022,34.65,261.8334,0,0,36,0,6.5025,0,60,-1
-9.66,2,108,1248,3.12,5.475,676,312,1.5625,3.3489,0.3,14,2.48,64,11.8336,37.7712,-4.44,5.55,300,17.4324,28.7298,10.56,908.16,6.4027,48.312,2688,960,2556,132.4305,1072,257.1744,32.412,509.712,0,0,64,0,11.8336,0,120,14
-4.32,2,120,936,2.88,5.775,676,1092,1.5625,3.3489,0,-1,-0.49,36,6.5025,27.999,-7.26,5.625,114,18.48,29.037,3,465.12,8.4949,33.3792,2376,2520,3264,97.8135,1186,149.022,34.65,261.8334,0,0,36,0,6.5025,0,60,-1
-10.54,2,104,1150,3.92,6.1438,625,900,1.9321,2.4025,0.2,2,0.89,64,11.8336,30.752,-6,6.4218,114,40.8392,63.521,3.72,1148.486,16.5747,23.715,4004,7008,5478,237.0029,1939,472.564,79.492,984.9128,9.2574,31.713,49,132,9.2416,4.46,164,1
-6.96,2,120,1134,3.06,5.67,729,1944,1.5876,3.5344,0.1,2,0.98,49,9.2416,34.2912,-8.04,11.6424,252,70.8918,123.7854,5.88,2345.079,26.0352,57.528,5508,12408,9618,370.219,2127,875.0454,172.6458,1613.022,14.4396,82.344,49,408,9.2416,11.22,366,2
-4.38,2,100,1456,2.38,6.4,676,1144,1.5625,3.3489,0.1,-2,-0.89,36,6.5025,28.1088,-7.88,5.575,112,22.7484,35.972,3.04,505.14,10.4573,34.5138,3848,4888,5216,121.4943,1758,183.7176,41.782,297.0072,1.875,11.1264,256,38,6.6564,1,64,10
-4.38,2,100,1456,2.38,6.4,676,1144,1.5625,3.3489,0.15,-2,-0.89,36,6.5025,28.1088,-7.88,5.575,112,22.7484,35.972,3.04,505.14,10.4573,34.5138,3848,4888,5216,121.4943,1758,183.7176,41.782,297.0072,1.875,11.1264,256,38,6.6564,1,64,10
-7.88,2,112,1144,3.04,5.575,676,598,1.5625,3.3489,0.2,14,2.48,64,11.8336,34.5138,-5.78,5.55,237,20.6152,32.4416,8.06,797.1546,8.0741,44.0664,2716,2064,2932,144.506,1164,272.3276,36.6384,504.386,0.9625,4.6665,36,20,6.5025,0.48,108,-1.5
-6.89,2,112,950,3.76,6.3662,625,925,1.9321,2.4025,0.2,-1,-0.49,36,6.5025,25.0945,-8.75,6.2411,138,33.9098,48.596,5.24,734.681,13.5338,30.38,2952,4040,3652,207.7491,1311,403.801,53.523,699.075,5.3515,19.7625,50,95,9.16805,3.1,110,6.5
-8.07,2,117,1215,3.12,5.5944,729,729,1.5876,3.5344,0.2,14,2.48,64,11.8336,36.378,-5.06,6.615,270,29.432,47.1456,8.61,1104.252,11.1849,48.3912,3278,3526,3850,192.3095,1351,397.64,58.519,728.5594,3.843,22.654,42.5,115,7.87205,3.25,160,0.5
-7.38,2,111,975,3.78,6.3384,625,1050,1.9321,2.4025,0.2,-1,-0.49,36,6.5025,25.854,-9.26,7.3392,158,39.737,59.6892,5.84,991.7376,15.5863,33.573,3314,5144,4426,236.9366,1421,479.78,72.1718,836.1952,7.4504,30.535,56.5,162,10.5376,5.76,154,8
-9.56,2,106,1100,3.88,6.1994,625,550,1.9321,2.4025,0.2,14,2.48,64,11.8336,29.233,-8.18,6.1994,228,24.7592,37.4126,9.44,824.2436,9.4769,36.704,2736,2312,2956,161.9901,1137,308.89,40.8516,571.8342,2.1406,7.905,36,38,6.5025,1.24,116,-1
-8.07,2,117,1215,3.12,5.5944,729,756,1.5876,3.5344,0.2,14,2.48,64,11.8336,36.378,-5.46,6.5898,269,26.5368,43.423,8.63,1074.444,10.1517,49.1432,3170,3244,3784,173.879,1327,350.516,54.7224,647.8904,2.8728,17.86,42.5,94,7.87205,2.76,152,0
-7.88,2,112,1144,3.04,5.575,676,572,1.5625,3.3489,0.2,14,2.48,64,11.8336,34.5138,-5.38,5.575,238,23.5104,36.1638,8.04,827.0996,9.1073,43.3344,2824,2336,3000,162.9365,1188,319.4516,40.4204,585.095,1.925,9.333,36,40,6.5025,0.96,116,-1
-5.8,2,122,1080,3.02,5.7204,729,1134,1.5876,3.5344,0.2,-1,-0.49,36,6.5025,32.1104,-6.62,6.6528,174,36.6838,55.7474,4.8,947.8736,14.4824,40.7208,3464,5106,4590,229.318,1503,472.1478,65.659,833.5578,6.7536,37.036,64,178,11.8336,4.72,142,9
-8.77,2,110,1196,3.08,5.525,676,468,1.5625,3.3489,0.2,14,2.48,64,11.8336,36.1425,-5.31,5.5375,268,17.5762,28.723,9.32,835.976,6.7218,46.5552,2648,1400,2706,129.253,1106,241.189,32.635,465.9024,0,0,50,0,9.16805,0,110,6
-5.7,2,117,1014,2.94,5.7,676,1092,1.5625,3.3489,0.2,-1,-0.49,36,6.5025,30.5244,-7.02,6.6,166,38.4602,58.2108,4.72,1002.7696,15.2167,39.6378,3392,5220,4510,237.883,1472,489.1208,70.671,848.3248,6.7,36.051,56.5,170,10.5376,4.64,154,8
-10.94,2,103,1175,3.94,6.116,625,1550,1.9321,2.4025,0.2,4,1.78,64,11.8336,31.372,-11.3,11.7316,238,55.5546,93.8116,8.24,1859.244,20.7587,46.345,4722,9160,7570,318.6846,1773,708.076,125.1526,1329.938,15.846,73.625,56.5,430,10.5376,16.4,282,8
-10.05,2,105,1125,3.9,6.1716,625,1700,1.9321,2.4025,0.2,4,1.78,64,11.8336,29.9925,-11.89,11.7177,207,55.7096,93.8036,6.86,1781.598,21.0778,44.857,4686,9388,7712,315.5071,1807,692.589,125.6952,1287.378,15.846,73.625,42.5,430,7.87205,16.4,272,0
-6.77,2,115,1066,2.98,5.65,676,1768,1.5625,3.3489,0.2,2,0.98,49,9.2416,32.4825,-8.81,10.5375,218,61.9352,101.708,5.32,2012.366,23.7458,52.9602,4808,10080,7836,351.4555,1946,778.149,143.484,1365.9724,14.25,86.925,42.5,450,7.87205,13.6,320,0
-8.06,2,112,1144,3.04,5.575,676,1612,1.5625,3.3489,0.2,2,0.98,49,9.2416,34.8432,-7.94,10.55,250,59.9242,99.141,6.56,2036.666,22.6673,54.717,4840,9750,7670,345.8825,1890,775.4534,137.6974,1390.857,14.25,86.925,64,450,11.8336,13.6,318,9
-5.7,2,117,1014,2.94,5.7,676,1352,1.5625,3.3489,0.2,-1,-0.49,36,6.5025,30.5244,-7.72,7.6,156,45.4648,70.242,3.92,1182.7076,17.8621,40.9188,3816,6678,5540,273.573,1618,577.8318,87.8196,1012.9018,9.55,53.436,56.5,260,10.5376,7.36,184,3
-7.78,2,110,1000,3.8,6.3106,625,1050,1.9321,2.4025,0.2,-1,-0.49,36,6.5025,26.474,-9.26,7.3392,158,37.8642,57.1202,5.84,934.8716,14.8269,33.573,3304,4954,4422,228.1861,1399,460.875,67.0526,819.2622,7.4504,30.535,64,162,11.8336,5.76,142,9
-9.56,2,106,1100,3.88,6.1994,625,575,1.9321,2.4025,0.2,14,2.48,64,11.8336,29.233,-8.58,6.1716,227,21.864,33.6848,9.46,795.7266,8.4437,37.324,2628,2052,2886,143.5596,1113,261.766,36.854,490.9012,1.0703,3.9525,36,19,6.5025,0.62,108,-1.5
-4.91,2,124,1026,2.98,5.7708,729,1107,1.5876,3.5344,0.2,-2,-0.89,36,6.5025,30.4372,-8.04,5.5566,148,21.1382,32.5382,4.41,613.752,9.0565,39.856,2672,2976,3536,135.159,1319,225.9904,37.3132,389.335,0.9702,4.794,50,21,9.16805,0.49,78,6.5
-8.47,2,116,1242,3.14,5.5692,729,756,1.5876,3.5344,0.2,14,2.48,64,11.8336,37.13,-5.46,6.5898,269,24.6692,40.8588,8.63,1021.162,9.3923,49.1432,3164,3026,3792,165.1285,1305,331.875,49.6052,633.0934,2.8728,17.86,50,94,9.16805,2.76,140,1
-8.77,2,110,1196,3.08,5.525,676,1482,1.5625,3.3489,0.2,4,1.78,64,11.8336,36.1425,-7.71,9.5625,229,48.4898,80.57,6.1,1602.153,18.3366,50.9472,4452,8060,6894,290.4435,1714,643.157,104.1138,1204.9194,12.3625,74.2065,50,380,9.16805,11.36,238,6.5
-9.66,2,108,1248,3.12,5.475,676,572,1.5625,3.3489,0.2,14,2.48,64,11.8336,37.7712,-5.14,6.55,290,24.437,40.761,9.76,1093.642,9.0481,49.593,3112,2598,3586,168.1205,1218,345.8854,49.2726,674.289,2.85,17.385,64,90,11.8336,2.72,150,9
-8.77,2,110,1196,3.08,5.525,676,442,1.5625,3.3489,0.2,14,2.48,64,11.8336,36.1425,-4.91,5.5625,269,20.4714,32.4452,9.3,865.209,7.755,45.8232,2756,1668,2774,147.6835,1130,288.313,36.4154,546.6114,0.9625,4.6665,50,20,9.16805,0.48,118,6.5
-4.91,2,124,1026,2.98,5.7708,729,1134,1.5876,3.5344,0.2,-2,-0.89,36,6.5025,30.4372,-8.44,5.5314,147,18.243,28.8156,4.43,581.416,8.0233,40.608,2564,2680,3470,116.7285,1295,178.8664,33.511,308.666,0,0,50,0,9.16805,0,70,6
-7.66,2,113,1118,3.02,5.6,676,1872,1.5625,3.3489,0.2,2,0.98,49,9.2416,34.1112,-8.64,11.55,240,68.796,113.738,5.76,2269.622,26.0721,55.998,5272,11438,8696,390.323,2058,882.8454,159.9636,1570.799,17.1,104.31,56.5,540,10.5376,16.32,360,3
-7.58,2,118,1188,3.1,5.6196,729,621,1.5876,3.5344,0.2,14,2.48,64,11.8336,35.4568,-5.28,5.5944,247,20.7044,32.5304,8.16,797.4096,8.0992,45.2704,2804,2076,2978,144.6915,1217,274.2136,36.6538,506.794,0.9702,4.794,36,21,6.5025,0.49,108,-1.5
-9.74,2,106,1100,3.88,6.1994,625,1550,1.9321,2.4025,0.2,2,0.98,49,9.2416,29.512,-11.3,11.7316,238,61.173,101.5042,8.24,2010.066,23.0369,46.345,4752,9610,7546,344.9361,1839,764.791,140.8894,1374.113,15.846,73.625,64,430,11.8336,16.4,318,9
-5.8,2,122,1080,3.02,5.7204,729,864,1.5876,3.5344,0.2,-1,-0.49,36,6.5025,32.1104,-5.92,5.6448,184,29.6792,43.7002,5.6,766.4256,11.837,39.4048,3040,3600,3540,193.628,1357,383.4368,48.4968,668.9108,3.8808,19.176,64,84,11.8336,1.96,112,14
-6.49,2,113,925,3.74,6.394,625,1275,1.9321,2.4025,0.2,-2,-0.89,36,6.5025,24.4745,-11.05,7.2419,124,31.2064,48.5106,4.52,842.675,12.8058,33.945,2954,4534,4390,178.4676,1383,322.921,60.4488,557.173,4.2395,18.6775,42.5,105,7.87205,3.9,120,0.5
-8.47,2,116,1242,3.14,5.5692,729,459,1.5876,3.5344,0.2,14,2.48,64,11.8336,37.13,-4.36,5.607,280,20.5598,32.5342,9.41,865.464,7.7801,47.0752,2848,1680,2808,147.869,1183,290.288,36.4308,549.1154,0.9702,4.794,50,21,9.16805,0.49,118,6.5
-10.94,2,103,1175,3.94,6.116,625,550,1.9321,2.4025,0.2,14,2.48,64,11.8336,31.372,-8.5,7.2836,278,27.5362,44.7908,11.44,1140.836,10.1771,42.005,3026,2800,3530,175.9246,1189,353.232,55.0286,673.198,3.1692,14.725,56.5,86,10.5376,3.28,162,8
-8.45,2,109,1025,3.82,6.2828,625,1675,1.9321,2.4025,0.2,2,0.98,49,9.2416,27.5125,-11.49,11.7455,208,66.096,107.7962,6.84,2015.171,25.1486,44.237,4834,10206,7770,368.9396,1919,815.333,150.676,1430.699,16.9163,77.5775,42.5,449,7.87205,17.02,328,0.5
-10.05,2,105,1125,3.9,6.1716,625,675,1.9321,2.4025,0.2,14,2.48,64,11.8336,29.9925,-8.69,7.2975,248,30.5864,48.5106,10.04,1096.299,11.5294,39.897,3098,3446,3742,191.1776,1247,384.869,59.312,711.571,4.2395,18.6775,42.5,105,7.87205,3.9,160,0.5
-7.58,2,118,1188,3.1,5.6196,729,594,1.5876,3.5344,0.2,14,2.48,64,11.8336,35.4568,-4.88,5.6196,248,23.5996,36.253,8.14,827.6096,9.1324,44.5184,2912,2360,3044,163.122,1241,321.3376,40.4512,587.463,1.9404,9.588,36,42,6.5025,0.98,116,-1
-7.38,2,111,975,3.78,6.3384,625,1300,1.9321,2.4025,0.2,-1,-0.49,36,6.5025,25.854,-9.96,8.4512,148,46.7416,71.9444,5.04,1166.3556,18.2317,34.658,3738,6574,5436,272.6266,1567,568.491,89.9588,1000.3802,10.6196,45.26,56.5,248,10.5376,9.04,184,3
-8.77,2,110,1196,3.08,5.525,676,728,1.5625,3.3489,0.2,14,2.48,64,11.8336,36.1425,-6.01,6.5375,258,24.5808,40.7542,8.52,1020.212,9.3672,47.8362,3072,2998,3736,164.943,1252,329.9,49.5596,630.4794,2.85,17.385,50,90,9.16805,2.72,140,1
-9.34,2,107,1075,3.86,6.2272,625,1800,1.9321,2.4025,0.2,2,0.98,49,9.2416,28.892,-12,12.8436,228,70.0504,116.3252,7.44,2237.702,26.4417,47.43,5186,11270,8552,389.3766,2007,872.407,163.794,1553.663,19.0152,88.35,56.5,516,10.5376,19.68,360,3
-9.26,2,109,1222,3.1,5.5,676,1612,1.5625,3.3489,0.2,4,1.78,64,11.8336,37.0392,-7.94,10.55,250,54.3226,91.4484,6.56,1885.844,20.3891,54.717,4816,9300,7694,319.631,1824,719.4104,121.9606,1346.682,14.25,86.925,56.5,450,10.5376,13.6,282,8
-8.37,2,111,1170,3.06,5.55,676,1768,1.5625,3.3489,0.2,4,1.78,64,11.8336,35.4105,-8.81,10.5375,218,54.4664,91.4432,5.32,1808.198,20.7082,52.9602,4776,9528,7848,316.4535,1858,703.425,122.5032,1303.5844,14.25,86.925,42.5,450,7.87205,13.6,272,0
-10.05,2,105,1125,3.9,6.1716,625,1675,1.9321,2.4025,0.2,4,1.78,64,11.8336,29.9925,-11.49,11.7455,208,58.6048,97.5314,6.84,1809.723,22.111,44.237,4794,9646,7782,333.9376,1831,739.713,129.692,1368.311,16.9163,77.5775,42.5,449,7.87205,17.02,280,0.5
-10.05,2,105,1125,3.9,6.1716,625,700,1.9321,2.4025,0.2,14,2.48,64,11.8336,29.9925,-9.09,7.2697,247,27.6912,44.7828,10.06,1068.174,10.4962,40.517,2990,3188,3672,172.7471,1223,337.745,55.3152,630.638,3.1692,14.725,42.5,86,7.87205,3.28,152,0
-10.54,2,104,1150,3.92,6.1438,625,800,1.9321,2.4025,0.2,14,2.48,64,11.8336,30.752,-9.2,8.3956,268,36.4136,59.6094,10.64,1372.392,13.5819,43.09,3460,4600,4530,220.3651,1357,460.848,77.7092,851.788,6.3384,29.45,49,172,9.2416,6.56,204,2
-10.45,2,104,1150,3.92,6.1438,625,675,1.9321,2.4025,0.2,14,2.48,64,11.8336,30.6125,-8.69,7.2975,248,28.7136,45.9464,10.04,1042.697,10.77,39.897,3088,3226,3750,182.4271,1225,365.964,54.194,696.774,4.2395,18.6775,50,105,9.16805,3.9,148,1.5
-9.34,2,107,1075,3.86,6.2272,625,1550,1.9321,2.4025,0.2,2,0.98,49,9.2416,28.892,-11.3,11.7316,238,63.0458,104.07,8.24,2060.34,23.7963,46.345,4762,9760,7542,353.6866,1861,783.696,146.135,1389.478,15.846,73.625,56.5,430,10.5376,16.4,330,8
-6.89,2,112,950,3.76,6.3662,625,1050,1.9321,2.4025,0.2,-2,-0.89,36,6.5025,25.0945,-10.75,6.1021,133,19.4338,29.957,5.34,581.416,8.3678,33.48,2412,2680,3302,115.5966,1191,168.181,33.511,294.41,0,0,50,0,9.16805,0,70,6
-5.21,2,118,988,2.92,5.725,676,1092,1.5625,3.3489,0.2,-2,-0.89,36,6.5025,29.6277,-8.79,5.4875,140,18.1514,28.7278,4.36,581.416,7.9982,39.528,2488,2680,3386,116.543,1242,177.2474,33.511,306.506,0,0,50,0,9.16805,0,70,6
-4.81,2,119,962,2.9,5.75,676,1248,1.5625,3.3489,0.2,-1,-0.49,36,6.5025,28.8957,-7.89,6.5875,134,38.604,58.2184,3.48,946.626,15.5358,37.881,3352,5432,4696,234.7055,1506,473.1354,70.9576,811.564,6.7,36.051,42.5,170,7.87205,4.64,144,0
-6.87,2,120,1134,3.06,5.67,729,1539,1.5876,3.5344,0.2,2,0.98,49,9.2416,34.122,-7.16,9.639,240,56.0486,90.9846,6.21,1813.896,21.3993,52.3392,4568,8824,6988,325.631,1855,719.696,125.1676,1268.8114,12.4614,76.234,50,397,9.16805,11.53,286,6.5
-5.4,2,123,1053,3,5.7456,729,1512,1.5876,3.5344,0.2,-2,-0.89,36,6.5025,31.3584,-8.92,7.56,160,33.9752,55.4732,4.08,1057.8516,13.7544,45.0448,3462,5606,5380,200.0365,1575,391.0038,72.7668,692.4618,5.7456,35.72,56.5,188,10.5376,5.52,152,3
-5.21,2,118,988,2.92,5.725,676,1066,1.5625,3.3489,0.2,-2,-0.89,36,6.5025,29.6277,-8.39,5.5125,141,21.0466,32.45,4.34,613.497,9.0314,38.796,2596,2964,3454,134.9735,1266,224.3714,37.2978,387.215,0.9625,4.6665,50,20,9.16805,0.48,78,6.5
-9.66,2,108,1248,3.12,5.475,676,1612,1.5625,3.3489,0.2,4,1.78,64,11.8336,37.7712,-7.94,10.55,250,52.4554,88.8858,6.56,1835.57,19.6297,54.717,4808,9150,7706,310.8805,1802,700.7294,116.715,1332.597,14.25,86.925,64,450,11.8336,13.6,270,9
-9.26,2,109,1222,3.1,5.5,676,572,1.5625,3.3489,0.2,14,2.48,64,11.8336,37.0392,-5.14,6.55,290,26.3042,43.3236,9.76,1146.156,9.8075,49.593,3120,2828,3574,176.871,1240,364.5664,54.3902,688.374,2.85,17.385,56.5,90,10.5376,2.72,162,8
-7.88,2,112,1144,3.04,5.575,676,624,1.5625,3.3489,0.2,14,2.48,64,11.8336,34.5138,-6.18,5.525,236,17.72,28.7194,8.08,767.2096,7.0409,44.7984,2608,1792,2864,126.0755,1140,225.2036,32.8564,423.677,0,0,36,0,6.5025,0,100,-2
