"D_mc.chi.1.all","D_mc.Z.1.all","mc.Z.1.all","D_mc.S.1.all","mc.S.1.all","mc.Z.0.all","mc.Z.2.all","mc.S.0.all","mc.chi.0.all","alpha","D_lc.Z.1.eq","D_lc.chi.1.eq","lc.Z.0.eq","lc.chi.0.eq","mc.chi.1.all","D_mc.chi.2.all","mc.S.2.all","D_mc.Z.2.all","f.S.1.all","f.S.2.all","D_mc.S.2.all","f.chi.3.all","f.S.0.all","mc.chi.2.all","f.Z.1.all","f.Z.3.all","f.Z.2.all","f.chi.0.all","f.Z.0.all","f.chi.1.all","f.S.3.all","f.chi.2.all","mc.S.3.all","mc.chi.3.all","lc.Z.0.ax","D_mc.Z.3.all","lc.chi.0.ax","D_mc.S.3.all","f.I.3.all","D_lc.Z.1.ax","ox2","ox3","d3","d4","d5","d6","d7","d8"
-7.26,114,1092,3,5.625,676,1612,1.5625,3.3489,0.2,1.5,0.735,49,9.2416,33.3792,-8.18,9.575,198,73.9,122.8326,4.84,2231.0176,28.9421,48.4584,5888,12280,9494,392.1495,2682,900.3728,162.026,1603.0736,12.1,62.8788,49,280,9.2416,7.82,344,1,1,0,0,0,0,1,0,0
-5.98,122,1080,3.02,5.7204,729,1674,1.5876,3.5344,0.2,2,0.98,49,9.2416,32.4488,-7.68,9.6516,208,142.6968,251.4544,4.94,5691.1766,54.4031,49.7824,9210,22264,15776,931.8485,3949,2012.1826,376.7588,3909.5776,13.986,75.6512,36,350,6.5025,9.06,888,-1,1,0,0,0,0,0,1,0
-7.26,114,1092,3,5.625,676,1248,1.5625,3.3489,0.2,1,0.49,49,9.2416,33.3792,-5.76,7.7,160,56.0948,87.3694,3.84,1535.2592,24.0595,37.332,5088,10372,7270,296.2391,2800,634.5924,118.8096,1111.5776,10.8,53.6556,49,220,9.2416,6.36,240,2,0,1,0,0,1,0,0,0
-7.26,114,1092,3,5.625,676,1872,1.5625,3.3489,0.2,2,0.98,49,9.2416,33.3792,-8.64,11.55,240,73.5276,124.1202,5.76,2347.1064,27.4705,55.998,5568,11700,9306,444.5481,2164,1013.8284,166.5732,1868.9832,16.95,109.6902,49,534,9.2416,16.44,372,2,0,1,0,0,1,0,0,0
-9.08,100,1056,3.16,5.6642,576,1536,1.6129,2.7556,0.2,8,1.82,49,9.2416,31.6064,-11.06,11.6586,272,50.326,95.4378,8.6,2393.7112,18.0675,56.938,4120,8552,7172,319.0896,1586,697.8668,141.8976,1482.9172,13.2334,88.4116,64,470,11.8336,17.52,384,2,0,1,1,0,0,0,0,0
-7.3,104,960,3.08,5.7658,576,1536,1.6129,2.7556,0.2,8,1.82,49,9.2416,28.6516,-11.06,11.6586,272,66.1732,119.4398,8.6,2662.288,23.9329,56.938,4592,8408,7672,373.347,1742,857.5492,167.7816,1692.2202,11.43,75.364,36,440,6.5025,16.4,456,0,0,1,1,0,0,0,0,0
-9.74,106,1100,3.88,6.1994,625,1300,1.9321,2.4025,0.2,2,0.98,49,9.2416,29.512,-10.6,10.6196,248,49.4714,88.0034,9.04,1874.023,17.7461,45.26,4088,7680,6520,273.5561,1547,614.625,123.1182,1208.766,10.5362,50.995,64,306,11.8336,11.88,294,14,1,0,0,0,1,0,0,0
-9.74,106,1100,3.88,6.1994,625,1300,1.9321,2.4025,0.2,2,0.98,49,9.2416,29.512,-10.6,10.6196,248,46.8404,79.5858,9.04,1552.308,17.3507,45.26,4096,7272,6272,274.8325,1597,607.796,103.2208,1107.3088,12.5656,61.938,64,340,11.8336,13.2,240,14,1,0,0,0,1,0,0,0
-9.74,106,1100,3.88,6.1994,625,1400,1.9321,2.4025,0.2,8,1.82,49,9.2416,29.512,-13.2,12.6768,344,44.5304,88.6834,13.12,2336.17,15.0101,58.9,3664,6464,6148,263.5811,1337,599.534,131.4004,1310.966,10.3694,62.465,64,422,11.8336,17.56,380,14,0,1,0,1,0,0,0,0
-9.18,120,1344,2.88,5.2998,784,1008,1.4641,3.6481,0.2,2,0.89,64,11.8336,39.4224,-3.84,5.5902,132,48.21,69.1794,2.64,1344.1008,19.2583,29.223,4644,6576,5652,353.3293,1924,719.6928,80.2212,1337.6952,8.1312,60.0504,64,288,11.8336,7.8,204,2,1,0,0,0,0,0,0,1
-6.96,120,1134,3.06,5.67,729,1944,1.5876,3.5344,0.2,2,0.98,49,9.2416,34.2912,-8.04,11.6424,252,59.7612,101.9946,5.88,1907.2224,22.2954,57.528,5016,10548,8442,347.6386,1989,800.9244,135.4836,1435.6152,17.0856,112.6872,49,558,9.2416,16.68,300,2,1,0,0,0,0,0,1,0
-8.28,102,1008,3.12,5.715,576,864,1.6129,2.7556,0.2,1,0.49,49,9.2416,30.2784,-5.34,5.8674,108,35.7312,50.7246,3,756.684,14.5669,25.398,3168,4500,3954,223.3552,1320,433.5708,56.3748,797.268,5.8674,25.398,49,108,9.2416,3,108,1,0,1,1,0,0,0,0,0
-10.12,78,1584,2.72,6.223,576,1152,1.6129,2.7556,0.2,4,1.78,64,11.8336,33.3328,-7.12,7.8232,144,53.9028,99.1622,4,2108.88,19.5719,33.864,5184,9568,8322,328.9812,2018,722.1176,131.1936,1635.6568,15.3416,92.296,289,512,9.9856,18.4,352,0,0,1,1,0,0,0,0,0
-8.28,102,1008,3.12,5.715,576,1152,1.6129,2.7556,0.2,1,0.49,49,9.2416,30.2784,-7.12,7.8232,144,56.2748,87.6158,4,1525.2904,24.1099,33.864,4920,10004,7078,295.6458,2700,628.3908,119.1552,1104.6416,10.9728,48.6712,49,196,9.2416,6.6,240,2,1,0,0,1,0,0,0,0
-7.2,100,1674,2.58,6.2748,729,1296,1.5876,3.5344,0.2,2,0.98,49,9.2416,34.7424,-5.36,7.7616,168,78.092,138.7454,3.92,2281.6456,29.211,38.352,7188,15168,11630,382.9584,2867,913.2288,180.9232,1740.4864,11.5416,61.2128,289,248,9.9856,5.96,344,0,0,1,0,0,0,1,0,0
-7.2,100,1674,2.58,6.2748,729,1404,1.5876,3.5344,0.2,8,1.82,49,9.2416,34.7424,-6.64,9.6264,272,42.5204,86.0494,7.48,2055.504,15.0124,54.896,4748,8160,7610,241.657,1887,549.4508,126.3656,1266.2828,9.3996,75.764,289,458,9.9856,15.22,340,0,0,1,0,0,0,1,0,0
-9.36,114,1296,3.18,5.5188,729,540,1.5876,3.5344,0.2,14,2.48,64,11.8336,38.8032,-3.9,5.67,250,45.5456,70.587,8.1,1564.7268,18.0144,42.676,4432,5336,5380,304.5214,1863,625.2124,85.1512,1110.4464,3.78,22.5224,64,80,11.8336,2.04,224,2,1,0,0,0,0,0,1,0
-7.5,94,1612,2.52,6.225,676,1248,1.5625,3.3489,0.2,2,0.98,49,9.2416,33.8184,-5.76,7.7,160,52.0588,86.8766,3.84,1556.016,20.3687,37.332,5288,9632,7886,287.1365,2190,624.1488,116.0744,1157.3968,11.4,69.54,289,360,9.9856,10.88,248,0,1,0,0,0,0,1,0,0
-7.26,114,1092,3,5.625,676,1872,1.5625,3.3489,0.2,2,0.98,49,9.2416,33.3792,-8.64,11.55,240,96.5968,168.0502,5.76,3041.7096,35.6487,55.998,7056,16952,12342,494.7099,2704,1188.7584,229.9068,2167.5336,17.15,94.3548,49,416,9.2416,11.28,468,2,1,0,0,0,0,1,0,0
