"D_mc.chi.1.all","D_mc.Z.1.all","mc.Z.1.all","D_mc.S.1.all","mc.S.1.all","mc.Z.0.all","mc.Z.2.all","mc.S.0.all","mc.chi.0.all","alpha","D_lc.Z.1.eq","D_lc.chi.1.eq","lc.Z.0.eq","lc.chi.0.eq","mc.chi.1.all","D_mc.chi.2.all","mc.S.2.all","D_mc.Z.2.all","f.S.1.all","f.S.2.all","D_mc.S.2.all","f.chi.3.all","f.S.0.all","mc.chi.2.all","f.Z.1.all","f.Z.3.all","f.Z.2.all","f.chi.0.all","f.Z.0.all","f.chi.1.all","f.S.3.all","f.chi.2.all","mc.S.3.all","mc.chi.3.all","lc.Z.0.ax","D_mc.Z.3.all","lc.chi.0.ax","D_mc.S.3.all","f.I.3.all","D_lc.Z.1.ax","ox2","ox3","d3","d4","d5","d6","d7","d8"
-6.1,116,1040,2.96,5.675,676,936,1.5625,3.3489,0.2,-2,-0.89,36,6.5025,31.2564,-7.92,5.5,172,18.0076,28.7218,5.6,639.9296,7.6791,41.2848,2528,2432,3204,119.7205,1208,193.2328,33.2944,343.9788,0,0,64,0,11.8336,0,80,14,1,0,0,0,0,1,0,0
-9.66,108,1248,3.12,5.475,676,312,1.5625,3.3489,0.2,14,2.48,64,11.8336,37.7712,-4.44,5.55,300,17.4324,28.7298,10.56,908.16,6.4027,48.312,2688,960,2556,132.4305,1072,257.1744,32.412,509.712,0,0,64,0,11.8336,0,120,14,1,0,0,0,0,1,0,0
-11.34,102,1200,3.96,6.0882,625,300,1.9321,2.4025,0.2,14,2.48,64,11.8336,31.992,-7.8,6.1716,288,18.6588,29.973,12.24,908.16,6.7723,40.92,2592,960,2532,131.4841,1021,245.616,32.412,494.928,0,0,64,0,11.8336,0,120,14,1,0,0,0,1,0,0,0
-6.1,116,1040,2.96,5.675,676,936,1.5625,3.3489,0.2,-2,-0.89,36,6.5025,31.2564,-7.92,5.5,172,18.0076,28.7218,5.6,639.9296,7.6791,41.2848,2528,2432,3204,119.7205,1208,193.2328,33.2944,343.9788,0,0,64,0,11.8336,0,80,14,0,1,0,0,1,0,0,0
-9.66,108,1248,3.12,5.475,676,312,1.5625,3.3489,0.2,14,2.48,64,11.8336,37.7712,-4.44,5.55,300,17.4324,28.7298,10.56,908.16,6.4027,48.312,2688,960,2556,132.4305,1072,257.1744,32.412,509.712,0,0,64,0,11.8336,0,120,14,0,1,0,0,1,0,0,0
