misc-dent-eq,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,f-chi-0-ax,f-chi-1-ax,f-chi-2-ax,f-chi-3-ax,f-Z-0-ax,f-Z-1-ax,f-Z-2-ax,f-Z-3-ax,f-I-0-ax,f-I-1-ax,f-I-2-ax,f-I-3-ax,f-T-0-ax,f-T-1-ax,f-T-2-ax,f-T-3-ax,f-S-0-ax,f-S-1-ax,f-S-2-ax,f-S-3-ax,f-chi-0-eq,f-chi-1-eq,f-chi-2-eq,f-chi-3-eq,f-Z-0-eq,f-Z-1-eq,f-Z-2-eq,f-Z-3-eq,f-I-0-eq,f-I-1-eq,f-I-2-eq,f-I-3-eq,f-T-0-eq,f-T-1-eq,f-T-2-eq,f-T-3-eq,f-S-0-eq,f-S-1-eq,f-S-2-eq,f-S-3-eq,lc-chi-0-ax,lc-chi-1-ax,lc-chi-2-ax,lc-chi-3-ax,lc-Z-0-ax,lc-Z-1-ax,lc-Z-2-ax,lc-Z-3-ax,lc-I-1-ax,lc-I-2-ax,lc-I-3-ax,lc-T-0-ax,lc-T-1-ax,lc-T-2-ax,lc-T-3-ax,lc-S-0-ax,lc-S-1-ax,lc-S-2-ax,lc-S-3-ax,lc-chi-0-eq,lc-chi-1-eq,lc-chi-2-eq,lc-chi-3-eq,lc-Z-0-eq,lc-Z-1-eq,lc-Z-2-eq,lc-Z-3-eq,lc-I-1-eq,lc-I-2-eq,lc-I-3-eq,lc-T-0-eq,lc-T-1-eq,lc-T-2-eq,lc-T-3-eq,lc-S-0-eq,lc-S-1-eq,lc-S-2-eq,lc-S-3-eq,D_lc-chi-1-ax,D_lc-chi-2-ax,D_lc-chi-3-ax,D_lc-Z-1-ax,D_lc-Z-2-ax,D_lc-Z-3-ax,D_lc-T-1-ax,D_lc-T-2-ax,D_lc-T-3-ax,D_lc-S-1-ax,D_lc-S-2-ax,D_lc-S-3-ax,D_lc-chi-1-eq,D_lc-chi-2-eq,D_lc-chi-3-eq,D_lc-Z-1-eq,D_lc-Z-2-eq,D_lc-Z-3-eq,D_lc-T-1-eq,D_lc-T-2-eq,D_lc-T-3-eq,D_lc-S-1-eq,D_lc-S-2-eq,D_lc-S-3-eq,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-2-all,mc-I-3-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,ox,spin,charge_lig
2,308.8172,717.6848,1377.96,2007.75,1768,4698,7698,9508,50,114,210,310,324,900,1550,2030,21.789,59.8602,105.9922,143.9246,17.7976,20.064,14.52,0,58,21,3,0,2.5,3,3,0,6,9,3,0,0.75305,0.8325,0.4107,0,135.2332,307.836,484.936,583.6942,538,1296,1852,1936,22,48,76,94,124,312,452,476,9.335,23.408,34.99,38.5774,10.5376,10.032,0,0,56.5,10.5,0,0,1.5,0,0,4.5,4.5,0,0,0.5477,0.41625,0,0,9.2416,15.504,29.944,39.1856,49,84,133,182,2,4,5,4,12,20,24,0.5625,1.155,2.01,2.5725,1.26,0,0,9,0,0,3,0,0,0.57,0,0,0.98,2.31,2.31,2,9,9,-2,-2,-2,-0.04,0.32,0.32,2.7556,30.9424,44.82,48.472,576,1032,1224,1248,11,12,102,162,168,1.6129,5.6896,9.2329,9.7028,-8.68,-8.74,-9.28,101,213,236,19,39,44,3.14,6.7,7.6,4,1,-2
1,344.953,763.8624,1380.438,1953.18,1910,4816,7560,9760,57,122,210,310,332,882,1410,1870,23.1529,60.711,99.583,137.393,38.89385,69.564,99.77,98.373,149,258,290,180,6,11,16,17,27,63,76,56,2.3722,4.9511,6.3608,5.1451,65.9541,139.128,199.54,196.746,234,516,580,360,11,22,32,34,54,126,152,112,4.2115,9.9022,12.7216,10.2902,10.5376,7.752,14.44,10.564,56.5,42,49,28,1,2,1.5,2,6,8,5,0.5477,0.5775,0.855,0.56625,9.2416,15.504,28.88,21.128,49,84,98,56,2,4,3,4,12,16,10,0.5625,1.155,1.71,1.1325,0.49,1.33,1.085,1,7,6.5,-1,0,0.5,-0.02,0.36,0.37,0.98,2.66,2.17,2,14,13,-2,0,1,-0.04,0.72,0.74,3.3489,34.1112,46.665,86.925,676,1118,1560,1820,10,20,96,180,240,1.5625,5.6,9.625,14.25,-7.66,-7.2,-10.9,113,200,450,20,30,80,3.02,4.8,13.6,4,5,-2
1,100.5594,151.7268,300.6622,422.6484,1421,2640,3256,3064,13,24,42,52,66,160,176,120,8.9128,18.7458,28.2816,31.1574,17.11705,14.331,7.8432,0,202.5,138,112,0,2,2,1,0,3,4,1,0,1.36435,1.3629,0.765,0,15.7441,15.504,0,0,85,84,0,0,2,2,0,0,2,2,0,0,1.1554,1.155,0,0,10.5376,3.876,3.9216,0,56.5,21,56,0,0.5,0.5,0,0.5,1,0.5,0,0.5477,0.28875,0.3825,0,6.5025,7.752,0,0,36,42,0,0,1,0,0,1,1,0,0,0.5929,0.5775,0,0,0.245,0.23,0,0.5,-4.5,0,-0.5,0,0,-0.01,-0.135,0,-0.49,0,0,-1,0,0,0,0,0,0.02,0,0,3.3489,30.5244,26.9193,4.7214,676,1014,884,416,5,1,66,36,6,1.5625,5.7,4.7125,1.275,-5.7,-5.56,-0.75,117,96,10,25,24,5,2.94,2.48,0.23,4,5,-7
1,351.4935,774.0904,1439.555,2081.432,1895,4746,7784,9918,59,124,222,332,346,924,1526,2108,22.5398,59.4916,99.9724,145.9774,42.07135,73.746,123.2595,100.98,115,180,180,108,7,12,21,18,33,72,84,72,2.0531,4.2966,5.5083,5.1282,65.9541,139.128,199.54,196.746,234,516,580,360,11,22,32,34,54,126,152,112,4.2115,9.9022,12.7216,10.2902,10.5376,11.628,30.096,0,56.5,63,31.5,0,1.5,4.5,0,4.5,18,13.5,0,0.5477,0.86625,1.24875,0,9.2416,15.504,28.88,21.128,49,84,98,56,2,4,3,4,12,16,10,0.5625,1.155,1.71,1.1325,0.735,3.78,0,1.5,27,0,-1.5,9,0,-0.03,1.71,0,0.98,2.66,2.17,2,14,13,-2,0,1,-0.04,0.72,0.74,3.5344,35.0432,52.734,108.664,729,1161,1782,1755,11,25,102,216,246,1.5876,5.6448,10.6722,15.687,-7.36,-7.37,-10.8,119,231,610,19,30,109,3.08,5.39,19.05,4,4,-2
4,261.978,620.6344,1234.28,1739.272,1787,4664,7674,9832,41,96,180,260,276,780,1388,1788,18.678,52.1132,94.852,126.622,16.6736,15.136,4.84,0,65,16,1,0,2,2,1,0,3,4,1,0,0.6698,0.5402,0.1369,0,225.0964,518.772,829.464,958.168,928,2256,3360,2920,36,80,128,152,208,528,768,744,15.7508,39.7936,60.6144,61.3496,11.8336,7.568,0,0,64,8,0,0,1,0,0,2,2,0,0,0.5329,0.2701,0,0,9.2416,15.504,31.008,42.256,49,84,168,112,2,4,6,4,12,24,20,0.5625,1.155,2.31,2.265,1.24,0,0,7,0,0,1,0,0,0.36,0,0,0.98,1.96,4.34,2,4,26,-2,-4,2,-0.04,-0.08,1.48,3.5344,35.7952,46.624,57.528,729,1188,1350,1944,10,12,96,156,216,1.5876,5.6196,8.694,11.6424,-7.76,-6,-8.04,118,220,252,20,34,36,3.1,5.7,5.88,4,2,-4
1,155.1155,299.0384,638.711,896.512,1146,2888,3148,1984,23,44,84,124,128,336,490,536,7.8623,20.9388,34.402,41.8188,32.8561,51.204,80.9505,33.66,103,132,90,36,5,8,13,6,21,40,34,24,1.5365,2.8336,3.0349,1.7094,21.5136,30.272,9.68,0,66,32,2,0,3,4,2,0,6,8,2,0,0.8067,1.0804,0.2738,0,11.8336,8.772,22.704,0,64,48,24,0,1,3,0,2,8,6,0,0.5329,0.5621,0.8103,0,11.8336,15.136,0,0,64,16,0,0,2,0,0,4,4,0,0,0.5329,0.5402,0,0,0.89,3.72,0,2,21,0,-2,3,0,-0.04,1.08,0,2.48,0,0,14,0,0,2,0,0,0.72,0,0,3.3489,37.7712,41.541,24.156,676,1248,520,156,10,6,96,96,36,1.5625,5.475,5.625,2.775,-9.66,-4.4,-2.22,108,240,150,20,44,30,3.12,8,5.28,4,5,-2
1,243.9796,489.231,931.039,1347.918,1411,3472,3988,3048,39,78,142,204,220,572,810,848,14.5559,38.1846,59.9358,69.926,77.76135,153.459,251.9715,330.6625,261,522,735,790,13,25,43,56,68,170,246,278,4.6985,10.7877,16.1239,20.2328,21.5136,30.272,9.68,0,66,32,2,0,3,4,2,0,6,8,2,0,0.8067,1.0804,0.2738,0,9.16805,3.876,3.25125,6.5025,50,21,18,36,0.5,0.5,1,0.5,1,1.5,3,0.5629,0.28875,0.29645,0.5929,11.8336,15.136,0,0,64,16,0,0,2,0,0,4,4,0,0,0.5329,0.5402,0,0,-0.245,0,0,-0.5,0,0,-0.5,-1,-2,0.01,0,0,2.48,0,0,14,0,0,2,0,0,0.72,0,0,2.4025,30.6125,31.992,3.9525,625,1150,375,150,9,1,90,60,18,1.9321,6.1438,5.1569,1.0703,-10.45,-6.69,-1,104,210,19,21,44,3,3.92,8.8,0.62,4,4,-2
1,111.763,197.2074,437.238,805.2,1880,4766,6510,2040,22,42,90,150,132,372,570,510,9.7669,26.841,48.192,55.167,15.57485,14.454,14.52,0,146,45,3,0,2.5,3,3,0,6,9,3,0,1.0336,1.1766,0.4107,0,19.3161,28.908,29.04,0,228,90,6,0,4,6,6,0,12,18,6,0,1.5343,2.3532,0.8214,0,8.31485,7.227,0,0,144.5,22.5,0,0,1.5,0,0,4.5,4.5,0,0,0.82825,0.5883,0,0,4.7961,14.454,0,0,225,45,0,0,3,0,0,9,9,0,0,1.1236,1.1766,0,0,-0.015,0,0,21,0,0,3,0,0,1.035,0,0,-0.03,0,0,42,0,0,6,0,0,2.07,0,0,3.3489,26.3337,60.39,0,676,2158,390,0,15,0,126,90,0,1.5625,7.5375,6.9375,0,-3.41,-5.55,0,73,375,0,15,75,0,1.47,13.2,0,4,1,-2
1,287.693,633.6104,1216.049,1564.2,1723,4368,6968,8260,47,100,180,244,280,744,1226,1552,18.5874,49.4928,83.6344,110.592,32.8561,51.204,80.9505,33.66,103,132,90,36,5,8,13,6,21,40,34,24,1.5365,2.8336,3.0349,1.7094,54.6116,114.903,164.095,123.112,197,432,484,106,9,18,26,22,44,102,122,50,3.4817,8.1466,10.3962,5.3502,11.8336,8.772,22.704,0,64,48,24,0,1,3,0,2,8,6,0,0.5329,0.5621,0.8103,0,9.2416,15.504,28.88,13.376,49,84,98,14,2,4,2,4,12,16,4,0.5625,1.155,1.71,0.555,0.89,3.72,0,2,21,0,-2,3,0,-0.04,1.08,0,0.98,2.66,1.68,2,14,12,-2,0,2,-0.04,0.72,0.76,3.5344,35.7952,47.94,96.256,729,1188,1620,1674,10,22,96,192,228,1.5876,5.6196,9.702,14.2884,-7.76,-6.7,-9.84,118,210,532,20,28,94,3.1,4.9,16.38,5,3,-6
1,599.9245,1289.16,2294.6884,3029.192,2861,6724,9240,9976,103,212,382,496,594,1496,2170,2544,38.5319,98.3016,155.6466,193.7424,10.9096,0,0,0,176.5,0,0,0,1,0,0,0,0,0,0,0,0.7565,0,0,0,143.6891,306.918,503.943,661.325,458,1044,1470,1580,25,50,86,112,136,340,492,556,8.8641,21.5754,32.2478,40.4656,10.9096,0,0,0,176.5,0,0,0,0,0,0,0,0,0,0,0.7565,0,0,0,6.5025,7.752,6.5025,13.005,36,42,36,72,1,1,2,1,2,3,6,0.5929,0.5775,0.5929,1.1858,0,0,0,0,0,0,0,0,0,0,0,0,-0.49,0,0,-1,0,0,-1,-2,-4,0.02,0,0,3.3489,30.744,22.2528,18.666,676,1274,728,624,4,4,60,48,72,1.5625,6,3.75,3.85,-5.82,-4.84,-2.88,107,76,80,26,16,12,2.7,2,1.92,4,1,-3
2,295.6345,684.3336,1337.688,1816.654,2105,5348,8460,10460,47,108,198,280,306,840,1430,1808,21.7455,58.616,103.8954,138.2952,10.9096,0,0,0,176.5,0,0,0,1,0,0,0,0,0,0,0,0.7565,0,0,0,135.2332,307.836,484.936,583.6942,538,1296,1852,1936,22,48,76,94,124,312,452,476,9.335,23.408,34.99,38.5774,10.9096,0,0,0,176.5,0,0,0,0,0,0,0,0,0,0,0.7565,0,0,0,9.2416,15.504,29.944,39.1856,49,84,133,182,2,4,5,4,12,20,24,0.5625,1.155,2.01,2.5725,0,0,0,0,0,0,0,0,0,0,0,0,0.98,2.31,2.31,2,9,9,-2,-2,-2,-0.04,0.32,0.32,3.3489,34.3308,37.332,53.436,676,1378,1248,1352,8,12,84,144,168,1.5625,5.9,7.7,9.55,-7.78,-5.76,-7.24,103,160,260,22,24,44,2.78,3.84,7.36,5,4,-3
1,106.2697,141.4708,274.874,469.216,1140,2304,3120,2560,12,22,40,50,62,152,160,90,7.7748,17.2542,26.75,27.813,15.08485,8.772,0,0,82,48,0,0,1.5,1,0,0,1,1,0,0,0.82935,0.5621,0,0,18.3361,17.544,0,0,100,96,0,0,2,2,0,0,2,2,0,0,1.1258,1.1242,0,0,9.16805,4.386,0,0,50,24,0,0,0.5,0,0,0.5,0.5,0,0,0.5629,0.28105,0,0,6.5025,8.772,0,0,36,48,0,0,1,0,0,1,1,0,0,0.5929,0.5621,0,0,-0.445,0,0,-1,0,0,0,0,0,0.02,0,0,-0.89,0,0,-2,0,0,0,0,0,0.04,0,0,2.7556,26.8754,28.552,0,576,912,960,0,5,0,66,30,0,1.6129,5.8166,4.6355,0,-6.23,-8.9,0,106,80,0,25,25,0,3.04,2.7,0,4,3,-2
1,346.3769,734.0184,1291.724,1919.096,2064,4918,7334,9256,54,114,194,294,308,820,1310,1734,23.9886,59.5578,96.1558,134.731,17.7976,20.064,14.52,0,58,21,3,0,2.5,3,3,0,6,9,3,0,0.75305,0.8325,0.4107,0,76.8582,156.417,218.614,234.404,318,660,784,668,12,24,34,38,58,136,170,140,5.23,11.6732,15.1086,14.4242,10.5376,10.032,0,0,56.5,10.5,0,0,1.5,0,0,4.5,4.5,0,0,0.5477,0.41625,0,0,9.2416,15.504,28.88,21.128,49,84,98,56,2,4,3,4,12,16,10,0.5625,1.155,1.71,1.1325,1.26,0,0,9,0,0,3,0,0,0.57,0,0,0.98,2.66,2.17,2,14,13,-2,0,1,-0.04,0.72,0.74,3.3489,34.1112,49.41,69.54,676,1118,1326,1456,11,16,102,162,192,1.5625,5.6,9.0875,11.4,-7.66,-6.87,-8.72,113,235,360,19,39,64,3.02,6.48,10.88,4,3,-2
1,111.9485,198.6464,440.538,805.2,1933,4932,6540,2040,22,42,90,150,132,372,570,510,9.792,26.9616,48.303,55.167,15.57485,14.454,14.52,0,146,45,3,0,2.5,3,3,0,6,9,3,0,1.0336,1.1766,0.4107,0,19.3161,28.908,29.04,0,228,90,6,0,4,6,6,0,12,18,6,0,1.5343,2.3532,0.8214,0,8.31485,7.227,0,0,144.5,22.5,0,0,1.5,0,0,4.5,4.5,0,0,0.82825,0.5883,0,0,4.7961,14.454,0,0,225,45,0,0,3,0,0,9,9,0,0,1.1236,1.1766,0,0,-0.015,0,0,21,0,0,3,0,0,1.035,0,0,-0.03,0,0,42,0,0,6,0,0,2.07,0,0,3.5344,27.0532,62.04,0,729,2241,405,0,15,0,126,90,0,1.5876,7.5978,6.993,0,-3.11,-4.8,0,79,390,0,15,75,0,1.53,13.35,0,5,1,-2
1,287.0735,605.6354,1092.165,1739.043,2593,6858,10296,9180,52,108,198,312,306,834,1338,1704,22.107,59.397,102.2958,138.5196,103.13735,217.9485,338.3595,425.3475,476,1008,1476,1578,17.5,36,57,75,93,234,333,363,7.1911,17.3943,25.8951,29.8911,19.3161,28.908,29.04,0,228,90,6,0,4,6,6,0,12,18,6,0,1.5343,2.3532,0.8214,0,8.31485,8.37675,16.7535,31.2075,144.5,135,270,315,1.5,3,6,4.5,13.5,27,36,0.82825,1.2243,2.4486,3.6252,4.7961,14.454,0,0,225,45,0,0,3,0,0,9,9,0,0,1.1236,1.1766,0,0,-0.54,-1.08,-1.11,13.5,27,69,0,0,6,0.435,0.87,2.94,-0.03,0,0,42,0,0,6,0,0,2.07,0,0,3.5344,27.0532,64.014,28.764,729,2241,810,972,15,6,126,126,108,1.5876,7.5978,8.505,5.8212,-3.11,-5.85,-4.02,79,375,126,15,69,18,1.53,12.15,2.94,4,2,-2
1,610.5061,1310.892,2318.8372,3150.3216,2587,6208,8710,9552,105,216,388,516,604,1532,2232,2612,38.7281,100.0032,156.8364,198.6836,16.6736,15.136,4.84,0,65,16,1,0,2,2,1,0,3,4,1,0,0.6698,0.5402,0.1369,0,143.6891,306.918,503.943,661.325,458,1044,1470,1580,25,50,86,112,136,340,492,556,8.8641,21.5754,32.2478,40.4656,11.8336,7.568,0,0,64,8,0,0,1,0,0,2,2,0,0,0.5329,0.2701,0,0,6.5025,7.752,6.5025,13.005,36,42,36,72,1,1,2,1,2,3,6,0.5929,0.5775,0.5929,1.1858,1.24,0,0,7,0,0,1,0,0,0.36,0,0,-0.49,0,0,-1,0,0,-1,-2,-4,0.02,0,0,2.4025,26.474,25.668,15.81,625,1000,750,600,6,4,72,60,72,1.9321,6.3106,5.1986,4.2812,-7.78,-7.26,-4,110,120,76,24,26,12,3.8,4.6,2.48,5,3,-2
1,133.0441,258.424,536.908,1029.6,949,2360,2320,1080,22,42,90,150,132,372,570,510,7.331,20.7794,36.261,41.403,17.7976,20.064,14.52,0,58,21,3,0,2.5,3,3,0,6,9,3,0,0.75305,0.8325,0.4107,0,23.7616,40.128,29.04,0,52,42,6,0,4,6,6,0,12,18,6,0,0.9732,1.665,0.8214,0,10.5376,10.032,0,0,56.5,10.5,0,0,1.5,0,0,4.5,4.5,0,0,0.5477,0.41625,0,0,9.2416,20.064,0,0,49,21,0,0,3,0,0,9,9,0,0,0.5625,0.8325,0,0,1.26,0,0,9,0,0,3,0,0,0.57,0,0,2.52,0,0,18,0,0,6,0,0,1.14,0,0,2.4025,28.892,51.15,0,625,1075,375,0,15,0,126,90,0,1.9321,6.2272,7.7145,0,-9.34,-9.75,0,107,360,0,15,75,0,3.86,15.3,0,5,1,-2
2,176.5192,378.2788,844.456,1452.384,1062,2832,3902,2816,29,60,132,228,192,572,976,980,9.7645,28.3988,54.438,68.8052,16.6736,15.136,4.84,0,65,16,1,0,2,2,1,0,3,4,1,0,0.6698,0.5402,0.1369,0,70.2082,142.397,212.992,233.0272,178,344,328,226,12,22,36,42,58,136,144,98,3.406,7.995,10.1836,8.9098,11.8336,7.568,0,0,64,8,0,0,1,0,0,2,2,0,0,0.5329,0.2701,0,0,9.2416,21.128,21.128,22.6176,49,56,56,63,3,3,3,9,18,18,15,0.5625,1.1325,1.1325,1.1175,1.24,0,0,7,0,0,1,0,0,0.36,0,0,2.17,2.17,1.68,13,13,12,3,3,4,0.74,0.74,0.76,2.7556,31.6064,53.452,29.216,576,1056,816,192,14,8,120,156,48,1.6129,5.6642,8.6106,3.7592,-9.08,-8.96,-4.32,100,302,184,16,58,40,3.16,11,7.2,4,3,-2
1,114.9556,185.1856,394.2496,359.4912,2446,3966,4452,5664,15,28,46,48,74,168,194,176,11.8838,22.7976,32.397,34.7368,10.9096,0,0,0,176.5,0,0,0,1,0,0,0,0,0,0,0,0.7565,0,0,0,22.4005,28.662,15.6864,0,341,276,224,0,3,4,2,0,6,8,2,0,2.1958,2.7258,1.53,0,10.9096,0,0,0,176.5,0,0,0,0,0,0,0,0,0,0,0.7565,0,0,0,9.2416,7.752,7.8432,0,49,42,112,0,1,1,0,1,2,1,0,0.5625,0.5775,0.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0.46,0,1,-9,0,-1,0,0,-0.02,-0.27,0,3.5344,35.2688,19.176,19.4016,729,1431,648,1728,4,4,60,48,24,1.5876,5.9472,3.8808,5.1408,-7.48,-2.68,-2.8,109,84,44,26,16,20,2.84,1.96,0.96,5,5,-7
1,288.086,606.2214,1270.187,1507.36,1573,4104,6392,7250,47,94,180,226,274,690,1124,1618,15.733,41.7914,69.9752,103.329,34.5186,59.4915,85.8475,63.316,138,228,256,55,5,9,13,11,22,51,61,25,1.9925,4.0425,5.1525,2.6603,53.8786,102.408,161.901,67.32,142,264,180,72,9,16,26,12,42,80,68,48,2.5401,5.6672,6.0698,3.4188,11.8336,8.772,16.34,7.568,64,48,56,8,1,2,1,2,6,8,2,0.5329,0.5621,0.8322,0.2701,11.8336,17.544,45.408,0,64,96,48,0,2,6,0,4,16,12,0,0.5329,1.1242,1.6206,0,0.89,2.13,1.24,2,9,7,-1,0,1,-0.04,0.32,0.36,1.78,7.44,0,4,42,0,-4,6,0,-0.08,2.16,0,3.5344,38.8032,47.94,117.124,729,1296,1620,1026,10,28,96,228,192,1.5876,5.5188,9.702,14.0616,-9.36,-6.7,-9.66,114,210,718,20,22,136,3.18,4.9,24.12,4,4,-2
1,65.296,72.3424,308.416,0,2238,5022,7140,0,7,12,30,0,42,72,30,0,7.021,14.3136,26.829,0,10.9096,0,0,0,176.5,0,0,0,1,0,0,0,0,0,0,0,0.7565,0,0,0,9.9856,0,0,0,289,0,0,0,1,0,0,0,0,0,0,0,0.9801,0,0,0,10.9096,0,0,0,176.5,0,0,0,0,0,0,0,0,0,0,0.7565,0,0,0,9.9856,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0.9801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5344,36.1712,0,0,729,2511,0,0,0,0,36,0,0,1.5876,7.1568,0,0,-7.96,0,0,69,0,0,30,0,0,1.88,0,0,5,3,-7
1,119.573,210.917,440.1184,692.448,1104,2616,2600,1248,16,30,56,90,86,232,300,218,6.448,16.4958,26.5992,27.1738,15.08485,8.772,0,0,82,48,0,0,1.5,1,0,0,1,1,0,0,0.82935,0.5621,0,0,21.5136,30.272,9.68,0,66,32,2,0,3,4,2,0,6,8,2,0,0.8067,1.0804,0.2738,0,9.16805,4.386,0,0,50,24,0,0,0.5,0,0,0.5,0.5,0,0,0.5629,0.28105,0,0,11.8336,15.136,0,0,64,16,0,0,2,0,0,4,4,0,0,0.5329,0.5402,0,0,-0.445,0,0,-1,0,0,0,0,0,0.02,0,0,2.48,0,0,14,0,0,2,0,0,0.72,0,0,3.3489,36.1425,38.5032,0,676,1196,416,0,9,0,90,54,0,1.5625,5.525,4.6125,0,-8.77,-4.57,0,110,218,0,21,45,0,3.08,7.56,0,4,5,-2
1,300.6072,663.4398,1298.143,1668.06,1700,4584,7360,8710,47,102,180,250,282,762,1260,1530,19.4063,51.5502,87.07,111.769,34.5186,59.4915,85.8475,63.316,138,228,256,55,5,9,13,11,22,51,61,25,1.9925,4.0425,5.1525,2.6603,57.2036,118.983,171.695,126.632,212,456,512,110,9,18,26,22,44,102,122,50,3.4521,8.085,10.305,5.3206,11.8336,8.772,16.34,7.568,64,48,56,8,1,2,1,2,6,8,2,0.5329,0.5621,0.8322,0.2701,11.8336,17.544,32.68,15.136,64,96,112,16,2,4,2,4,12,16,4,0.5329,1.1242,1.6644,0.5402,0.89,2.13,1.24,2,9,7,-1,0,1,-0.04,0.32,0.36,1.78,4.26,2.48,4,18,14,-2,0,2,-0.08,0.64,0.72,2.7556,34.2624,42.33,78.85,576,1152,1440,1680,10,20,96,180,240,1.6129,5.5626,9.779,14.478,-10.68,-8.9,-14.3,96,180,410,20,30,80,3.24,5,14,4,3,-2
1,65.1105,70.4184,308.416,0,2185,4836,7140,0,7,12,30,0,42,72,30,0,6.9959,14.2,26.829,0,10.9096,0,0,0,176.5,0,0,0,1,0,0,0,0,0,0,0,0.7565,0,0,0,9.9856,0,0,0,289,0,0,0,1,0,0,0,0,0,0,0,0.9801,0,0,0,10.9096,0,0,0,176.5,0,0,0,0,0,0,0,0,0,0,0.7565,0,0,0,9.9856,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0.9801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3489,35.2092,0,0,676,2418,0,0,0,0,36,0,0,1.5625,7.1,0,0,-8.26,0,0,63,0,0,30,0,0,1.82,0,0,4,1,-7
1,297.2822,646.8648,1288.349,1621.032,1630,4392,7028,8288,47,100,180,244,280,744,1226,1552,18.4943,49.1324,82.8348,109.7148,32.8561,51.204,80.9505,33.66,103,132,90,36,5,8,13,6,21,40,34,24,1.5365,2.8336,3.0349,1.7094,57.2036,118.983,171.695,126.632,212,456,512,110,9,18,26,22,44,102,122,50,3.4521,8.085,10.305,5.3206,11.8336,8.772,22.704,0,64,48,24,0,1,3,0,2,8,6,0,0.5329,0.5621,0.8103,0,11.8336,17.544,32.68,15.136,64,96,112,16,2,4,2,4,12,16,4,0.5329,1.1242,1.6644,0.5402,0.89,3.72,0,2,21,0,-2,3,0,-0.04,1.08,0,1.78,4.26,2.48,4,18,14,-2,0,2,-0.08,0.64,0.72,2.7556,34.2624,42.33,84.992,576,1152,1440,1488,10,22,96,192,228,1.6129,5.5626,9.779,14.4018,-10.68,-8.9,-14.68,96,180,466,20,28,94,3.24,5,16.6,4,1,-2
1,127.185,211.5324,414.505,445.014,2445,3616,4220,6320,17,32,50,60,82,192,240,240,13.0744,24.829,34,41.471,17.11705,14.331,7.8432,0,202.5,138,112,0,2,2,1,0,3,4,1,0,1.36435,1.3629,0.765,0,22.4005,28.662,15.6864,0,341,276,224,0,3,4,2,0,6,8,2,0,2.1958,2.7258,1.53,0,10.5376,3.876,3.9216,0,56.5,21,56,0,0.5,0.5,0,0.5,1,0.5,0,0.5477,0.28875,0.3825,0,9.2416,7.752,7.8432,0,49,42,112,0,1,1,0,1,2,1,0,0.5625,0.5775,0.765,0,0.245,0.23,0,0.5,-4.5,0,-0.5,0,0,-0.01,-0.135,0,0.49,0.46,0,1,-9,0,-1,0,0,-0.02,-0.27,0,3.3489,34.1112,23.3325,23.607,676,1118,780,2080,5,5,66,60,30,1.5625,5.6,4.8125,6.375,-7.66,-3.6,-3.75,113,100,50,25,20,25,3.02,2.4,1.15,4,5,-7
1,310.4871,684.2514,1257.732,1696.302,1846,4624,7380,9052,50,108,188,266,296,796,1308,1626,21.2522,55.4596,92.6684,121.767,44.3459,78.2085,109.307,117.202,191,330,392,334,6.5,12,17,19,29,68,85,70,2.88145,5.8366,7.5543,7.2121,54.6116,114.903,164.095,123.112,197,432,484,106,9,18,26,22,44,102,122,50,3.4817,8.1466,10.3962,5.3502,10.5376,7.752,14.44,10.564,56.5,42,49,28,1,2,1.5,2,6,8,5,0.5477,0.5775,0.855,0.56625,9.2416,15.504,28.88,13.376,49,84,98,14,2,4,2,4,12,16,4,0.5625,1.155,1.71,0.555,0.49,1.33,1.085,1,7,6.5,-1,0,0.5,-0.02,0.36,0.37,0.98,2.66,1.68,2,14,12,-2,0,2,-0.04,0.72,0.76,3.3489,34.1112,46.665,86.925,676,1118,1560,1820,10,20,96,180,240,1.5625,5.6,9.625,14.25,-7.66,-7.2,-10.9,113,200,450,20,30,80,3.02,4.8,13.6,5,4,-6
