[ 0.00808664]
[ 0.13088652]
[ 0.49614727]
[ 2331.65426525]
[ 11985.05751733]
[ 35111.27852217]
[ 58047.40989309]
[ 33903.85087074]
[ 195794.40585299]
[ 404646.80649678]
[ 450592.8152384]
[ 67.42668402]
[ 307.65985536]
[ 932.88031137]
[ 1564.00621275]
[ 2309.36006943]
[ 14715.4732455]
[ 30658.2922288]
[ 37710.20887942]
[ 9.33801008]
[ 63.76867162]
[ 153.54409795]
[ 220.89649225]
[ 3200.16435271]
[ 17488.7485822]
[ 49976.08193552]
[ 77795.56706902]
[ 45376.54694122]
[ 293223.61959342]
[ 685063.4957002]
[ 687192.5190522]
[ 89.06892202]
[ 437.01207101]
[ 1268.28707429]
[ 2036.8644881]
[ 3189.87381986]
[ 20746.90640789]
[ 44219.46152899]
[ 49566.6641378]
[ 14.27659471]
[ 99.17246227]
[ 243.60372976]
[ 307.29339229]
[ 3.65637667]
[ 23.49609357]
[ 112.29011668]
[ 181.44495271]
[ 3311.93642972]
[ 579.16892202]
[ 2432.8391453]
[ 2823.39034845]
[ 0.51361631]
[ 1.93531887]
[ 3.08161736]
[ 6.54949481]
[ 18.86367548]
[ 40.97610625]
[ 35.36890625]
[ 0.01283817]
[ 0.06599493]
[ 0.42113424]
[ 0.58390573]
[ 4.1813051]
[ 23.43324451]
[ 140.55884]
[ 277.39324836]
[ 1631.827281]
[ 547.30059066]
[ 2908.21239974]
[ 4521.86920079]
[ 0.51684418]
[ 2.39194845]
[ 4.57151769]
[ 6.98105878]
[ 29.86977883]
[ 65.89846049]
[ 61.88413307]
[ 0.00719256]
[ 0.07883036]
[ 0.53859992]
[ 0.8274861]
[ 0.25311734]
[ 14.5471018]
[ 164.28913649]
[ 648.7059728]
[ 2421.91371361]
[ 62942.25199211]
[ 148434.7741812]
[ 520298.81429165]
[ 11.3077712]
[ 36.09836266]
[ 406.61154083]
[ 2847.42187929]
[ 7396.98275976]
[ 0.03056993]
[ 0.18725947]
[ 5.1611493]
[ 22.03567785]
[ 20229.40708439]
[ 112473.2749112]
[ 361075.89836354]
[ 658828.57432172]
[ 319939.3978025]
[ 1795024.8880305]
[ 6176863.67304036]
[ 12931996.84567942]
[ 637.97073925]
[ 2996.3755382]
[ 9711.33708455]
[ 18574.83360947]
[ 23441.8001883]
[ 161322.75551769]
[ 436350.26112715]
[ 771114.43243761]
[ 83.90584441]
[ 603.04508322]
[ 1678.89662462]
[ 3226.83559542]
[ 1.271785]
[ 1.15939293]
[ 2.00351324]
[ 41.63655122]
[ 44.70461538]
[ 77.07169126]
[ 5.04251256]
[ 2.46938698]
[ 2.84608652]
[ 0.14009201]
[ 0.08221481]
[ 0.20836483]
[ 1.11388381]
[ 1.44940988]
[ 3.74882913]
[ 35.46194767]
[ 50.94690335]
[ 112.46591085]
[ 4.4847169]
[ 5.02452755]
[ 4.26594767]
[ 0.12373129]
[ 0.10815586]
[ 0.3114838]
[ 3.34894623]
[ 5.70146127]
[ 18.62253086]
[ 127.48523761]
[ 7458.34558738]
[ 18913.65200368]
[ 11.29476502]
[ 257.58328889]
[ 567.10278396]
[ 0.23650005]
[ 11.61972514]
[ 20.36451924]
