[ 3.23830229]
[ 142.66049146]
[ 63555.91997068]
[ 0.18734941]
[ 0.17599713]
[ 2678.65685698]
[ 165337.27596435]
[ 0.02318559]
[ 0.20661844]
[ 0.0080434]
[ 41.03677868]
[ 1.2192851]
[ 1802.66150771]
[ 4.18571935]
[ 13.76449376]
[ 5.3725569]
[ 5.26090596]
[ 8303.35950021]
[ 638.17501557]
[ 1732.01593215]
[ 12.528305]
[ 674383.10692743]
[ 90.95727382]
[ 181.40923066]
[ 1870801.5153526]
[ 13002011.58017226]
[ 6143954.88614677]
[ 21498.22353287]
[ 352988.00971995]
[ 118335.1382817]
[ 3292.32512454]
[ 372882.82212072]
[ 22.10358459]
[ 698.25419135]
[ 4012.54570596]
[ 20375.39776027]
[ 3.6790614]
[ 21.09415075]
[ 19168.89420342]
[ 39.98387572]
[ 0.24299875]
[ 0.24299875]
[ 0.06807164]
[ 0.03005814]
[ 0.23589238]
[ 0.21847564]
[ 0.13216893]
[ 0.03386989]
