[ 0.00816858]
[ 0.12149849]
[ 0.46478105]
[ 2146.10909022]
[ 10870.93737304]
[ 31425.50790114]
[ 51061.60848245]
[ 33869.5347942]
[ 192241.67448326]
[ 377601.0096465]
[ 408440.0915142]
[ 60.63550533]
[ 275.16125948]
[ 822.47825349]
[ 1362.35140615]
[ 2046.16877156]
[ 12922.10581479]
[ 26410.47361861]
[ 31922.54583767]
[ 8.44938362]
[ 57.53018655]
[ 136.06277891]
[ 192.17518452]
[ 3122.54267033]
[ 16714.31594367]
[ 46852.62316748]
[ 72647.95939762]
[ 45695.9153821]
[ 287657.81502288]
[ 663750.01063793]
[ 679763.49900963]
[ 84.76631975]
[ 413.34952787]
[ 1180.99972679]
[ 1878.77084472]
[ 2987.18236032]
[ 19313.17203401]
[ 40937.08173964]
[ 45428.02479339]
[ 13.87694074]
[ 94.81458923]
[ 229.82553796]
[ 290.56169089]
[ 3.49572257]
[ 29.74011311]
[ 105.82278769]
[ 165.66113805]
[ 5937.44851359]
[ 701.53161072]
[ 2259.41029045]
[ 2464.72744748]
[ 0.63178504]
[ 1.90316763]
[ 2.86737159]
[ 7.42458011]
[ 22.32502476]
[ 40.35084267]
[ 31.87132774]
[ 0.02168229]
[ 0.08656655]
[ 0.39974375]
[ 0.52392818]
[ 4.28523542]
[ 28.21169191]
[ 133.1089074]
[ 284.03606151]
[ 4170.53815484]
[ 778.67409586]
[ 2860.67380958]
[ 4237.08306057]
[ 0.61931818]
[ 2.34780646]
[ 4.63374871]
[ 7.79452394]
[ 30.36954016]
[ 59.24811744]
[ 51.57428518]
[ 0.01802694]
[ 0.09665664]
[ 0.51799151]
[ 0.7733229]
[ 0.18499781]
[ 13.3893815]
[ 211.06266698]
[ 737.48262477]
[ 3518.47208076]
[ 149011.92100843]
[ 197311.64646797]
[ 537133.71228805]
[ 13.91556993]
[ 40.48779007]
[ 500.96051755]
[ 3108.57024793]
[ 7894.29054966]
[ 0.01652897]
[ 0.28913575]
[ 6.26063943]
[ 22.98588054]
[ 21884.44828913]
[ 121881.97432684]
[ 379459.76663806]
[ 716907.07218308]
[ 361214.71332111]
[ 2013581.97718735]
[ 6627073.07320197]
[ 14171578.92783537]
[ 689.70205139]
[ 3222.35789478]
[ 10254.72631651]
[ 19909.78040691]
[ 24917.01030923]
[ 171118.17264873]
[ 456629.24472372]
[ 797791.28719008]
[ 89.07556449]
[ 637.10274101]
[ 1712.1509138]
[ 3430.63514697]
[ 1.27039534]
[ 1.08834421]
[ 1.70997596]
[ 43.84911352]
[ 55.39326207]
[ 73.41148332]
[ 4.95296358]
[ 2.76284465]
[ 2.853865]
[ 0.14090287]
[ 0.11547834]
[ 0.20802469]
[ 1.15202525]
[ 1.29938323]
[ 4.19597589]
[ 45.00539581]
[ 83.56763514]
[ 120.61536951]
[ 5.14105829]
[ 6.17394618]
[ 3.64898551]
[ 0.14945397]
[ 0.2011688]
[ 0.33096805]
[ 3.05329378]
[ 7.37035398]
[ 17.26623399]
[ 279.92051004]
[ 8304.61467689]
[ 21262.06005289]
[ 13.91556993]
[ 319.96652807]
[ 662.39105829]
[ 0.25939592]
[ 12.73017311]
[ 22.22719154]
