[1.5229309435951501]
[199.69756505007894]
[401.25621918819144]
[804.124110068531]
[1118.2897305218753]
[1537.1391671059569]
[3486.6557722720086]
[4585.080653663679]
[4373.00790722193]
[30.996837111228256]
[63.67843964153927]
[120.82973115445441]
[166.8297311544544]
[184.50817079599366]
[486.0263574064312]
[726.4775962045335]
[794.82762256194]
[13.297609225092247]
[33.95543700579856]
[56.17592356352108]
[67.36738028466023]
[23.13631726410124]
[29.313560358460357]
[35.56586763310453]
[39.73389694254087]
[119.81022667369531]
[100.50448075909331]
[103.13389562467053]
[94.25092250922509]
[3.1966262519768054]
[4.511860832894043]
[6.153927253558249]
[6.733790195044808]
[10.665788086452293]
[23.909330521876647]
[30.4148655772272]
[33.06483921982077]
[1.3239392988929652]
[1.9049564575645719]
[2.158688297311528]
[2.4259107011070182]
[63.04208592514479]
[123.26798734844338]
[177.66715793357972]
[195.7671166051672]
[255.18713758566156]
[450.8212967843964]
[567.6056931997891]
[494.04322614654717]
[9.940959409594097]
[18.933052187664735]
[28.673695308381657]
[31.543489720611493]
[47.60674749604639]
[111.5677385345282]
[140.06642066420665]
[132.34580917237744]
[3.818626673695292]
[8.388151607801982]
[11.127196099103964]
[11.181739483394841]
[10.179033473906248]
[5.2438523985240675]
[0.9542999209277796]
[1.0285358460727503]
[68.18081180811808]
[15.23906167633105]
[9.386399578281496]
[4.545071164997364]
[0.7116499736425935]
[0.13442277279915657]
[0.16447021613073273]
[1.4317343173431734]
[1.56615709014233]
[0.2988929889298893]
[0.40168687401159725]
[0.5754613073273588]
[0.2785232472324695]
[0.0899962308908792]
[0.08338892988929855]
[9.371985397996795]
[12.979679493938022]
[10.427968792830786]
[14.546589140748724]
[56.09963099630996]
[43.075382182393255]
[54.17659462308909]
[44.96362677912494]
[1.742751713231418]
[1.3410648392198208]
[1.9051133368476543]
[3.812335266209805]
[6.361623616236162]
[6.195571955719557]
[5.764364786505008]
[0.5711490247759637]
[0.7291972588297335]
[0.6955208223510788]
[0.7569430680021103]
[0.32665524512387856]
[0.025582498682129588]
[0.01605166051660515]
[2.5743278861360044]
[-0.5005271481286241]
[0.22930943595150238]
[0.5856615709014233]
[-0.16447021613073273]
[-0.23721665788086452]
[0.16756984712704218]
[-0.015015814443858789]
[0.018344754876120212]
[1.083668950975231]
[0.8198787559304186]
[1.339873484449121]
[6.15656299420137]
[2.1186083289404323]
[7.606220347917765]
[0.7285187137585661]
[-0.8745387453874539]
[0.0316288877174486]
[0.33021613073273587]
[0.06843437005798611]
[0.4032261465471787]
[2.998716394306805]
[31.973174433315908]
[35.583156088560756]
[18.1588743806009]
[656.4169741697417]
[1152.9615181866104]
[757.4117026884554]
[626.8708487084871]
[8.39430680021086]
[4.240379546652609]
[86.36584080126515]
[84.16447021613074]
[57.75434897206115]
[1.6951379019504456]
[5.892702899314715]
[6.025187190300486]
[3.772709752240396]
[-8.164501845018442]
[-6.152150764364778]
[-3.227269372693724]
[108.615709014233]
[185.32788613600422]
[84.24617817606747]
[21.60569319978914]
[36.3384290985767]
[15.816552451238799]
[3.2710068529256726]
[6.292445967316823]
[2.636415392725347]
[901.05745914602]
[1351.0010542962573]
[887.0680021085925]
[733.1217712177122]
[134.97206114918293]
[222.23299947285187]
[102.79072219293622]
[15.152872957301001]
[4.392725355824987]
[2.812335266209805]
