[ 0.00826362]
[ 0.14488447]
[ 0.3743168]
[ 2290.24477943]
[ 11507.31980535]
[ 34020.83922271]
[ 56749.47710842]
[ 35718.40443604]
[ 199502.54990046]
[ 404944.90766675]
[ 450647.90375354]
[ 64.76713708]
[ 293.16562489]
[ 896.62136299]
[ 1513.51784592]
[ 2212.51295301]
[ 14104.79654125]
[ 29326.28189266]
[ 36288.9929144]
[ 9.02388783]
[ 60.93552649]
[ 147.30173728]
[ 214.18107824]
[ 2999.38350235]
[ 15893.65836102]
[ 45578.86932679]
[ 73688.41021195]
[ 43171.70462788]
[ 261765.6661988]
[ 604908.72341209]
[ 656816.86241509]
[ 83.36045688]
[ 398.70438255]
[ 1171.47703433]
[ 1937.53514931]
[ 2932.25531983]
[ 19000.3009592]
[ 40592.43295783]
[ 48076.92819562]
[ 13.12212574]
[ 88.99176314]
[ 217.28548393]
[ 292.83890288]
[ 4.07931196]
[ 23.66520475]
[ 112.84547723]
[ 185.02712594]
[ 2974.57200547]
[ 594.01218283]
[ 2353.52630176]
[ 2751.18174506]
[ 0.50964105]
[ 1.94119407]
[ 3.1092811]
[ 6.67606306]
[ 21.56345995]
[ 42.19210119]
[ 34.16411832]
[ 0.0122541]
[ 0.06505819]
[ 0.40923825]
[ 0.56222661]
[ 4.23750004]
[ 24.1726708]
[ 141.77517407]
[ 273.11143443]
[ 1612.88628889]
[ 585.58190191]
[ 2770.66411269]
[ 4225.1304619]
[ 0.54940377]
[ 2.42994953]
[ 4.4827497]
[ 7.74368155]
[ 30.35220173]
[ 63.50633715]
[ 58.87953991]
[ 0.00774877]
[ 0.0768527]
[ 0.52399738]
[ 0.79254386]
[ 0.23301203]
[ 15.25791397]
[ 183.85146356]
[ 721.13122573]
[ 4265.4310523]
[ 58749.146272]
[ 157610.85246033]
[ 533563.21769108]
[ 12.79571598]
[ 40.68788514]
[ 460.6457753]
[ 3001.14323956]
[ 7951.5511995]
[ 0.02672432]
[ 0.19977403]
[ 5.18439732]
[ 24.07679791]
[ 25208.96467455]
[ 136212.62054523]
[ 425066.1320117]
[ 757021.38019521]
[ 402311.09850912]
[ 2203661.12546321]
[ 7082605.90581431]
[ 14525292.19064927]
[ 795.07941362]
[ 3652.39110861]
[ 11625.58386133]
[ 21676.70301353]
[ 28251.59860846]
[ 189864.86811639]
[ 492066.98914195]
[ 856732.56438698]
[ 107.00626373]
[ 740.59314536]
[ 1979.43757241]
[ 3737.21661051]
[ 1.31031011]
[ 1.27492341]
[ 2.29468092]
[ 41.53040882]
[ 49.80465604]
[ 80.19561342]
[ 4.73093849]
[ 3.03362947]
[ 3.08947375]
[ 0.13586538]
[ 0.09839373]
[ 0.22020654]
[ 1.19998411]
[ 1.54963696]
[ 4.08968348]
[ 40.93564399]
[ 53.22411953]
[ 122.07131654]
[ 5.2764013]
[ 5.16133524]
[ 4.53411691]
[ 0.14469237]
[ 0.11396097]
[ 0.32233085]
[ 3.43639815]
[ 5.46885877]
[ 20.26231937]
[ 134.4361431]
[ 8807.08959842]
[ 21031.64007802]
[ 12.79571598]
[ 305.85572201]
[ 654.14423455]
[ 0.19249898]
[ 12.85175848]
[ 22.64592951]
