[ 0.00866536]
[ 0.13954649]
[ 0.4527514]
[ 2277.34647141]
[ 11570.79296103]
[ 33950.84965753]
[ 56037.62245849]
[ 35160.11344775]
[ 208083.98074509]
[ 404948.15138221]
[ 447677.90936655]
[ 65.45215381]
[ 296.16296986]
[ 900.89823561]
[ 1511.89116558]
[ 2227.21752616]
[ 14162.19130589]
[ 29497.672992]
[ 36256.12612197]
[ 8.85788736]
[ 61.2334302]
[ 146.62750497]
[ 212.61644659]
[ 3461.87536616]
[ 18451.9037154]
[ 52318.30787726]
[ 82740.34747447]
[ 47016.25600228]
[ 299775.0467987]
[ 688005.20176288]
[ 720349.18194014]
[ 95.9626531]
[ 461.50106577]
[ 1341.53002557]
[ 2173.14811068]
[ 3371.86572897]
[ 21781.77542389]
[ 45938.07071462]
[ 52684.25596643]
[ 14.91238356]
[ 102.62195658]
[ 249.41397814]
[ 325.15160139]
[ 3.62742864]
[ 31.35166998]
[ 103.11149054]
[ 182.13542739]
[ 6162.9413602]
[ 674.21478232]
[ 2395.70768182]
[ 2738.8721272]
[ 0.66908524]
[ 1.78795435]
[ 3.06588118]
[ 7.80121971]
[ 22.52980367]
[ 38.26430657]
[ 32.76859046]
[ 0.02177131]
[ 0.08934586]
[ 0.38194777]
[ 0.55702634]
[ 4.14401464]
[ 23.61468731]
[ 136.72782305]
[ 287.5772387]
[ 2579.68533641]
[ 645.6539866]
[ 2904.59868429]
[ 4827.87346793]
[ 0.51520762]
[ 2.35347705]
[ 4.62972509]
[ 6.4793979]
[ 27.41438677]
[ 62.20267845]
[ 57.78849853]
[ 0.01105153]
[ 0.08548564]
[ 0.52951529]
[ 0.84508026]
[ 0.19195405]
[ 12.93631278]
[ 181.18391823]
[ 671.80877271]
[ 3080.90591291]
[ 90282.24729541]
[ 166789.41617811]
[ 520583.45532604]
[ 12.37951448]
[ 38.52392059]
[ 445.32987085]
[ 3030.8550067]
[ 7744.93021242]
[ 0.02384732]
[ 0.24971962]
[ 5.80619881]
[ 22.51250419]
[ 25671.92018591]
[ 140491.34431493]
[ 434755.77253249]
[ 803624.10365211]
[ 388214.69489181]
[ 2046631.78964711]
[ 6649551.1323187]
[ 14070212.65446916]
[ 811.04347627]
[ 3742.13063887]
[ 11940.55169022]
[ 22611.57474865]
[ 28997.8344849]
[ 196851.37535678]
[ 511002.96249178]
[ 883171.20183314]
[ 103.70542616]
[ 736.21692654]
[ 1977.2441079]
[ 3827.87110268]
[ 1.2111809]
[ 1.09730365]
[ 2.1781176]
[ 42.49925256]
[ 53.26994087]
[ 74.4538498]
[ 5.12714651]
[ 3.40411655]
[ 3.03899414]
[ 0.14369535]
[ 0.11073642]
[ 0.2119797]
[ 1.02934045]
[ 1.35718338]
[ 3.73918685]
[ 37.21317702]
[ 67.68273955]
[ 105.90947804]
[ 4.47607296]
[ 5.12877547]
[ 3.95959559]
[ 0.12793077]
[ 0.14771883]
[ 0.2848721]
[ 3.24206757]
[ 6.11812891]
[ 18.94341475]
[ 212.2786671]
[ 7351.94120426]
[ 19641.73158986]
[ 12.37027419]
[ 279.5312645]
[ 608.42015801]
[ 0.22428427]
[ 11.61856496]
[ 21.0605018]
