[ 0.16015385]
[ 1.15487179]
[ 1.4974359]
[ 55.11276205]
[ 105.05423149]
[ 148.47981436]
[ 164.16456892]
[ 241.08102564]
[ 401.49333333]
[ 473.31487179]
[ 415.13641026]
[ 8.69076923]
[ 16.22564103]
[ 24.15589744]
[ 26.93641026]
[ 40.38153846]
[ 94.16820513]
[ 120.15384615]
[ 117.33025641]
[ 3.42727256]
[ 7.25708944]
[ 9.33622759]
[ 9.63783303]
[ 71.24750872]
[ 141.51366051]
[ 210.22724164]
[ 234.52803446]
[ 290.65846154]
[ 541.6225641]
[ 688.73846154]
[ 614.07794872]
[ 11.21435897]
[ 21.81538462]
[ 33.58974359]
[ 37.75794872]
[ 55.40512821]
[ 131.42153846]
[ 168.84307692]
[ 160.51487179]
[ 4.42061333]
[ 9.89493272]
[ 13.39553785]
[ 13.59648903]
[ 8.63793154]
[ 11.3068281]
[ 9.45368021]
[ 10.76327451]
[ 63.53897436]
[ 48.26564103]
[ 48.36666667]
[ 37.31282051]
[ 1.47794872]
[ 1.25128205]
[ 1.46923077]
[ 2.73641026]
[ 4.8625641]
[ 4.7774359]
[ 4.0625641]
[ 0.60179621]
[ 0.70294313]
[ 0.63502836]
[ 0.62314185]
[ 9.30211251]
[ 12.03713128]
[ 13.94757918]
[ 18.24935467]
[ 57.53435897]
[ 52.64205128]
[ 68.32051282]
[ 61.98307692]
[ 1.55384615]
[ 1.79282051]
[ 2.37282051]
[ 2.93230769]
[ 6.15179487]
[ 7.66564103]
[ 6.86051282]
[ 0.576064]
[ 0.75817262]
[ 0.9069439]
[ 0.97778487]
[ 3.07643426]
[ 31.38494123]
[ 41.05796974]
[ 34.16569292]
[ 675.71692308]
[ 1155.49230769]
[ 1123.01333333]
[ 1020.32512821]
[ 9.16923077]
[ 7.88410256]
[ 91.02769231]
[ 113.05230769]
[ 107.95692308]
[ 1.69199795]
[ 5.9424321]
[ 7.62970749]
[ 6.65913928]
[ 273.06610021]
[ 576.94163774]
[ 1076.28940862]
[ 1506.43750441]
[ 1842.29025641]
[ 4252.04717949]
[ 6234.35487179]
[ 6852.38358974]
[ 43.48307692]
[ 91.23282051]
[ 165.82358974]
[ 230.21538462]
[ 257.0625641]
[ 676.35282051]
[ 1046.46564103]
[ 1256.45333333]
[ 18.41122533]
[ 47.23989108]
[ 77.90027856]
[ 99.89482667]
[ 0.57374872]
[ 0.70345128]
[ 0.8243641]
[ 3.85025641]
[ 2.9]
[ 5.18564103]
[ 0.00717949]
[-0.81230769]
[-0.49179487]
[ 0.19989231]
[ 0.11606667]
[ 0.28355385]
[ 0.79492308]
[ 1.13054872]
[ 1.56535385]
[ 3.86564103]
[ 3.97692308]
[ 8.91384615]
[-0.41435897]
[-1.25487179]
[-0.31897436]
[ 0.16110769]
[ 0.13379487]
[ 0.46472821]
[-7.47264615]
[-7.52603077]
[-5.69283077]
[ 111.37333333]
[ 194.89846154]
[ 165.68410256]
[ 20.82871795]
[ 36.17333333]
[ 29.31179487]
[ 3.21932308]
[ 6.05706667]
[ 5.09632821]
