f.chi.0.ax,f.chi.1.ax,f.chi.2.ax,f.chi.3.ax,f.Z.0.ax,f.Z.1.ax,f.Z.2.ax,f.Z.3.ax,f.I.0.ax,f.I.1.ax,f.I.2.ax,f.I.3.ax,f.T.0.ax,f.T.1.ax,f.T.2.ax,f.T.3.ax,f.S.0.ax,f.S.1.ax,f.S.2.ax,f.S.3.ax,f.chi.0.eq,f.chi.1.eq,f.chi.2.eq,f.chi.3.eq,f.Z.0.eq,f.Z.1.eq,f.Z.2.eq,f.Z.3.eq,f.I.0.eq,f.I.1.eq,f.I.2.eq,f.I.3.eq,f.T.0.eq,f.T.1.eq,f.T.2.eq,f.T.3.eq,f.S.0.eq,f.S.1.eq,f.S.2.eq,f.S.3.eq,lc.chi.0.ax,lc.chi.1.ax,lc.chi.2.ax,lc.chi.3.ax,lc.Z.0.ax,lc.Z.1.ax,lc.Z.2.ax,lc.Z.3.ax,lc.I.1.ax,lc.I.2.ax,lc.I.3.ax,lc.T.0.ax,lc.T.1.ax,lc.T.2.ax,lc.T.3.ax,lc.S.0.ax,lc.S.1.ax,lc.S.2.ax,lc.S.3.ax,lc.chi.0.eq,lc.chi.1.eq,lc.chi.2.eq,lc.chi.3.eq,lc.Z.0.eq,lc.Z.1.eq,lc.Z.2.eq,lc.Z.3.eq,lc.I.1.eq,lc.I.2.eq,lc.I.3.eq,lc.T.0.eq,lc.T.1.eq,lc.T.2.eq,lc.T.3.eq,lc.S.0.eq,lc.S.1.eq,lc.S.2.eq,lc.S.3.eq,mc.chi.0.all,mc.chi.1.all,mc.chi.2.all,mc.chi.3.all,mc.Z.0.all,mc.Z.1.all,mc.Z.2.all,mc.Z.3.all,mc.I.2.all,mc.I.3.all,mc.T.1.all,mc.T.2.all,mc.T.3.all,mc.S.0.all,mc.S.1.all,mc.S.2.all,mc.S.3.all,f.chi.0.all,f.chi.1.all,f.chi.2.all,f.chi.3.all,f.Z.0.all,f.Z.1.all,f.Z.2.all,f.Z.3.all,f.I.0.all,f.I.1.all,f.I.2.all,f.I.3.all,f.T.0.all,f.T.1.all,f.T.2.all,f.T.3.all,f.S.0.all,f.S.1.all,f.S.2.all,f.S.3.all,D_lc.chi.1.ax,D_lc.chi.2.ax,D_lc.chi.3.ax,D_lc.Z.1.ax,D_lc.Z.2.ax,D_lc.Z.3.ax,D_lc.T.1.ax,D_lc.T.2.ax,D_lc.T.3.ax,D_lc.S.1.ax,D_lc.S.2.ax,D_lc.S.3.ax,D_lc.chi.1.eq,D_lc.chi.2.eq,D_lc.chi.3.eq,D_lc.Z.1.eq,D_lc.Z.2.eq,D_lc.Z.3.eq,D_lc.T.1.eq,D_lc.T.2.eq,D_lc.T.3.eq,D_lc.S.1.eq,D_lc.S.2.eq,D_lc.S.3.eq,D_mc.chi.1.all,D_mc.chi.2.all,D_mc.chi.3.all,D_mc.Z.1.all,D_mc.Z.2.all,D_mc.Z.3.all,D_mc.T.1.all,D_mc.T.2.all,D_mc.T.3.all,D_mc.S.1.all,D_mc.S.2.all,D_mc.S.3.all,ox,spin
27.55135,41.106,41.0865,16.83,112,150,60,18,4,6,7,3,13,23,13,3,1.6424,2.5718,1.8361,0.8547,21.5136,30.272,9.68,0,66,32,2,0,3,4,2,0,6,8,2,0,0.8067,1.0804,0.2738,0,6.5025,8.262,3.25125,8.415,36,45,18,9,1,0.5,1.5,1,1.5,2,1.5,0.5929,0.5698,0.29645,0.42735,11.8336,15.136,0,0,64,16,0,0,2,0,0,4,4,0,0,0.5329,0.5402,0,0,2.4025,29.233,37.324,3.9525,625,1100,575,150,10,1,96,66,24,1.9321,6.1994,6.1716,1.0703,143.5596,261.766,490.9012,795.7266,1113,2628,2886,2052,21,40,72,108,112,292,386,352,8.4437,21.864,33.6848,36.854,-0.69,0,0.525,-1.5,0,7.5,-0.5,-1.5,0,0.03,0,0.6,2.48,0,0,14,0,0,2,0,0,0.72,0,0,-9.56,-8.58,-1,106,227,19,20,49,2,3.88,9.46,0.62,3,5
19.92485,23.908,4.84,0,83,64,1,0,2.5,3,1,0,4,5,1,0,0.96625,1.1023,0.1369,0,57.2036,118.983,171.695,126.632,212,456,512,110,9,18,26,22,44,102,122,50,3.4521,8.085,10.305,5.3206,9.16805,11.954,0,0,50,32,0,0,1.5,0,0,2.5,2.5,0,0,0.5629,0.55115,0,0,11.8336,17.544,32.68,15.136,64,96,112,16,2,4,2,4,12,16,4,0.5329,1.1242,1.6644,0.5402,2.4025,30.6125,43.772,58.9,625,1150,1450,1400,11,16,102,162,192,1.9321,6.1438,10.6057,12.6768,271.0666,584.973,1108.396,1551.64,1639,4252,6710,7680,42,90,158,230,248,676,1118,1358,17.673,46.8322,78.9842,102.887,0.795,0,0,6,0,0,1,0,0,0.38,0,0,1.78,4.26,2.48,4,18,14,-2,0,2,-0.08,0.64,0.72,-10.45,-11.19,-13.2,104,217,344,19,39,64,3.92,7.66,13.12,2,2
46.9851,91.8255,126.934,80.146,168,330,316,73,7.5,14,20,14,34,73,74,28,2.80555,6.0522,6.9886,3.515,65.9541,139.128,199.54,196.746,234,516,580,360,11,22,32,34,54,126,152,112,4.2115,9.9022,12.7216,10.2902,9.16805,12.648,19.59125,15.983,50,69,74,17,1.5,2.5,2.5,2.5,7,10,3.5,0.5629,0.85085,1.12865,0.69745,9.2416,15.504,28.88,21.128,49,84,98,56,2,4,3,4,12,16,10,0.5625,1.155,1.71,1.1325,2.4025,28.1325,44.237,77.5775,625,1050,1675,1900,11,21,102,192,264,1.9321,6.255,11.7455,16.9163,360.1891,796.428,1414.622,1963.809,1897,4824,7770,10066,60,128,220,316,348,918,1468,1982,24.3892,64.2232,105.2288,145.43,0.645,2.13,1.765,1.5,9,14.5,-1.5,-1.5,1,-0.03,0.32,0.96,0.98,2.66,2.17,2,14,13,-2,0,1,-0.04,0.72,0.74,-8.85,-11.49,-17.5,108,208,449,19,34,82,3.84,6.84,17.02,2,2
37.76985,68.2635,85.8475,63.316,156,276,256,55,5.5,10,13,11,23,52,61,25,2.28895,4.6046,5.1525,2.6603,65.9541,139.128,199.54,196.746,234,516,580,360,11,22,32,34,54,126,152,112,4.2115,9.9022,12.7216,10.2902,9.16805,13.158,16.34,7.568,50,72,56,8,1.5,2,1,2.5,6.5,8,2,0.5629,0.84315,0.8322,0.2701,9.2416,15.504,28.88,21.128,49,84,98,56,2,4,3,4,12,16,10,0.5625,1.155,1.71,1.1325,2.4025,28.1325,44.857,73.625,625,1050,1700,1750,11,20,102,186,240,1.9321,6.255,11.7177,15.846,341.7586,749.304,1333.689,1934.724,1873,4716,7700,9802,56,120,206,308,326,874,1422,1892,23.356,61.328,101.501,141.4308,0.445,2.13,1.24,1,9,7,-1,0,1,-0.02,0.32,0.36,0.98,2.66,2.17,2,14,13,-2,0,1,-0.04,0.72,0.74,-8.85,-11.89,-16.5,108,207,430,19,35,80,3.84,6.86,16.4,2,2
19.92485,23.908,4.84,0,83,64,1,0,2.5,3,1,0,4,5,1,0,0.96625,1.1023,0.1369,0,36.7666,64.668,82.173,33.66,124,204,120,36,6,10,14,6,24,44,26,6,2.159,4.0194,3.6722,1.7094,9.16805,11.954,0,0,50,32,0,0,1.5,0,0,2.5,2.5,0,0,0.5629,0.55115,0,0,6.5025,7.752,6.5025,16.83,36,42,36,18,1,1,3,1,2,4,3,0.5929,0.5775,0.5929,0.8547,2.7556,26.8754,33.2,16.932,576,912,912,576,7,4,78,66,96,1.6129,5.8166,5.6769,3.9116,189.6717,360.2388,622.542,706.272,1238,2768,3506,3720,30,58,102,102,160,364,410,478,12.1814,29.9154,43.7954,48.7814,0.795,0,0,6,0,0,1,0,0,0.38,0,0,-0.49,0,1.05,-1,0,15,-1,-3,0,0.02,0,1.2,-6.23,-8.38,-3.56,106,130,72,23,31,8,3.04,4.42,2,3,4
61.57885,129.0555,185.6175,161.689,223,486,546,235,10,20,29,28,49,114,137,81,3.8318,8.9936,11.5133,7.8054,18.3361,17.544,0,0,100,96,0,0,2,2,0,0,2,2,0,0,1.1258,1.1242,0,0,10.5376,16.524,30.78,18.132,56.5,90,105,36,2,4,2.5,4,12,16,7,0.5477,1.1396,1.6872,0.83635,6.5025,8.772,0,0,36,48,0,0,1,0,0,1,1,0,0,0.5929,0.5621,0,0,2.7556,27.6888,39.7736,31.54,576,936,1344,672,8,8,84,96,96,1.6129,5.7912,7.62,5.7912,199.2577,383.6646,681.9194,1049.4916,1422,3228,5044,5438,29,60,104,152,164,436,660,728,13.7797,34.0664,55.5932,72.858,1.38,3.46,2.325,3,16,13.5,-2,0,1.5,-0.06,0.68,0.73,-0.89,0,0,-2,0,0,0,0,0,0.04,0,0,-6.72,-10.68,-5.72,105,136,164,22,32,32,3.06,4.16,5.6,2,5
37.76985,68.2635,85.8475,63.316,156,276,256,55,5.5,10,13,11,23,52,61,25,2.28895,4.6046,5.1525,2.6603,57.2036,118.983,171.695,126.632,212,456,512,110,9,18,26,22,44,102,122,50,3.4521,8.085,10.305,5.3206,9.16805,13.158,16.34,7.568,50,72,56,8,1.5,2,1,2.5,6.5,8,2,0.5629,0.84315,0.8322,0.2701,11.8336,17.544,32.68,15.136,64,96,112,16,2,4,2,4,12,16,4,0.5329,1.1242,1.6644,0.5402,3.3489,36.1425,52.9602,86.925,676,1196,1768,1820,11,20,102,186,240,1.5625,5.525,10.5375,14.25,307.703,684.744,1288.7874,1757.156,1836,4768,7856,9390,48,104,182,260,286,778,1302,1620,19.9488,52.5992,88.879,117.258,0.445,2.13,1.24,1,9,7,-1,0,1,-0.02,0.32,0.36,1.78,4.26,2.48,4,18,14,-2,0,2,-0.08,0.64,0.72,-8.77,-8.81,-10.9,110,218,450,19,35,80,3.08,5.32,13.6,2,5
65.9541,139.128,199.54,196.746,234,516,580,360,11,22,32,34,54,126,152,112,4.2115,9.9022,12.7216,10.2902,21.5136,30.272,9.68,0,66,32,2,0,3,4,2,0,6,8,2,0,0.8067,1.0804,0.2738,0,9.2416,15.504,28.88,21.128,49,84,98,56,2,4,3,4,12,16,10,0.5625,1.155,1.71,1.1325,11.8336,15.136,0,0,64,16,0,0,2,0,0,4,4,0,0,0.5329,0.5402,0,0,3.3489,36.3072,50.874,34.77,676,1196,832,728,12,8,108,120,96,1.5625,5.525,7.55,5.7,221.3115,471.9584,867.356,1383.032,1408,3552,4594,4656,35,72,126,204,198,540,854,1036,13.2123,35.176,57.9182,76.4324,0.98,2.66,2.17,2,14,13,-2,0,1,-0.04,0.72,0.74,2.48,0,0,14,0,0,2,0,0,0.72,0,0,-8.86,-5.84,-4.36,110,280,180,18,52,32,3.08,8.96,5.44,2,1
21.5136,30.272,9.68,0,66,32,2,0,3,4,2,0,6,8,2,0,0.8067,1.0804,0.2738,0,18.3361,17.544,0,0,100,96,0,0,2,2,0,0,2,2,0,0,1.1258,1.1242,0,0,11.8336,15.136,0,0,64,16,0,0,2,0,0,4,4,0,0,0.5329,0.5402,0,0,6.5025,8.772,0,0,36,48,0,0,1,0,0,1,1,0,0,0.5929,0.5621,0,0,3.5344,32.1104,42.4128,0,729,1080,972,0,8,0,84,48,0,1.5876,5.7204,5.544,0,119.906,194.9408,346.2348,639.9296,1261,2608,3276,2432,15,28,50,80,78,208,262,184,7.7042,18.0984,28.8098,33.2944,2.48,0,0,14,0,0,2,0,0,0.72,0,0,-0.89,0,0,-2,0,0,0,0,0,0.04,0,0,-5.8,-7.52,0,122,180,0,22,40,0,3.02,5.68,0,3,1
36.7666,64.668,82.173,33.66,124,204,120,36,6,10,14,6,24,44,26,6,2.159,4.0194,3.6722,1.7094,57.2036,118.983,171.695,126.632,212,456,512,110,9,18,26,22,44,102,122,50,3.4521,8.085,10.305,5.3206,6.5025,7.752,6.5025,16.83,36,42,36,18,1,1,3,1,2,4,3,0.5929,0.5775,0.5929,0.8547,11.8336,17.544,32.68,15.136,64,96,112,16,2,4,2,4,12,16,4,0.5329,1.1242,1.6644,0.5402,3.5344,35.4568,49.7824,81.028,729,1188,1674,1836,10,18,96,168,240,1.5876,5.6196,9.6516,13.4316,305.882,676.1816,1246.051,1563.3696,1825,4608,7244,8704,49,104,182,236,286,744,1168,1456,19.714,51.618,84.4418,108.588,-0.49,0,1.05,-1,0,15,-1,-3,0,0.02,0,1.2,1.78,4.26,2.48,4,18,14,-2,0,2,-0.08,0.64,0.72,-7.58,-7.68,-9.26,118,208,418,20,32,68,3.1,4.94,12.02,2,4
