# Default data for bond lengths (in A) between metal, connection atom and ligand
# keys are metal, ox state, spin multiplicity, C-C BL, C-O BL,O-M BL  
Co 4 2 1.36214 2.03194 1.82858
Co 4 4 1.36987 1.99042 1.70842
Cr 4 3 1.37512 2.00213 1.77526
Cr 5 2 1.43336 1.89547 1.63855
Fe 4 3 1.37808 2.01685 1.71966
Fe 4 5 1.36509 2.09892 1.77272
Fe 5 2 1.38207 2.21715 1.67684
Fe 5 4 1.37462 2.08593 1.73004
Mn 4 2 1.38044 1.9742 1.70446
Mn 4 4 1.36974 2.11334 1.73752
Mn 5 3 1.37086 2.28663 1.69951
