# Default data for bond lengths (in A) between metal, connection atom and ligand
# keys are metal, ox state, spin multiplicity, substrate, C-L-M angle, rO-C-Ca angle
# cat, reacting atom = C
# DOI = 10.1021/om700573h
Pd - - C 35
Pd 1 1 C 35 
