# Default data for bond lengths (in A) between metal, connection atom and ligand
# keys are metal, ox state, spin multiplicity, C-O-M angle, rO-C-Ca angle
Co - - - 125 104
Co 4 2 - 121.052 102.732
Co 4 4 - 128.376 105.051
Cr - - - 135 103
Cr 4 3 - 129.585 105.217
Cr 5 2 - 144.528 101.262
Fe - - - 127 103
Fe 4 3 - 127.371 105.349
Fe 4 5 - 128.518 101.54
Fe 5 2 - 123.103 104.322
Fe 5 4 - 127.844 101.416
Mn - - - 128 105
Mn 4 2 - 131.195 106.17
Mn 4 4 - 125.203 104.09
Mn 5 3 - 124.714 104.021
