# Default data for bond lengths (in A) between metal, connection atom and ligand
# keys are metal, ox state, spin multiplicity, N-O-M, O-N-N angle
Co - - - 130 120
Co 4 2 - 123 114
Co 4 4 - 135 125
Cr - - - 126 121
Cr 4 3 - 126 121
Fe - - - 135 135
Fe 4 3 - 130 130
Fe 4 5 - 137 130
Fe 5 2 - 142 122
Fe 5 4 - 140 125
Mn - - - 137 126
Mn 4 4 - 130 124
Mn 5 3 - 143 128
