name,mad,job_name,alpha,unique_num,metal,smi_num,eqlig,axlig1,axlig2,eq_con,ax_con1,ax_con2,ligcharge,oxstate,spinmult,flag_oct_loose,flag_conv,geo_use,ss_use,ss_label,ss_del,ss_target,ss_actual,flag_oct,flag_list,flag_init,flag_list_init,num_coord_metal,rmsd_max,oct_angle_devi_max,max_del_sig_angle,dist_del_eq,dist_del_all,devi_linear_avrg,devi_linear_max
cr_3_eq_[PH2-]-[N]=[N]-[PH2-]_ax1_[PH2-]-[N]=[N]-[PH2-]_ax2_[PH2-]-[N]=[N]-[PH2-]_ahf_20_4,chargedBi,gen_0_slot_153_0_3_89_89_89_20_4,20,153,cr,0_89_89_89,[PH2-]-[N]=[N]-[PH2-],[PH2-]-[N]=[N]-[PH2-],[PH2-]-[N]=[N]-[PH2-],-1,-1,-1,-12,3,4,1,1,1,1,1,0.018680000000000002,3.75,3.7686800000000003,1,None,1,None,6,0.174531984,7.062468712,12.04809401,0.0023602,0.004075205,0,0
fe_2_eq_[PH]=[OH-]_ax1_[PH]=[OH-]_ax2_[PH]=[OH-]_ahf_20_5,chargedMono,gen_0_slot_724_2_2_311_311_311_20_5,20,724,fe,2_311_311_311,[PH]=[OH-],[PH]=[OH-],[PH]=[OH-],-1,-1,-1,-6,2,5,0,0,1,0,1,0.01733,6.0,6.01733,0,num_coord_metal,1,None,5,-1,-1,-1,-1,-1,-1,-1
fe_3_eq_bipy_ax1_methylamine_ax2_methylamine_ahf_20_6,distrun,gen_0_slot_11_2_3_12_31_31_20_6,20,11,fe,2_12_31_31,bipy,methylamine,methylamine,-1,-1,-1,0,3,6,1,1,1,1,1,0.006012,8.75,8.756012,1,None,1,None,6,0.175273827,6.985934577,13.95106585,0.00322799,0.055128557,0,0
undef,rs1,1223_mn_3_eq_16_ax1_9_ax2_16_1,20,1223,mn,mn_carbonyl_pyr_carbonyl,carbonyl,pyr,carbonyl,-1,-1,-1,0,3,1,1,1,1,0,1,0.0,0.0,0.0,1,None,1,None,6,0.036711543,5.806089094,11.66174795,0.002314965,0.287374629,1.483830544,1.806799496
cr_3_eq_[O+]-[SH]_ax1_[O+]-[SH]_ax2_[O+]-[SH]_ahf_20_2,chargedMono,gen_0_slot_1081_0_3_177_177_177_20_2,20,1081,cr,0_177_177_177,[O+]-[SH],[O+]-[SH],[O+]-[SH],-1,-1,-1,6,3,2,0,0,1,1,0,3.2410959999999998,0.75,3.9910959999999998,0,num_coord_metal,1,None,0,-1,-1,-1,-1,-1,-1,-1
mn_3_eq_[CH2]=[PH]_ax1_[CH2]=[PH]_ax2_[CH2]=[PH]_ahf_20_1,neutralMono,gen_0_slot_227_1_3_70_70_70_20_1,20,227,mn,1_70_70_70,[CH2]=[PH],[CH2]=[PH],[CH2]=[PH],-1,-1,-1,0,3,1,0,1,1,0,1,0.0,0.0,0.0,0,num_coord_metal,1,None,5,-1,-1,-1,-1,-1,-1,-1
mn_3_eq_[CH3]-[SH]_ax1_[CH3]-[SH]_ax2_[CH3]-[SH]_ahf_20_1,neutralMono,gen_0_slot_275_1_3_77_77_77_20_1,20,275,mn,1_77_77_77,[CH3]-[SH],[CH3]-[SH],[CH3]-[SH],-1,-1,-1,0,3,1,0,0,1,0,1,0.0,0.0,0.0,0,num_coord_metal,1,None,3,-1,-1,-1,-1,-1,-1,-1
co_3_eq_ethbipyridine_ax1_furan_ax2_furan_ahf_20_5,allhits,gen_0_slot_51_3_3_15_30_30_20_5,20,51,co,3_15_30_30,ethbipyridine,furan,furan,-1,-1,-1,0,3,5,0,0,1,0,1,0.014058000000000001,6.0,6.014058,0,num_coord_metal,1,None,4,-1,-1,-1,-1,-1,-1,-1
co_3_eq_[S-]#[P]_ax1_[S-]#[P]_ax2_[S-]#[P]_ahf_20_5,chargedMono,gen_0_slot_807_3_3_343_343_343_20_5,20,807,co,3_343_343_343,[S-]#[P],[S-]#[P],[S-]#[P],-1,-1,-1,-6,3,5,0,0,1,1,0,3.570875,6.0,9.570875,0,num_coord_metal,1,None,5,-1,-1,-1,-1,-1,-1,-1
cr_3_eq_[CH2+]-[SH]_ax1_[CH2+]-[SH]_ax2_[CH2+]-[SH]_ahf_20_4,chargedMono,gen_0_slot_1001_0_3_52_52_52_20_4,20,1001,cr,0_52_52_52,[CH2+]-[SH],[CH2+]-[SH],[CH2+]-[SH],-1,-1,-1,6,3,4,0,0,1,1,0,4.529457,3.75,8.279457,0,num_coord_metal,1,None,0,-1,-1,-1,-1,-1,-1,-1
