misc-dent-eq,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,f-chi-0-ax,f-chi-1-ax,f-chi-2-ax,f-chi-3-ax,f-Z-0-ax,f-Z-1-ax,f-Z-2-ax,f-Z-3-ax,f-I-0-ax,f-I-1-ax,f-I-2-ax,f-I-3-ax,f-T-0-ax,f-T-1-ax,f-T-2-ax,f-T-3-ax,f-S-0-ax,f-S-1-ax,f-S-2-ax,f-S-3-ax,f-chi-0-eq,f-chi-1-eq,f-chi-2-eq,f-chi-3-eq,f-Z-0-eq,f-Z-1-eq,f-Z-2-eq,f-Z-3-eq,f-I-0-eq,f-I-1-eq,f-I-2-eq,f-I-3-eq,f-T-0-eq,f-T-1-eq,f-T-2-eq,f-T-3-eq,f-S-0-eq,f-S-1-eq,f-S-2-eq,f-S-3-eq,lc-chi-0-ax,lc-chi-1-ax,lc-chi-2-ax,lc-chi-3-ax,lc-Z-0-ax,lc-Z-1-ax,lc-Z-2-ax,lc-Z-3-ax,lc-I-1-ax,lc-I-2-ax,lc-I-3-ax,lc-T-0-ax,lc-T-1-ax,lc-T-2-ax,lc-T-3-ax,lc-S-0-ax,lc-S-1-ax,lc-S-2-ax,lc-S-3-ax,lc-chi-0-eq,lc-chi-1-eq,lc-chi-2-eq,lc-chi-3-eq,lc-Z-0-eq,lc-Z-1-eq,lc-Z-2-eq,lc-Z-3-eq,lc-I-1-eq,lc-I-2-eq,lc-I-3-eq,lc-T-0-eq,lc-T-1-eq,lc-T-2-eq,lc-T-3-eq,lc-S-0-eq,lc-S-1-eq,lc-S-2-eq,lc-S-3-eq,D_lc-chi-1-ax,D_lc-chi-2-ax,D_lc-chi-3-ax,D_lc-Z-1-ax,D_lc-Z-2-ax,D_lc-Z-3-ax,D_lc-T-1-ax,D_lc-T-2-ax,D_lc-T-3-ax,D_lc-S-1-ax,D_lc-S-2-ax,D_lc-S-3-ax,D_lc-chi-1-eq,D_lc-chi-2-eq,D_lc-chi-3-eq,D_lc-Z-1-eq,D_lc-Z-2-eq,D_lc-Z-3-eq,D_lc-T-1-eq,D_lc-T-2-eq,D_lc-T-3-eq,D_lc-S-1-eq,D_lc-S-2-eq,D_lc-S-3-eq,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-2-all,mc-I-3-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,mc-O-0-all,mc-O-1-all,mc-O-2-all,mc-O-3-all,D_mc-O-1-all,D_mc-O-2-all,D_mc-O-3-all,alpha,ox,spin
1,127.6186,234.321,482.784,905.136,997,2364,2492,1416,20,38,80,130,118,328,472,394,7.4836,20.2942,34.5324,38.7458,15.08485,8.772,0,0,82,48,0,0,1.5,1,0,0,1,1,0,0,0.82935,0.5621,0,0,23.7616,40.128,29.04,0,52,42,6,0,4,6,6,0,12,18,6,0,0.9732,1.665,0.8214,0,9.16805,4.386,0,0,50,24,0,0,0.5,0,0,0.5,0.5,0,0,0.5629,0.28105,0,0,9.2416,20.064,0,0,49,21,0,0,3,0,0,9,9,0,0,0.5625,0.8325,0,0,-0.445,0,0,-1,0,0,0,0,0,0.02,0,0,2.52,0,0,18,0,0,6,0,0,1.14,0,0,2.4025,28.1325,46.252,0,625,1050,500,0,13,0,114,78,0,1.9321,6.255,7.1863,0,-8.85,-9.69,0,108,305,0,17,65,0,3.84,12.9,0,900,1260,600,0,138,370,0,0,5,1
4,261.7925,618.7304,1231.8,1736.212,1734,4576,7574,9688,41,96,180,260,276,780,1388,1788,18.6529,52.024,94.714,126.4372,16.6736,15.136,4.84,0,65,16,1,0,2,2,1,0,3,4,1,0,0.6698,0.5402,0.1369,0,225.0964,518.772,829.464,958.168,928,2256,3360,2920,36,80,128,152,208,528,768,744,15.7508,39.7936,60.6144,61.3496,11.8336,7.568,0,0,64,8,0,0,1,0,0,2,2,0,0,0.5329,0.2701,0,0,9.2416,15.504,31.008,42.256,49,84,168,112,2,4,6,4,12,24,20,0.5625,1.155,2.31,2.265,1.24,0,0,7,0,0,1,0,0,0.36,0,0,0.98,1.96,4.34,2,4,26,-2,-4,2,-0.04,-0.08,1.48,3.3489,34.8432,45.384,55.998,676,1144,1300,1872,10,12,96,156,216,1.5625,5.575,8.625,11.55,-8.06,-6.5,-8.64,112,210,240,20,34,36,3.04,5.6,5.76,900,1320,1500,2160,136,250,288,5,4,3
1,110.2761,184.204,438.656,595.584,1242,2978,3048,784,15,28,54,80,82,216,262,176,6.6719,17.2208,27.209,23.1472,10.9096,0,0,0,176.5,0,0,0,1,0,0,0,0,0,0,0,0.7565,0,0,0,21.5136,30.272,9.68,0,66,32,2,0,3,4,2,0,6,8,2,0,0.8067,1.0804,0.2738,0,10.9096,0,0,0,176.5,0,0,0,0,0,0,0,0,0,0,0.7565,0,0,0,11.8336,15.136,0,0,64,16,0,0,2,0,0,4,4,0,0,0.5329,0.5402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.48,0,0,14,0,0,2,0,0,0.72,0,0,2.4025,31.558,27.28,0,625,1425,200,0,8,0,84,48,0,1.9321,6.4496,4.1144,0,-11.06,-5.2,0,93,192,0,22,40,0,3.7,8.16,0,841,1653,232,0,117,224,0,0,4,2
2,179.3605,393.1444,870.336,1504.768,1148,2966,4022,2856,30,62,138,238,200,596,1026,1062,9.8806,28.855,55.7886,71.6886,17.7976,20.064,14.52,0,58,21,3,0,2.5,3,3,0,6,9,3,0,0.75305,0.8325,0.4107,0,70.2082,142.397,212.992,233.0272,178,344,328,226,12,22,36,42,58,136,144,98,3.406,7.995,10.1836,8.9098,10.5376,10.032,0,0,56.5,10.5,0,0,1.5,0,0,4.5,4.5,0,0,0.5477,0.41625,0,0,9.2416,21.128,21.128,22.6176,49,56,56,63,3,3,3,9,18,18,15,0.5625,1.1325,1.1325,1.1175,1.26,0,0,9,0,0,3,0,0,0.57,0,0,2.17,2.17,1.68,13,13,12,3,3,4,0.74,0.74,0.76,3.3489,34.1112,62.952,32.208,676,1118,910,208,15,8,126,162,48,1.5625,5.6,8.9375,3.7,-7.66,-6.95,-2.96,113,355,200,15,63,40,3.02,11.6,7.04,961,1333,1085,248,143,430,240,20,5,4
1,122.1572,219.8848,476.448,756.8,970,2464,2410,800,17,32,60,100,92,252,340,260,6.1793,16.5272,26.754,27.01,16.6736,15.136,4.84,0,65,16,1,0,2,2,1,0,3,4,1,0,0.6698,0.5402,0.1369,0,21.5136,30.272,9.68,0,66,32,2,0,3,4,2,0,6,8,2,0,0.8067,1.0804,0.2738,0,11.8336,7.568,0,0,64,8,0,0,1,0,0,2,2,0,0,0.5329,0.2701,0,0,11.8336,15.136,0,0,64,16,0,0,2,0,0,4,4,0,0,0.5329,0.5402,0,0,1.24,0,0,7,0,0,1,0,0,0.36,0,0,2.48,0,0,14,0,0,2,0,0,0.72,0,0,2.7556,34.2624,36.52,0,576,1152,240,0,10,0,96,60,0,1.6129,5.5626,4.699,0,-10.68,-5.4,0,96,230,0,20,50,0,3.24,9,0,784,1344,280,0,120,270,0,5,4,3
2,177.1125,384.7524,855.404,1458.368,1162,3008,4038,2848,29,60,132,228,192,572,976,980,9.7141,28.2204,54.1668,68.6868,16.6736,15.136,4.84,0,65,16,1,0,2,2,1,0,3,4,1,0,0.6698,0.5402,0.1369,0,70.2082,142.397,212.992,233.0272,178,344,328,226,12,22,36,42,58,136,144,98,3.406,7.995,10.1836,8.9098,11.8336,7.568,0,0,64,8,0,0,1,0,0,2,2,0,0,0.5329,0.2701,0,0,9.2416,21.128,21.128,22.6176,49,56,56,63,3,3,3,9,18,18,15,0.5625,1.1325,1.1325,1.1175,1.24,0,0,7,0,0,1,0,0,0.36,0,0,2.17,2.17,1.68,13,13,12,3,3,4,0.74,0.74,0.76,3.3489,34.8432,58.926,32.208,676,1144,884,208,14,8,120,156,48,1.5625,5.575,8.475,3.7,-8.06,-6.58,-2.96,112,330,200,16,58,40,3.04,10.72,7.04,900,1320,1020,240,136,386,232,10,4,1
1,133.9905,268.8624,555.388,1029.6,1000,2446,2350,1080,22,42,90,150,132,372,570,510,6.9614,19.525,34.707,41.403,17.7976,20.064,14.52,0,58,21,3,0,2.5,3,3,0,6,9,3,0,0.75305,0.8325,0.4107,0,23.7616,40.128,29.04,0,52,42,6,0,4,6,6,0,12,18,6,0,0.9732,1.665,0.8214,0,10.5376,10.032,0,0,56.5,10.5,0,0,1.5,0,0,4.5,4.5,0,0,0.5477,0.41625,0,0,9.2416,20.064,0,0,49,21,0,0,3,0,0,9,9,0,0,0.5625,0.8325,0,0,1.26,0,0,9,0,0,3,0,0,0.57,0,0,2.52,0,0,18,0,0,6,0,0,1.14,0,0,3.3489,34.1112,60.39,0,676,1118,390,0,15,0,126,90,0,1.5625,5.6,6.9375,0,-7.66,-5.55,0,113,375,0,15,75,0,3.02,13.2,0,900,1290,450,0,137,435,0,20,4,5
4,255.0766,590.541,1176.248,1640.332,1702,4440,7578,9712,40,94,176,250,270,760,1348,1714,19.3712,53.4586,96.6984,129.5918,13.78885,7.752,0,0,74.5,42,0,0,1.5,1,0,0,1,1,0,0,0.84415,0.5775,0,0,225.0964,518.772,829.464,958.168,928,2256,3360,2920,36,80,128,152,208,528,768,744,15.7508,39.7936,60.6144,61.3496,9.16805,3.876,0,0,50,21,0,0,0.5,0,0,0.5,0.5,0,0,0.5629,0.28875,0,0,9.2416,15.504,31.008,42.256,49,84,168,112,2,4,6,4,12,24,20,0.5625,1.155,2.31,2.265,-0.245,0,0,-0.5,0,0,0,0,0,0.01,0,0,0.98,1.96,4.34,2,4,26,-2,-4,2,-0.04,-0.08,1.48,2.4025,28.1325,36.332,47.43,625,1050,1375,1800,9,12,90,150,216,1.9321,6.255,9.6049,12.8436,-8.85,-9.49,-12,108,170,228,21,29,36,3.84,5.6,7.44,900,1260,1650,2160,138,215,288,15,5,1
1,106.863,146.9754,280.722,469.216,1240,2456,3280,2560,12,22,40,50,62,152,160,90,7.7244,17.071,26.604,27.813,15.08485,8.772,0,0,82,48,0,0,1.5,1,0,0,1,1,0,0,0.82935,0.5621,0,0,18.3361,17.544,0,0,100,96,0,0,2,2,0,0,2,2,0,0,1.1258,1.1242,0,0,9.16805,4.386,0,0,50,24,0,0,0.5,0,0,0.5,0.5,0,0,0.5629,0.28105,0,0,6.5025,8.772,0,0,36,48,0,0,1,0,0,1,1,0,0,0.5929,0.5621,0,0,-0.445,0,0,-1,0,0,0,0,0,0.02,0,0,-0.89,0,0,-2,0,0,0,0,0,0.04,0,0,3.3489,29.6277,31.476,0,676,988,1040,0,5,0,66,30,0,1.5625,5.725,4.5625,0,-5.21,-8.05,0,118,90,0,25,25,0,2.92,2.6,0,900,1140,1200,0,142,110,0,10,4,5
1,199.201,384.2144,685.787,630.896,1413,3072,3690,4040,32,62,110,90,172,372,390,480,12.9155,31.6386,45.29,46.824,24.3001,32.334,41.0865,16.83,94,102,60,18,3.5,5,7,3,12,22,13,3,1.34595,2.0097,1.8361,0.8547,36.7666,64.668,82.173,33.66,124,204,120,36,6,10,14,6,24,44,26,6,2.159,4.0194,3.6722,1.7094,9.16805,3.876,3.25125,8.415,50,21,18,9,0.5,0.5,1.5,0.5,1,2,1.5,0.5629,0.28875,0.29645,0.42735,6.5025,7.752,6.5025,16.83,36,42,36,18,1,1,3,1,2,4,3,0.5929,0.5775,0.5929,0.8547,-0.245,0,0.525,-0.5,0,7.5,-0.5,-1.5,0,0.01,0,0.6,-0.49,0,1.05,-1,0,15,-1,-3,0,0.02,0,1.2,3.5344,30.4372,28.576,23.97,729,1026,945,810,5,5,66,60,120,1.5876,5.7708,4.725,4.851,-4.91,-5.8,-3.35,124,100,105,25,20,10,2.98,2.55,2.45,1024,1216,1120,960,154,125,130,20,5,5
