misc-dent-eq,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,f-chi-0-ax,f-chi-1-ax,f-chi-2-ax,f-chi-3-ax,f-Z-0-ax,f-Z-1-ax,f-Z-2-ax,f-Z-3-ax,f-I-0-ax,f-I-1-ax,f-I-2-ax,f-I-3-ax,f-T-0-ax,f-T-1-ax,f-T-2-ax,f-T-3-ax,f-S-0-ax,f-S-1-ax,f-S-2-ax,f-S-3-ax,f-chi-0-eq,f-chi-1-eq,f-chi-2-eq,f-chi-3-eq,f-Z-0-eq,f-Z-1-eq,f-Z-2-eq,f-Z-3-eq,f-I-0-eq,f-I-1-eq,f-I-2-eq,f-I-3-eq,f-T-0-eq,f-T-1-eq,f-T-2-eq,f-T-3-eq,f-S-0-eq,f-S-1-eq,f-S-2-eq,f-S-3-eq,lc-chi-0-ax,lc-chi-1-ax,lc-chi-2-ax,lc-chi-3-ax,lc-Z-0-ax,lc-Z-1-ax,lc-Z-2-ax,lc-Z-3-ax,lc-I-1-ax,lc-I-2-ax,lc-I-3-ax,lc-T-0-ax,lc-T-1-ax,lc-T-2-ax,lc-T-3-ax,lc-S-0-ax,lc-S-1-ax,lc-S-2-ax,lc-S-3-ax,lc-chi-0-eq,lc-chi-1-eq,lc-chi-2-eq,lc-chi-3-eq,lc-Z-0-eq,lc-Z-1-eq,lc-Z-2-eq,lc-Z-3-eq,lc-I-1-eq,lc-I-2-eq,lc-I-3-eq,lc-T-0-eq,lc-T-1-eq,lc-T-2-eq,lc-T-3-eq,lc-S-0-eq,lc-S-1-eq,lc-S-2-eq,lc-S-3-eq,D_lc-chi-1-ax,D_lc-chi-2-ax,D_lc-chi-3-ax,D_lc-Z-1-ax,D_lc-Z-2-ax,D_lc-Z-3-ax,D_lc-T-1-ax,D_lc-T-2-ax,D_lc-T-3-ax,D_lc-S-1-ax,D_lc-S-2-ax,D_lc-S-3-ax,D_lc-chi-1-eq,D_lc-chi-2-eq,D_lc-chi-3-eq,D_lc-Z-1-eq,D_lc-Z-2-eq,D_lc-Z-3-eq,D_lc-T-1-eq,D_lc-T-2-eq,D_lc-T-3-eq,D_lc-S-1-eq,D_lc-S-2-eq,D_lc-S-3-eq,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-2-all,mc-I-3-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,mc-O-0-all,mc-O-1-all,mc-O-2-all,mc-O-3-all,D_mc-O-1-all,D_mc-O-2-all,D_mc-O-3-all,alpha,ox,spin
2,204.3411,394.412,891.058,866.314,1608,3978,5256,4888,31,64,122,124,186,444,590,720,13.4223,34.8596,54.9582,59.4324,10.9096,0,0,0,176.5,0,0,0,1,0,0,0,0,0,0,0,0.7565,0,0,0,90.0597,165.648,257.031,271.946,315,564,708,560,14,26,42,40,68,150,154,128,4.9886,10.9802,14.2554,13.5,10.9096,0,0,0,176.5,0,0,0,0,0,0,0,0,0,0,0.7565,0,0,0,11.8336,8.772,17.544,39.044,64,48,96,80,1,2,5,1,3,7,7,0.5329,0.5621,1.1242,1.6425,0,0,0,0,0,0,0,0,0,0,0,0,0.89,1.78,5.85,2,4,30,-2,-5,-2,-0.04,-0.08,1.4,2.4025,31.558,15.81,23.715,625,1425,600,900,4,6,60,72,132,1.9321,6.4496,4.2812,6.4218,-11.06,-4,-6,93,76,114,26,12,14,3.7,2.48,3.72,841,1653,696,1044,117,92,138,25,4,4
1,118.6266,199.857,428.336,692.448,1053,2524,2568,1248,16,30,56,90,86,232,300,218,6.8176,17.7334,27.6324,27.1738,15.08485,8.772,0,0,82,48,0,0,1.5,1,0,0,1,1,0,0,0.82935,0.5621,0,0,21.5136,30.272,9.68,0,66,32,2,0,3,4,2,0,6,8,2,0,0.8067,1.0804,0.2738,0,9.16805,4.386,0,0,50,24,0,0,0.5,0,0,0.5,0.5,0,0,0.5629,0.28105,0,0,11.8336,15.136,0,0,64,16,0,0,2,0,0,4,4,0,0,0.5329,0.5402,0,0,-0.445,0,0,-1,0,0,0,0,0,0.02,0,0,2.48,0,0,14,0,0,2,0,0,0.72,0,0,2.4025,30.6125,32.612,0,625,1150,400,0,9,0,90,54,0,1.9321,6.1438,5.1291,0,-10.45,-7.09,0,104,209,0,21,45,0,3.92,8.82,0,841,1334,464,0,128,245,0,25,4,4
2,211.046,419.085,886.9124,967.014,1455,3604,4788,4992,32,66,124,134,190,460,620,762,13.228,34.1654,54.3648,62.2586,13.78885,7.752,0,0,74.5,42,0,0,1.5,1,0,0,1,1,0,0,0.84415,0.5775,0,0,90.0597,165.648,257.031,271.946,315,564,708,560,14,26,42,40,68,150,154,128,4.9886,10.9802,14.2554,13.5,9.16805,3.876,0,0,50,21,0,0,0.5,0,0,0.5,0.5,0,0,0.5629,0.28875,0,0,11.8336,8.772,17.544,39.044,64,48,96,80,1,2,5,1,3,7,7,0.5329,0.5621,1.1242,1.6425,-0.245,0,0,-0.5,0,0,0,0,0,0.01,0,0,0.89,1.78,5.85,2,4,30,-2,-5,-2,-0.04,-0.08,1.4,3.3489,36.1425,24.2292,27.999,676,1196,806,936,5,6,66,78,132,1.5625,5.525,4.7875,5.775,-8.77,-4.09,-4.32,110,99,120,25,17,14,3.08,2.42,2.88,900,1380,930,1080,134,119,144,20,4,3
1,197.8676,364.671,802.1654,766.9964,2303,5144,7288,2944,31,62,118,124,180,428,562,624,15.2495,36.7542,59.0982,49.6412,77.76135,153.459,251.9715,330.6625,261,522,735,790,13,25,43,56,68,170,246,278,4.6985,10.7877,16.1239,20.2328,9.9856,0,0,0,289,0,0,0,1,0,0,0,0,0,0,0,0.9801,0,0,0,9.16805,3.876,3.25125,6.5025,50,21,18,36,0.5,0.5,1,0.5,1,1.5,3,0.5629,0.28875,0.29645,0.5929,9.9856,0,0,0,289,0,0,0,0,0,0,0,0,0,0,0.9801,0,0,0,-0.245,0,0,-0.5,0,0,-0.5,-1,-2,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4025,28.8765,4.712,3.9525,625,2050,175,150,1,1,42,12,18,1.9321,7.5894,1.0425,1.0703,-9.33,-1.49,-1,68,18,19,29,4,3,2.88,0.64,0.62,900,2460,210,180,98,23,24,20,5,1
1,733.628,1593.8454,2793.117,3767.946,3030,7196,10370,11700,127,262,470,620,732,1852,2710,3200,46.4159,119.327,188.093,240.528,77.76135,153.459,251.9715,330.6625,261,522,735,790,13,25,43,56,68,170,246,278,4.6985,10.7877,16.1239,20.2328,143.6891,306.918,503.943,661.325,458,1044,1470,1580,25,50,86,112,136,340,492,556,8.8641,21.5754,32.2478,40.4656,9.16805,3.876,3.25125,6.5025,50,21,18,36,0.5,0.5,1,0.5,1,1.5,3,0.5629,0.28875,0.29645,0.5929,6.5025,7.752,6.5025,13.005,36,42,36,72,1,1,2,1,2,3,6,0.5929,0.5775,0.5929,1.1858,-0.245,0,0,-0.5,0,0,-0.5,-1,-2,0.01,0,0,-0.49,0,0,-1,0,0,-1,-2,-4,0.02,0,0,3.3489,29.6277,27.816,23.3325,676,988,910,780,5,5,66,60,90,1.5625,5.725,4.6875,4.8125,-5.21,-6.05,-3.6,118,95,100,25,20,15,2.92,2.5,2.4,961,1178,1085,930,148,120,125,15,5,4
2,308.4641,713.584,1372.02,2001.326,1817,4784,7800,9612,50,114,210,310,324,900,1550,2030,22.1082,60.9354,107.737,145.7582,17.7976,20.064,14.52,0,58,21,3,0,2.5,3,3,0,6,9,3,0,0.75305,0.8325,0.4107,0,135.2332,307.836,484.936,583.6942,538,1296,1852,1936,22,48,76,94,124,312,452,476,9.335,23.408,34.99,38.5774,10.5376,10.032,0,0,56.5,10.5,0,0,1.5,0,0,4.5,4.5,0,0,0.5477,0.41625,0,0,9.2416,15.504,29.944,39.1856,49,84,133,182,2,4,5,4,12,20,24,0.5625,1.155,2.01,2.5725,1.26,0,0,9,0,0,3,0,0,0.57,0,0,0.98,2.31,2.31,2,9,9,-2,-2,-2,-0.04,0.32,0.32,2.4025,28.892,41.85,45.26,625,1075,1275,1300,11,12,102,162,168,1.9321,6.2272,10.1053,10.6196,-9.34,-9.95,-10.6,107,224,248,19,39,44,3.86,8.02,9.04,900,1290,1530,1560,137,279,308,10,5,1
1,733.628,1593.8454,2793.117,3767.946,3030,7196,10370,11700,127,262,470,620,732,1852,2710,3200,46.4159,119.327,188.093,240.528,77.76135,153.459,251.9715,330.6625,261,522,735,790,13,25,43,56,68,170,246,278,4.6985,10.7877,16.1239,20.2328,143.6891,306.918,503.943,661.325,458,1044,1470,1580,25,50,86,112,136,340,492,556,8.8641,21.5754,32.2478,40.4656,9.16805,3.876,3.25125,6.5025,50,21,18,36,0.5,0.5,1,0.5,1,1.5,3,0.5629,0.28875,0.29645,0.5929,6.5025,7.752,6.5025,13.005,36,42,36,72,1,1,2,1,2,3,6,0.5929,0.5775,0.5929,1.1858,-0.245,0,0,-0.5,0,0,-0.5,-1,-2,0.01,0,0,-0.49,0,0,-1,0,0,-1,-2,-4,0.02,0,0,3.3489,29.6277,27.816,23.3325,676,988,910,780,5,5,66,60,90,1.5625,5.725,4.6875,4.8125,-5.21,-6.05,-3.6,118,95,100,25,20,15,2.92,2.5,2.4,961,1178,1085,930,148,120,125,30,5,4
1,131.928,262.3744,543.536,982.08,1067,2576,2394,1032,21,40,84,140,124,348,520,452,6.82,18.9796,33.1888,38.4652,16.6736,15.136,4.84,0,65,16,1,0,2,2,1,0,3,4,1,0,0.6698,0.5402,0.1369,0,23.7616,40.128,29.04,0,52,42,6,0,4,6,6,0,12,18,6,0,0.9732,1.665,0.8214,0,11.8336,7.568,0,0,64,8,0,0,1,0,0,2,2,0,0,0.5329,0.2701,0,0,9.2416,20.064,0,0,49,21,0,0,3,0,0,9,9,0,0,0.5625,0.8325,0,0,1.24,0,0,7,0,0,1,0,0,0.36,0,0,2.52,0,0,18,0,0,6,0,0,1.14,0,0,3.5344,35.7952,57.904,0,729,1188,378,0,14,0,120,84,0,1.5876,5.6196,6.5268,0,-7.76,-4.48,0,118,364,0,16,70,0,3.1,12.46,0,961,1364,434,0,142,420,0,5,4,2
2,178.4141,382.706,851.072,1494.912,1097,2880,3952,2840,30,62,138,238,200,596,1026,1062,10.2502,30.1094,57.7906,72.5174,17.7976,20.064,14.52,0,58,21,3,0,2.5,3,3,0,6,9,3,0,0.75305,0.8325,0.4107,0,70.2082,142.397,212.992,233.0272,178,344,328,226,12,22,36,42,58,136,144,98,3.406,7.995,10.1836,8.9098,10.5376,10.032,0,0,56.5,10.5,0,0,1.5,0,0,4.5,4.5,0,0,0.5477,0.41625,0,0,9.2416,21.128,21.128,22.6176,49,56,56,63,3,3,3,9,18,18,15,0.5625,1.1325,1.1325,1.1175,1.26,0,0,9,0,0,3,0,0,0.57,0,0,2.17,2.17,1.68,13,13,12,3,3,4,0.74,0.74,0.76,2.4025,28.892,53.32,27.28,625,1075,875,200,15,8,126,162,48,1.9321,6.2272,9.9385,4.1144,-9.34,-11.15,-5.2,107,340,192,15,63,40,3.86,13.7,8.16,900,1290,1050,240,137,415,232,0,5,1
1,126.2386,201.094,407.365,437.79,2394,3530,4160,6160,17,32,50,60,82,192,240,240,13.444,26.0834,35.078,42.899,17.11705,14.331,7.8432,0,202.5,138,112,0,2,2,1,0,3,4,1,0,1.36435,1.3629,0.765,0,22.4005,28.662,15.6864,0,341,276,224,0,3,4,2,0,6,8,2,0,2.1958,2.7258,1.53,0,10.5376,3.876,3.9216,0,56.5,21,56,0,0.5,0.5,0,0.5,1,0.5,0,0.5477,0.28875,0.3825,0,9.2416,7.752,7.8432,0,49,42,112,0,1,1,0,1,2,1,0,0.5625,0.5775,0.765,0,0.245,0.23,0,0.5,-4.5,0,-0.5,0,0,-0.01,-0.135,0,0.49,0.46,0,1,-9,0,-1,0,0,-0.02,-0.27,0,2.4025,28.892,19.7625,19.995,625,1075,750,2000,5,5,66,60,30,1.9321,6.2272,5.3515,7.089,-9.34,-5,-5.15,107,95,45,25,20,25,3.86,3.1,1.85,841,1247,870,2320,131,115,65,0,4,4
2,309.4105,724.0224,1387.14,2017.678,1868,4870,7902,9716,50,114,210,310,324,900,1550,2030,21.7386,59.681,105.7014,143.619,17.7976,20.064,14.52,0,58,21,3,0,2.5,3,3,0,6,9,3,0,0.75305,0.8325,0.4107,0,135.2332,307.836,484.936,583.6942,538,1296,1852,1936,22,48,76,94,124,312,452,476,9.335,23.408,34.99,38.5774,10.5376,10.032,0,0,56.5,10.5,0,0,1.5,0,0,4.5,4.5,0,0,0.5477,0.41625,0,0,9.2416,15.504,29.944,39.1856,49,84,133,182,2,4,5,4,12,20,24,0.5625,1.155,2.01,2.5725,1.26,0,0,9,0,0,3,0,0,0.57,0,0,0.98,2.31,2.31,2,9,9,-2,-2,-2,-0.04,0.32,0.32,3.3489,34.1112,49.41,53.436,676,1118,1326,1352,11,12,102,162,168,1.5625,5.6,9.0875,9.55,-7.66,-6.87,-7.24,113,235,260,19,39,44,3.02,6.48,7.36,900,1290,1530,1560,137,279,308,10,4,3
2,219.0635,445.5024,945.838,1099.474,1422,3614,4666,4720,34,70,134,154,204,504,686,846,13.0458,34.6254,55.9402,64.7634,17.7976,20.064,14.52,0,58,21,3,0,2.5,3,3,0,6,9,3,0,0.75305,0.8325,0.4107,0,90.0597,165.648,257.031,271.946,315,564,708,560,14,26,42,40,68,150,154,128,4.9886,10.9802,14.2554,13.5,10.5376,10.032,0,0,56.5,10.5,0,0,1.5,0,0,4.5,4.5,0,0,0.5477,0.41625,0,0,11.8336,8.772,17.544,39.044,64,48,96,80,1,2,5,1,3,7,7,0.5329,0.5621,1.1242,1.6425,1.26,0,0,9,0,0,3,0,0,0.57,0,0,0.89,1.78,5.85,2,4,30,-2,-5,-2,-0.04,-0.08,1.4,3.3489,37.0392,30.744,27.999,676,1222,702,936,7,6,78,90,132,1.5625,5.5,5.2375,5.775,-9.26,-3.99,-4.32,109,155,120,23,27,14,3.1,4.56,2.88,900,1410,810,1080,133,183,144,25,4,5
2,210.0996,408.025,879.498,958.446,1404,3512,4726,4920,32,66,124,134,190,460,620,762,13.5976,35.403,55.4372,63.5522,13.78885,7.752,0,0,74.5,42,0,0,1.5,1,0,0,1,1,0,0,0.84415,0.5775,0,0,90.0597,165.648,257.031,271.946,315,564,708,560,14,26,42,40,68,150,154,128,4.9886,10.9802,14.2554,13.5,9.16805,3.876,0,0,50,21,0,0,0.5,0,0,0.5,0.5,0,0,0.5629,0.28875,0,0,11.8336,8.772,17.544,39.044,64,48,96,80,1,2,5,1,3,7,7,0.5329,0.5621,1.1242,1.6425,-0.245,0,0,-0.5,0,0,0,0,0,0.01,0,0,0.89,1.78,5.85,2,4,30,-2,-5,-2,-0.04,-0.08,1.4,2.4025,30.6125,20.522,23.715,625,1150,775,900,5,6,66,78,132,1.9321,6.1438,5.3237,6.4218,-10.45,-5.49,-6,104,94,114,25,17,14,3.92,3.12,3.72,841,1334,899,1044,128,114,138,20,4,2
1,94.0885,138.3944,274.922,414.656,1218,2472,3090,2240,12,22,40,50,62,152,160,90,7.8975,17.3166,26.929,28.575,13.78885,7.752,0,0,74.5,42,0,0,1.5,1,0,0,1,1,0,0,0.84415,0.5775,0,0,15.7441,15.504,0,0,85,84,0,0,2,2,0,0,2,2,0,0,1.1554,1.155,0,0,9.16805,3.876,0,0,50,21,0,0,0.5,0,0,0.5,0.5,0,0,0.5629,0.28875,0,0,6.5025,7.752,0,0,36,42,0,0,1,0,0,1,1,0,0,0.5929,0.5775,0,0,-0.245,0,0,-0.5,0,0,0,0,0,0.01,0,0,-0.49,0,0,-1,0,0,0,0,0,0.02,0,0,3.5344,30.4372,28.576,0,729,1026,945,0,5,0,66,30,0,1.5876,5.7708,4.725,0,-4.91,-5.8,0,124,100,0,25,25,0,2.98,2.55,0,961,1178,1085,0,148,120,0,15,4,2
1,120.5286,196.581,385.324,440.8632,2189,3372,3976,5512,16,30,48,58,78,184,224,210,12.034,23.3082,32.5692,38.895,13.78885,7.752,0,0,74.5,42,0,0,1.5,1,0,0,1,1,0,0,0.84415,0.5775,0,0,22.4005,28.662,15.6864,0,341,276,224,0,3,4,2,0,6,8,2,0,2.1958,2.7258,1.53,0,9.16805,3.876,0,0,50,21,0,0,0.5,0,0,0.5,0.5,0,0,0.5629,0.28875,0,0,9.2416,7.752,7.8432,0,49,42,112,0,1,1,0,1,2,1,0,0.5625,0.5775,0.765,0,-0.245,0,0,-0.5,0,0,0,0,0,0.01,0,0,0.49,0.46,0,1,-9,0,-1,0,0,-0.02,-0.27,0,3.3489,33.2145,24.2292,18.8856,676,1092,806,1664,5,4,66,54,24,1.5625,5.625,4.7875,5.1,-7.17,-4.09,-3,114,99,40,25,21,20,3,2.42,0.92,900,1260,930,1920,138,119,56,0,4,5
1,123.6374,223.8284,469.4034,688.5228,1345,2848,2800,1936,17,32,58,92,90,240,316,256,7.518,18.0474,28.0832,29.8974,17.11705,14.331,7.8432,0,202.5,138,112,0,2,2,1,0,3,4,1,0,1.36435,1.3629,0.765,0,21.5136,30.272,9.68,0,66,32,2,0,3,4,2,0,6,8,2,0,0.8067,1.0804,0.2738,0,10.5376,3.876,3.9216,0,56.5,21,56,0,0.5,0.5,0,0.5,1,0.5,0,0.5477,0.28875,0.3825,0,11.8336,15.136,0,0,64,16,0,0,2,0,0,4,4,0,0,0.5329,0.5402,0,0,0.245,0.23,0,0.5,-4.5,0,-0.5,0,0,-0.01,-0.135,0,2.48,0,0,14,0,0,2,0,0,0.72,0,0,3.3489,37.0392,36.8745,4.7214,676,1222,364,416,9,1,90,60,6,1.5625,5.5,4.6625,1.275,-9.26,-3.68,-0.75,109,220,10,21,44,5,3.1,7.52,0.23,900,1410,420,480,133,256,14,10,4,1
2,307.1625,715.6304,1372.208,1965.358,1882,4912,7918,9740,49,112,204,300,316,876,1508,1956,21.5721,59.0464,104.0796,140.6124,16.6736,15.136,4.84,0,65,16,1,0,2,2,1,0,3,4,1,0,0.6698,0.5402,0.1369,0,135.2332,307.836,484.936,583.6942,538,1296,1852,1936,22,48,76,94,124,312,452,476,9.335,23.408,34.99,38.5774,11.8336,7.568,0,0,64,8,0,0,1,0,0,2,2,0,0,0.5329,0.2701,0,0,9.2416,15.504,29.944,39.1856,49,84,133,182,2,4,5,4,12,20,24,0.5625,1.155,2.01,2.5725,1.24,0,0,7,0,0,1,0,0,0.36,0,0,0.98,2.31,2.31,2,9,9,-2,-2,-2,-0.04,0.32,0.32,3.3489,34.8432,45.384,53.436,676,1144,1300,1352,10,12,96,156,168,1.5625,5.575,8.625,9.55,-8.06,-6.5,-7.24,112,210,260,20,34,44,3.04,5.6,7.36,900,1320,1500,1560,136,250,308,5,4,3
2,298.3416,647.977,1299.651,2025.826,1503,3832,5544,4944,51,106,214,332,320,892,1438,1536,18.1411,50.0754,88.3654,112.6796,77.76135,153.459,251.9715,330.6625,261,522,735,790,13,25,43,56,68,170,246,278,4.6985,10.7877,16.1239,20.2328,70.2082,142.397,212.992,233.0272,178,344,328,226,12,22,36,42,58,136,144,98,3.406,7.995,10.1836,8.9098,9.16805,3.876,3.25125,6.5025,50,21,18,36,0.5,0.5,1,0.5,1,1.5,3,0.5629,0.28875,0.29645,0.5929,9.2416,21.128,21.128,22.6176,49,56,56,63,3,3,3,9,18,18,15,0.5625,1.1325,1.1325,1.1175,-0.245,0,0,-0.5,0,0,-0.5,-1,-2,0.01,0,0,2.17,2.17,1.68,13,13,12,3,3,4,0.74,0.74,0.76,2.4025,28.1325,47.802,31.2325,625,1050,975,350,13,9,114,156,66,1.9321,6.255,9.4381,5.1847,-8.85,-10.69,-6.2,108,286,211,17,52,43,3.84,11.28,8.78,900,1260,1170,420,138,351,256,30,5,3
2,171.343,366.727,812.9784,1366.452,1181,2956,4152,3080,28,58,128,218,186,552,928,898,10.0628,28.395,54.2164,69.2446,13.78885,7.752,0,0,74.5,42,0,0,1.5,1,0,0,1,1,0,0,0.84415,0.5775,0,0,70.2082,142.397,212.992,233.0272,178,344,328,226,12,22,36,42,58,136,144,98,3.406,7.995,10.1836,8.9098,9.16805,3.876,0,0,50,21,0,0,0.5,0,0,0.5,0.5,0,0,0.5629,0.28875,0,0,9.2416,21.128,21.128,22.6176,49,56,56,63,3,3,3,9,18,18,15,0.5625,1.1325,1.1325,1.1175,-0.245,0,0,-0.5,0,0,0,0,0,0.01,0,0,2.17,2.17,1.68,13,13,12,3,3,4,0.74,0.74,0.76,3.3489,33.2145,56.4372,32.208,676,1092,1014,208,13,8,114,150,48,1.5625,5.625,8.4875,3.7,-7.17,-7.05,-2.96,114,299,200,17,53,40,3,9.46,7.04,900,1260,1170,240,138,351,232,20,4,3
2,157.3154,257.768,631.4802,552.9212,1686,3538,4844,5136,17,36,66,64,102,252,360,284,11.2956,26.323,41.6228,41.0794,17.11705,14.331,7.8432,0,202.5,138,112,0,2,2,1,0,3,4,1,0,1.36435,1.3629,0.765,0,60.3394,83.181,117.5104,94.6688,328,456,640,512,6,10,12,8,22,42,28,8,3.3174,5.6826,6.6284,4.2632,10.5376,3.876,3.9216,0,56.5,21,56,0,0.5,0.5,0,0.5,1,0.5,0,0.5477,0.28875,0.3825,0,11.8336,8.772,20.6056,23.6672,64,48,112,128,1,2,2,1,3,4,2,0.5329,0.5621,1.095,1.0658,0.245,0.23,0,0.5,-4.5,0,-0.5,0,0,-0.01,-0.135,0,0.89,0.89,0,2,2,0,-2,-2,0,-0.04,-0.04,0,2.4025,31.372,19.7625,25.327,625,1175,750,1200,5,5,66,84,30,1.9321,6.116,5.3515,5.4766,-10.94,-5,-8.59,103,95,77,25,16,25,3.94,3.1,3.01,841,1363,870,1392,127,115,97,30,4,4
1,199.201,384.2144,685.787,630.896,1413,3072,3690,4040,32,62,110,90,172,372,390,480,12.9155,31.6386,45.29,46.824,24.3001,32.334,41.0865,16.83,94,102,60,18,3.5,5,7,3,12,22,13,3,1.34595,2.0097,1.8361,0.8547,36.7666,64.668,82.173,33.66,124,204,120,36,6,10,14,6,24,44,26,6,2.159,4.0194,3.6722,1.7094,9.16805,3.876,3.25125,8.415,50,21,18,9,0.5,0.5,1.5,0.5,1,2,1.5,0.5629,0.28875,0.29645,0.42735,6.5025,7.752,6.5025,16.83,36,42,36,18,1,1,3,1,2,4,3,0.5929,0.5775,0.5929,0.8547,-0.245,0,0.525,-0.5,0,7.5,-0.5,-1.5,0,0.01,0,0.6,-0.49,0,1.05,-1,0,15,-1,-3,0,0.02,0,1.2,3.5344,30.4372,28.576,23.97,729,1026,945,810,5,5,66,60,120,1.5876,5.7708,4.725,4.851,-4.91,-5.8,-3.35,124,100,105,25,20,10,2.98,2.55,2.45,1024,1216,1120,960,154,125,130,25,5,3
1,133.0441,258.424,536.908,1029.6,949,2360,2320,1080,22,42,90,150,132,372,570,510,7.331,20.7794,36.261,41.403,17.7976,20.064,14.52,0,58,21,3,0,2.5,3,3,0,6,9,3,0,0.75305,0.8325,0.4107,0,23.7616,40.128,29.04,0,52,42,6,0,4,6,6,0,12,18,6,0,0.9732,1.665,0.8214,0,10.5376,10.032,0,0,56.5,10.5,0,0,1.5,0,0,4.5,4.5,0,0,0.5477,0.41625,0,0,9.2416,20.064,0,0,49,21,0,0,3,0,0,9,9,0,0,0.5625,0.8325,0,0,1.26,0,0,9,0,0,3,0,0,0.57,0,0,2.52,0,0,18,0,0,6,0,0,1.14,0,0,2.4025,28.892,51.15,0,625,1075,375,0,15,0,126,90,0,1.9321,6.2272,7.7145,0,-9.34,-9.75,0,107,360,0,15,75,0,3.86,15.3,0,841,1247,435,0,131,420,0,30,4,4
1,610.5061,1310.892,2318.8372,3150.3216,2587,6208,8710,9552,105,216,388,516,604,1532,2232,2612,38.7281,100.0032,156.8364,198.6836,16.6736,15.136,4.84,0,65,16,1,0,2,2,1,0,3,4,1,0,0.6698,0.5402,0.1369,0,143.6891,306.918,503.943,661.325,458,1044,1470,1580,25,50,86,112,136,340,492,556,8.8641,21.5754,32.2478,40.4656,11.8336,7.568,0,0,64,8,0,0,1,0,0,2,2,0,0,0.5329,0.2701,0,0,6.5025,7.752,6.5025,13.005,36,42,36,72,1,1,2,1,2,3,6,0.5929,0.5775,0.5929,1.1858,1.24,0,0,7,0,0,1,0,0,0.36,0,0,-0.49,0,0,-1,0,0,-1,-2,-4,0.02,0,0,2.4025,26.474,25.668,15.81,625,1000,750,600,6,4,72,60,72,1.9321,6.3106,5.1986,4.2812,-7.78,-7.26,-4,110,120,76,24,26,12,3.8,4.6,2.48,841,1160,870,696,134,144,92,20,4,4
1,93.903,136.7754,273.402,414.656,1165,2396,3020,2240,12,22,40,50,62,152,160,90,7.8724,17.225,26.854,28.575,13.78885,7.752,0,0,74.5,42,0,0,1.5,1,0,0,1,1,0,0,0.84415,0.5775,0,0,15.7441,15.504,0,0,85,84,0,0,2,2,0,0,2,2,0,0,1.1554,1.155,0,0,9.16805,3.876,0,0,50,21,0,0,0.5,0,0,0.5,0.5,0,0,0.5629,0.28875,0,0,6.5025,7.752,0,0,36,42,0,0,1,0,0,1,1,0,0,0.5929,0.5775,0,0,-0.245,0,0,-0.5,0,0,0,0,0,0.01,0,0,-0.49,0,0,-1,0,0,0,0,0,0.02,0,0,3.3489,29.6277,27.816,0,676,988,910,0,5,0,66,30,0,1.5625,5.725,4.6875,0,-5.21,-6.05,0,118,95,0,25,25,0,2.92,2.5,0,900,1140,1050,0,142,115,0,10,4,3
1,100.5594,151.7268,300.6622,422.6484,1421,2640,3256,3064,13,24,42,52,66,160,176,120,8.9128,18.7458,28.2816,31.1574,17.11705,14.331,7.8432,0,202.5,138,112,0,2,2,1,0,3,4,1,0,1.36435,1.3629,0.765,0,15.7441,15.504,0,0,85,84,0,0,2,2,0,0,2,2,0,0,1.1554,1.155,0,0,10.5376,3.876,3.9216,0,56.5,21,56,0,0.5,0.5,0,0.5,1,0.5,0,0.5477,0.28875,0.3825,0,6.5025,7.752,0,0,36,42,0,0,1,0,0,1,1,0,0,0.5929,0.5775,0,0,0.245,0.23,0,0.5,-4.5,0,-0.5,0,0,-0.01,-0.135,0,-0.49,0,0,-1,0,0,0,0,0,0.02,0,0,3.3489,30.5244,26.9193,4.7214,676,1014,884,416,5,1,66,36,6,1.5625,5.7,4.7125,1.275,-5.7,-5.56,-0.75,117,96,10,25,24,5,2.94,2.48,0.23,900,1170,1020,480,141,116,14,25,4,3
