oxstate,spinmult,charge_lig,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,f-chi-0-ax,f-chi-1-ax,f-chi-2-ax,f-chi-3-ax,f-Z-0-ax,f-Z-1-ax,f-Z-2-ax,f-Z-3-ax,f-I-0-ax,f-I-1-ax,f-I-2-ax,f-I-3-ax,f-T-0-ax,f-T-1-ax,f-T-2-ax,f-T-3-ax,f-S-0-ax,f-S-1-ax,f-S-2-ax,f-S-3-ax,f-chi-0-eq,f-chi-1-eq,f-chi-2-eq,f-chi-3-eq,f-Z-0-eq,f-Z-1-eq,f-Z-2-eq,f-Z-3-eq,f-I-0-eq,f-I-1-eq,f-I-2-eq,f-I-3-eq,f-T-0-eq,f-T-1-eq,f-T-2-eq,f-T-3-eq,f-S-0-eq,f-S-1-eq,f-S-2-eq,f-S-3-eq,lc-chi-0-ax,lc-chi-1-ax,lc-chi-2-ax,lc-chi-3-ax,lc-Z-0-ax,lc-Z-1-ax,lc-Z-2-ax,lc-Z-3-ax,lc-I-1-ax,lc-I-2-ax,lc-I-3-ax,lc-T-0-ax,lc-T-1-ax,lc-T-2-ax,lc-T-3-ax,lc-S-0-ax,lc-S-1-ax,lc-S-2-ax,lc-S-3-ax,lc-chi-0-eq,lc-chi-1-eq,lc-chi-2-eq,lc-chi-3-eq,lc-Z-0-eq,lc-Z-1-eq,lc-Z-2-eq,lc-Z-3-eq,lc-I-1-eq,lc-I-2-eq,lc-I-3-eq,lc-T-0-eq,lc-T-1-eq,lc-T-2-eq,lc-T-3-eq,lc-S-0-eq,lc-S-1-eq,lc-S-2-eq,lc-S-3-eq,D_lc-chi-1-ax,D_lc-chi-2-ax,D_lc-chi-3-ax,D_lc-Z-1-ax,D_lc-Z-2-ax,D_lc-Z-3-ax,D_lc-T-1-ax,D_lc-T-2-ax,D_lc-T-3-ax,D_lc-S-1-ax,D_lc-S-2-ax,D_lc-S-3-ax,D_lc-chi-1-eq,D_lc-chi-2-eq,D_lc-chi-3-eq,D_lc-Z-1-eq,D_lc-Z-2-eq,D_lc-Z-3-eq,D_lc-T-1-eq,D_lc-T-2-eq,D_lc-T-3-eq,D_lc-S-1-eq,D_lc-S-2-eq,D_lc-S-3-eq,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-2-all,mc-I-3-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all
2,1,-4,454.9994,939.19,1743.3702,2357.1479999999997,2676,7200,11214,13440,73,156,270,384,426,1116,1728,2268,31.3279,82.1756,135.6532,179.07,194.4411,435.897,676.7189999999999,850.695,888.0,2016,2952,3156,34.0,72,114,150,186,468,666,726,13.8493,34.7886,51.7902,59.7822,15.8404,0.0,0.0,0.0,81,0,0,0,1,0,0,0,0,0,0,0,0.5041,0.0,0.0,0.0,4.7961,16.7535,33.507,62.415,225.0,270.0,540,630.0,3.0,6.0,12.0,9.0,27.0,54.0,72.0,1.1236,2.4486,4.8972,7.2504,15.8404,0.0,0.0,0.0,81,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,-1.08,-2.16,-2.22,27.0,54.0,138.0,0.0,0.0,12.0,0.87,1.74,5.88,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7556,33.698,25.398000000000003,50.79600000000001,576,1584,864,1728,6,12,72,108,216,1.6129,6.2992,5.8674,11.7348,-10.34,-5.34,-10.68,78,108,216,24,18,36,2.66,3.0,6.0
3,5,-1,109.38799999999999,201.7776,424.374,769.472,4516,6926,11650,2996,21,40,84,140,124,348,520,452,10.3004,26.3692,49.5068,54.7748,14.2946,15.136,4.84,0.0,1437.5,16,1,0,2.0,2,1,0,3,4,1,0,1.2878,0.5402,0.1369,0.0,19.3161,28.908,29.04,0.0,228,90,6,0,4,6,6,0,12,18,6,0,1.5343,2.3532,0.8214,0.0,9.4546,7.568,0.0,0.0,1436.5,8.0,0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.1509,0.2701,0.0,0.0,4.7961,14.454,0.0,0.0,225,45,0.0,0.0,3,0.0,0.0,9,9.0,0.0,0.0,1.1236,1.1766,0.0,0.0,1.24,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.36,0.0,0.0,-0.03,0.0,0.0,42,0.0,0.0,6.0,0.0,0.0,2.07,0.0,0.0,3.5344,27.9368,57.903999999999996,0.0,729,3267,378,0,14,0,120,84,0,1.5876,7.938,6.5268,0.0,-3.58,-4.48,0.0,41,364,0,16,70,0,1.26,12.46,0.0
3,6,0,189.0475,367.0284,683.553,852.084,1628,3964,4794,4380,33,64,118,132,182,432,524,608,13.2671,33.7072,51.3532,59.3056,19.3161,28.908,29.04,0.0,228.0,90,6,0,4.0,6,6,0,12,18,6,0,1.5343,2.3532,0.8214,0.0,36.7666,62.169,78.204,40.128,124,192,126,42,6,10,14,6,24,44,26,6,2.1590000000000003,4.0502,3.6858,1.665,4.7961,14.454,0.0,0.0,225.0,45.0,0,0.0,3.0,0.0,0.0,9.0,9.0,0.0,0.0,1.1236,1.1766,0.0,0.0,9.2416,7.752000000000001,7.752000000000001,20.064,49,42,42.0,21.0,1,1.0,3.0,1,2.0,4.0,3.0,0.5625,0.5775,0.5775,0.8325,-0.03,0.0,0.0,42.0,0.0,0.0,6.0,0.0,0.0,2.07,0.0,0.0,0.49,0.49,2.52,1,1.0,18.0,-1.0,-3.0,0.0,-0.02,-0.02,1.14,3.3489,30.2682,42.821999999999996,18.666,676,1508,780,624,10,4,96,84,96,1.5625,6.4,6.625,3.85,-5.56,-5.1,-2.88,98,230,80,20,46,8,2.38,7.2,1.92
2,5,-4,82.0073,147.4728,302.828,454.08,2220,5248,8104,1280,15,28,54,80,82,216,262,176,8.9001,21.3384,39.7072,30.191999999999997,6.6564,0.0,0.0,0.0,256.0,0,0,0,1.0,0,0,0,0,0,0,0,1.0404,0.0,0.0,0.0,16.3364,22.704,9.68,0.0,258,64,2,0,3,4,2,0,6,8,2,0,1.3142,1.5096,0.2738,0.0,6.6564,0.0,0.0,0.0,256.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0404,0.0,0.0,0.0,6.6564,11.352,0.0,0.0,256,32,0.0,0.0,2,0.0,0.0,4,4.0,0.0,0.0,1.0404,0.7548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,30,0.0,0.0,2.0,0.0,0.0,1.3,0.0,0.0,3.3489,28.3284,32.208,0.0,676,2496,208,0,8,0,84,48,0,1.5625,7.65,3.7,0.0,-4.5,-2.96,0.0,60,200,0,22,40,0,1.38,7.04,0.0
2,2,-4,828.6332,1849.7288,3049.5588,4623.904,4537,12424,21308,31360,141,304,514,788,818,2192,3592,5184,59.1164,155.65,261.0546,385.958,23.6672,23.6672,0.0,0.0,128.0,128,0,0,2.0,2,0,0,2,2,0,0,1.0658,1.0658,0.0,0.0,194.4411,435.897,676.7189999999999,850.695,888,2016,2952,3156,34,72,114,150,186,468,666,726,13.8493,34.7886,51.7902,59.7822,11.8336,11.8336,0.0,0.0,64.0,64.0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5329,0.5329,0.0,0.0,4.7961,16.7535,33.507,62.415,225,270,540.0,630.0,3,6.0,12.0,9,27.0,54.0,72.0,1.1236,2.4486,4.8972,7.2504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.08,-2.16,-2.22,27,54.0,138.0,0.0,0.0,12.0,0.87,1.74,5.88,3.5344,29.4032,70.4624,115.056,729,2052,2376,3888,14,24,120,228,432,1.5876,7.182,13.482000000000001,23.2848,-4.36,-11.16,-16.08,86,290,504,16,46,72,1.86,6.94,11.76
2,5,-1,123.7802,220.09,442.3608,809.633,1675,4116,5734,3256,23,44,88,144,132,364,554,552,10.3051,27.4112,47.1056,58.6084,21.8801,27.744,19.976,0.0,93.5,102,17,0,3.0,4,3,0,7,10,3,0,1.2775,1.7094,0.6771,0.0,19.3161,28.908,29.04,0.0,228,90,6,0,4,6,6,0,12,18,6,0,1.5343,2.3532,0.8214,0.0,9.16805,8.262,7.568,0.0,50.0,45.0,8,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.5629,0.5698,0.2701,0.0,4.7961,14.454,0.0,0.0,225,45,0.0,0.0,3,0.0,0.0,9,9.0,0.0,0.0,1.1236,1.1766,0.0,0.0,0.2,1.24,0.0,0.5,7.0,0.0,-1.0,0.0,0.0,-0.01,0.36,0.0,-0.03,0.0,0.0,42,0.0,0.0,6.0,0.0,0.0,2.07,0.0,0.0,2.7556,24.485,53.1034,7.303999999999999,576,1776,600,48,14,2,120,96,12,1.6129,7.2898,7.5692,0.9398,-4.79,-8.75,-1.08,70,311,46,16,68,10,1.88,11.82,1.8
3,1,-2,111.1551,189.606,376.7582,753.7056,1707,4128,5536,3216,21,40,82,140,122,344,520,456,10.3801,27.7912,47.527,56.9436,15.7441,15.504000000000001,0.0,0.0,85.0,84,0,0,2.0,2,0,0,2,2,0,0,1.1554,1.155,0.0,0.0,19.3161,28.908,29.04,0.0,228,90,6,0,4,6,6,0,12,18,6,0,1.5343,2.3532,0.8214,0.0,6.5025,7.752000000000001,0.0,0.0,36.0,42.0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5929,0.5775,0.0,0.0,4.7961,14.454,0.0,0.0,225,45,0.0,0.0,3,0.0,0.0,9,9.0,0.0,0.0,1.1236,1.1766,0.0,0.0,-0.49,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,-0.03,0.0,0.0,42,0.0,0.0,6.0,0.0,0.0,2.07,0.0,0.0,2.4025,21.483,50.343999999999994,0.0,625,1800,650,0,14,0,120,84,0,1.9321,8.0342,8.2566,0.0,-4.56,-10.78,0.0,78,324,0,16,70,0,2.56,13.52,0.0
3,5,-2,135.9542,237.5264,458.9884,814.1488,1939,4716,6022,3888,23,44,86,144,130,360,552,552,11.1014,28.436,47.8734,60.6068,27.5777,33.048,20.9152,0.0,149.0,180,112,0,3.0,4,2,0,6,8,2,0,1.6883,2.2792,1.095,0.0,19.3161,28.908,29.04,0.0,228,90,6,0,4,6,6,0,12,18,6,0,1.5343,2.3532,0.8214,0.0,9.2416,7.752000000000001,10.4576,0.0,49.0,42.0,56,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.5625,0.5775,0.5475,0.0,4.7961,14.454,0.0,0.0,225,45,0.0,0.0,3,0.0,0.0,9,9.0,0.0,0.0,1.1236,1.1766,0.0,0.0,0.49,-0.4,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,-0.02,0.02,0.0,-0.03,0.0,0.0,42,0.0,0.0,6.0,0.0,0.0,2.07,0.0,0.0,3.5344,27.8992,59.22,12.9344,729,1998,648,432,14,2,120,96,12,1.5876,7.2324,7.5348,1.8396,-3.56,-5.18,-3.12,88,354,38,16,68,10,1.82,11.66,1.06
2,6,-2,98.1661,180.358,354.34,640.552,1965,4648,6804,1616,18,34,66,110,100,276,382,302,9.2025,23.9664,41.6892,39.9156,15.209000000000001,20.064,14.52,0.0,154.0,21,3,0,2.5,3,3,0,6,9,3,0,1.0068,0.8325,0.4107,0.0,16.3364,22.704,9.68,0.0,258,64,2,0,3,4,2,0,6,8,2,0,1.3142,1.5096,0.2738,0.0,7.949,10.032,0.0,0.0,152.5,10.5,0,0.0,1.5,0.0,0.0,4.5,4.5,0.0,0.0,0.80145,0.41625,0.0,0.0,6.6564,11.352,0.0,0.0,256,32,0.0,0.0,2,0.0,0.0,4,4.0,0.0,0.0,1.0404,0.7548,0.0,0.0,1.26,0.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.57,0.0,0.0,0.76,0.0,0.0,30,0.0,0.0,2.0,0.0,0.0,1.3,0.0,0.0,2.4025,24.706999999999997,37.51,0.0,625,2175,275,0,11,0,102,66,0,1.9321,8.1315,5.6573,0.0,-6.64,-7.15,0.0,63,264,0,19,55,0,2.49,11.22,0.0
3,2,-4,69.6902,107.6824,289.6098,338.712,12268,11796,47178,2724,13,24,54,60,78,192,192,96,11.7571,23.604,53.3124,28.3272,19.3161,28.908,29.04,0.0,228.0,90,6,0,4.0,6,6,0,12,18,6,0,1.5343,2.3532,0.8214,0.0,7.0756,0.0,0.0,0.0,2809,0,0,0,1,0,0,0,0,0,0,0,1.7689,0.0,0.0,0.0,4.7961,14.454,0.0,0.0,225.0,45.0,0,0.0,3.0,0.0,0.0,9.0,9.0,0.0,0.0,1.1236,1.1766,0.0,0.0,7.0756,0.0,0.0,0.0,2809,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.7689,0.0,0.0,0.0,-0.03,0.0,0.0,42.0,0.0,0.0,6.0,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7556,24.9332,21.912,0.0,576,5808,144,0,6,0,72,36,0,1.6129,9.4488,2.8194,0.0,-5.06,-3.24,0.0,-98,138,0,24,30,0,0.18,5.4,0.0
3,1,0,161.9901,301.69599999999997,618.236,832.64,1137,2864,3410,2692,25,48,86,116,134,336,476,576,9.4769,24.6728,38.0734,47.254,23.7616,40.128,29.04,0.0,52.0,42,6,0,4.0,6,6,0,12,18,6,0,0.9732,1.665,0.8214,0.0,28.0161,39.984,39.952,0.0,102,120,34,0,4,6,6,0,12,18,6,0,1.3996,2.2638,1.3542,0.0,9.2416,20.064,0.0,0.0,49.0,21.0,0,0.0,3.0,0.0,0.0,9.0,9.0,0.0,0.0,0.5625,0.8325,0.0,0.0,11.8336,8.772,15.136,0.0,64,48,16.0,0.0,1,2.0,0.0,1,3.0,2.0,0.0,0.5329,0.5621,0.5402,0.0,2.52,0.0,0.0,18.0,0.0,0.0,6.0,0.0,0.0,1.14,0.0,0.0,0.89,2.48,0.0,2,14.0,0.0,-2.0,0.0,0.0,-0.04,0.72,0.0,2.4025,30.752,36.27,27.28,625,1150,750,200,10,8,96,108,48,1.9321,6.1438,7.367000000000001,4.1144,-10.54,-7.9,-5.2,104,220,192,20,42,40,3.92,8.6,8.16
2,5,-5,195.4542,341.5188,645.0228,775.7616,1587,3524,4510,5416,25,50,82,110,132,330,470,534,13.0313,30.169,45.2266,57.5706,40.89725,69.564,99.77,98.37299999999999,157.5,258,290,180,6.0,11,16,17,27,63,76,56,2.3578,4.9511,6.3608,5.1451,27.5777,33.048,20.9152,0.0,149,180,112,0,3,4,2,0,6,8,2,0,1.6883,2.2792,1.095,0.0,12.540999999999999,7.752000000000001,14.44,10.564,65.0,42.0,49,28.0,1.0,2.0,1.5,2.0,6.0,8.0,5.0,0.5333,0.5775,0.855,0.56625,9.2416,7.752000000000001,10.4576,0.0,49,42,56.0,0.0,1,1.0,0.0,1,2.0,1.0,0.0,0.5625,0.5775,0.5475,0.0,0.49,1.33,1.085,1.0,7.0,6.5,-1.0,0.0,0.5,-0.02,0.36,0.37,0.49,-0.4,0.0,1,-1.0,0.0,-1.0,0.0,0.0,-0.02,0.02,0.0,3.3489,35.0994,27.999000000000002,42.5658,676,1144,936,1196,6,8,72,84,72,1.5625,5.575,5.775,6.5,-8.2,-4.32,-8.62,112,120,162,24,22,36,3.04,2.88,4.8
2,5,0,323.1975,706.1664,1273.282,1770.192,1816,4592,7120,8976,53,112,190,276,302,792,1264,1712,21.2077,55.2864,89.4206,124.8564,28.0161,39.984,39.952,0.0,102.0,120,34,0,4.0,6,6,0,12,18,6,0,1.3996,2.2638,1.3542,0.0,65.9541,139.128,199.54,196.74599999999998,234,516,580,360,11,22,32,34,54,126,152,112,4.2115,9.9022,12.7216,10.2902,11.8336,8.772,15.136,0.0,64.0,48.0,16,0.0,1.0,2.0,0.0,1.0,3.0,2.0,0.0,0.5329,0.5621,0.5402,0.0,9.2416,15.504000000000001,28.88,21.128,49,84,98.0,56.0,2,4.0,3.0,4,12.0,16.0,10.0,0.5625,1.155,1.71,1.1325,0.89,2.48,0.0,2.0,14.0,0.0,-2.0,0.0,0.0,-0.04,0.72,0.0,0.98,2.66,2.17,2,14.0,13.0,-2.0,0.0,1.0,-0.04,0.72,0.74,3.3489,34.8432,46.665,85.64399999999999,676,1144,1560,1560,10,20,96,180,216,1.5625,5.575,9.625,13.25,-8.06,-7.2,-10.2,112,200,460,20,30,84,3.04,4.8,14.4
2,1,-9,134.7784,195.2584,443.5552,644.3168,1235,2896,3634,2788,13,24,44,60,68,172,192,116,7.1869,16.418,25.4112,26.5716,18.677,15.136,4.84,0.0,73.5,16,1,0,2.0,2,1,0,3,4,1,0,0.6554,0.5402,0.1369,0.0,23.6672,23.6672,0.0,0.0,128,128,0,0,2,2,0,0,2,2,0,0,1.0658,1.0658,0.0,0.0,13.837,7.568,0.0,0.0,72.5,8.0,0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.5185,0.2701,0.0,0.0,11.8336,11.8336,0.0,0.0,64,64,0.0,0.0,1,0.0,0.0,1,1.0,0.0,0.0,0.5329,0.5329,0.0,0.0,1.24,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7556,35.1588,30.1456,0.0,576,1176,816,0,6,0,72,36,0,1.6129,5.5372,4.6482,0.0,-11.22,-8.2,0.0,95,110,0,24,30,0,3.26,3.96,0.0
3,1,-1,123.5171,222.85,435.82099999999997,842.38,1202,2952,3206,1606,19,36,68,120,104,292,426,356,7.8486,21.0348,34.0306,37.9602,17.5301,22.206,14.52,0.0,156.5,87,3,0,3.0,4,3,0,7,10,3,0,1.34485,1.7541,0.4107,0.0,21.5136,30.272,9.68,0.0,66,32,2,0,3,4,2,0,6,8,2,0,0.8067,1.0804,0.2738,0.0,5.6493,11.103,0.0,0.0,130.5,43.5,0,0.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.85825,0.87705,0.0,0.0,11.8336,15.136,0.0,0.0,64,16,0.0,0.0,2,0.0,0.0,4,4.0,0.0,0.0,0.5329,0.5402,0.0,0.0,-0.26,0.0,0.0,20.5,0.0,0.0,3.0,0.0,0.0,1.045,0.0,0.0,2.48,0.0,0.0,14,0.0,0.0,2.0,0.0,0.0,0.72,0.0,0.0,2.4025,28.675,42.222,0.0,625,1325,450,0,12,0,108,72,0,1.9321,6.6025,6.6998,0.0,-9.2,-8.64,0.0,97,282,0,18,60,0,3.59,11.86,0.0
3,5,-8,118.7438,230.09599999999998,488.7012,538.82,1935,4458,6298,3190,20,40,78,92,118,294,374,356,11.2784,27.0796,46.7598,42.2276,44.85785,89.62799999999999,114.29,98.37299999999999,143.0,279,293,180,7.5,14,19,17,33,72,79,56,2.59235,5.7836,6.7715,5.1451,6.6564,0.0,0.0,0.0,256,0,0,0,1,0,0,0,0,0,0,0,1.0404,0.0,0.0,0.0,9.2416,17.784000000000002,14.44,10.564,49.0,52.5,49,28.0,2.5,2.0,1.5,6.5,10.5,8.0,5.0,0.5625,0.99375,0.855,0.56625,6.6564,0.0,0.0,0.0,256,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0404,0.0,0.0,0.0,1.75,1.33,1.085,10.0,7.0,6.5,2.0,0.0,0.5,0.55,0.36,0.37,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4025,25.42,18.135,14.725,625,1950,375,350,5,4,66,54,48,1.9321,7.7562,3.6835,3.1692,-7.1,-3.95,-3.3,72,110,86,25,21,16,2.76,4.3,3.28
2,6,0,153.0991,273.986,562.561,775.52,1489,3760,4786,3556,25,48,86,116,134,336,476,576,10.5991,27.7728,42.8164,52.4496,19.3161,28.908,29.04,0.0,228.0,90,6,0,4.0,6,6,0,12,18,6,0,1.5343,2.3532,0.8214,0.0,28.0161,39.984,39.952,0.0,102,120,34,0,4,6,6,0,12,18,6,0,1.3996,2.2638,1.3542,0.0,4.7961,14.454,0.0,0.0,225.0,45.0,0,0.0,3.0,0.0,0.0,9.0,9.0,0.0,0.0,1.1236,1.1766,0.0,0.0,11.8336,8.772,15.136,0.0,64,48,16.0,0.0,1,2.0,0.0,1,3.0,2.0,0.0,0.5329,0.5621,0.5402,0.0,-0.03,0.0,0.0,42.0,0.0,0.0,6.0,0.0,0.0,2.07,0.0,0.0,0.89,2.48,0.0,2,14.0,0.0,-2.0,0.0,0.0,-0.04,0.72,0.0,2.4025,28.116999999999997,36.27,27.28,625,1550,750,200,10,8,96,108,48,1.9321,7.0056,7.367000000000001,4.1144,-8.84,-7.9,-5.2,88,220,192,20,42,40,3.3,8.6,8.16
3,1,0,469.681,1036.8324,1770.273,2729.676,3417,9252,15270,17400,85,180,318,504,498,1356,2268,3180,35.4234,95.0172,163.4052,238.8852,194.4411,435.897,676.7189999999999,850.695,888.0,2016,2952,3156,34.0,72,114,150,186,468,666,726,13.8493,34.7886,51.7902,59.7822,19.3161,28.908,29.04,0.0,228,90,6,0,4,6,6,0,12,18,6,0,1.5343,2.3532,0.8214,0.0,4.7961,16.7535,33.507,62.415,225.0,270.0,540,630.0,3.0,6.0,12.0,9.0,27.0,54.0,72.0,1.1236,2.4486,4.8972,7.2504,4.7961,14.454,0.0,0.0,225,45,0.0,0.0,3,0.0,0.0,9,9.0,0.0,0.0,1.1236,1.1766,0.0,0.0,-1.08,-2.16,-2.22,27.0,54.0,138.0,0.0,0.0,12.0,0.87,1.74,5.88,-0.03,0.0,0.0,42,0.0,0.0,6.0,0.0,0.0,2.07,0.0,0.0,3.5344,24.7032,78.396,57.528,729,2430,1296,1944,18,12,144,180,216,1.5876,8.0136,11.4156,11.6424,-1.86,-7.86,-8.04,72,438,252,12,78,36,1.2,13.62,5.88
3,5,-4,202.137,413.3984,798.328,1096.292,1457,3580,4434,4408,31,64,110,164,174,460,690,796,12.6898,33.1036,53.2142,65.6012,65.9541,139.128,199.54,196.74599999999998,234.0,516,580,360,11.0,22,32,34,54,126,152,112,4.2115,9.9022,12.7216,10.2902,16.6736,15.136,0.0,0.0,65,16,0,0,2,2,0,0,2,2,0,0,0.6698,0.5402,0.0,0.0,9.2416,15.504000000000001,28.88,21.128,49.0,84.0,98,56.0,2.0,4.0,3.0,4.0,12.0,16.0,10.0,0.5625,1.155,1.71,1.1325,11.8336,7.568,0.0,0.0,64,8,0.0,0.0,1,0.0,0.0,1,1.0,0.0,0.0,0.5329,0.2701,0.0,0.0,0.98,2.66,2.17,2.0,14.0,13.0,-2.0,0.0,1.0,-0.04,0.72,0.74,1.24,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,3.5344,37.2992,35.72,35.72,729,1242,756,756,8,8,84,96,96,1.5876,5.5692,5.7456,5.7456,-8.56,-3.96,-3.96,116,188,188,22,32,32,3.14,5.52,5.52
3,6,-6,101.7241,140.0392,424.9512,321.728,1098,2664,2290,336,11,20,38,40,58,136,130,64,5.2499,13.0108,19.3958,10.6856,15.8404,0.0,0.0,0.0,81.0,0,0,0,1.0,0,0,0,0,0,0,0,0.5041,0.0,0.0,0.0,16.6736,15.136,0.0,0.0,65,16,0,0,2,2,0,0,2,2,0,0,0.6698,0.5402,0.0,0.0,15.8404,0.0,0.0,0.0,81.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,11.8336,7.568,0.0,0.0,64,8,0.0,0.0,1,0.0,0.0,1,1.0,0.0,0.0,0.5329,0.2701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,3.3489,39.7476,16.104,0.0,676,1300,104,0,4,0,60,24,0,1.5625,5.425,1.85,0.0,-10.74,-1.48,0.0,106,100,0,26,20,0,3.16,3.52,0.0
3,4,-6,62.7388,61.751999999999995,285.9768,0.0,11974,11040,41502,0,7,12,30,0,42,72,30,0,9.6967,17.1196,37.3438,0.0,15.8404,0.0,0.0,0.0,81.0,0,0,0,1.0,0,0,0,0,0,0,0,0.5041,0.0,0.0,0.0,7.0756,0.0,0.0,0.0,2809,0,0,0,1,0,0,0,0,0,0,0,1.7689,0.0,0.0,0.0,15.8404,0.0,0.0,0.0,81.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5041,0.0,0.0,0.0,7.0756,0.0,0.0,0.0,2809,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.7689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7556,30.875999999999998,0.0,0.0,576,5520,0,0,0,0,36,0,0,1.6129,8.5598,0.0,0.0,-8.64,0.0,0.0,-86,0,0,30,0,0,0.88,0.0,0.0
3,2,-4,245.5679,477.2064,834.6528,1133.5536,1740,3936,5574,7200,35,72,118,172,190,492,754,940,16.7387,40.1712,62.0982,85.4804,65.9541,139.128,199.54,196.74599999999998,234.0,516,580,360,11.0,22,32,34,54,126,152,112,4.2115,9.9022,12.7216,10.2902,27.5777,33.048,20.9152,0.0,149,180,112,0,3,4,2,0,6,8,2,0,1.6883,2.2792,1.095,0.0,9.2416,15.504000000000001,28.88,21.128,49.0,84.0,98,56.0,2.0,4.0,3.0,4.0,12.0,16.0,10.0,0.5625,1.155,1.71,1.1325,9.2416,7.752000000000001,10.4576,0.0,49,42,56.0,0.0,1,1.0,0.0,1,2.0,1.0,0.0,0.5625,0.5775,0.5475,0.0,0.98,2.66,2.17,2.0,14.0,13.0,-2.0,0.0,1.0,-0.04,0.72,0.74,0.49,-0.4,0.0,1,-1.0,0.0,-1.0,0.0,0.0,-0.02,0.02,0.0,3.3489,33.3792,37.332,59.9508,676,1092,1248,1560,8,12,84,120,120,1.5625,5.625,7.7,9.35,-7.26,-5.76,-10.8,114,160,252,22,28,52,3.0,3.84,7.52
