"ax1_MLB","ax2_MLB","eq_MLB"
1.98275039788,1.98275039788,"1.98319734382"
1.89879332704,1.89877987629,"2.05107176714"
1.9781878854,1.9781878854,"1.97869199551"
1.9341583642,1.93407761941,"1.93412192028"
1.97571925284,1.97553809005,"1.97558728602"
1.88677744128,1.88677195105,"2.05661066451"
2.08659828964,2.08511221867,"1.95863726299"
2.06195134924,2.05735935146,"1.96306177434"
2.06644436808,2.07055355325,"2.07243995047"
1.92425112294,1.92420527735,"1.92428932818"
1.88548201421,1.88562676005,"1.94201839123"
2.01574171581,2.01574114711,"2.01579386318"
2.49761020703,2.49743749206,"2.51036119919"
1.9456333941,1.9456333941,"1.94653091023"
2.29436494323,2.29383584087,"1.99223238322"
2.49812825147,2.49736473318,"2.50373815937"
1.95282328739,1.95282328739,"1.95269650424"
2.37848974998,2.37855954197,"2.04374936845"
2.01773681503,2.01772533906,"2.01517137551"
1.8346431064,1.8346556161,"2.34387258176"
1.827757144,1.8277600026,"2.35317401141"
1.95736873505,1.95736873505,"1.94911773135"
2.04311035843,2.0431040617,"2.10183331423"
1.9662947025,1.9662947191,"1.96629439485"
2.03906424281,2.03904737324,"2.10039521725"
1.94302983674,1.94302181035,"1.94327964777"
1.94266649762,1.94266719781,"1.94306600687"
2.01070768936,2.01070768936,"2.01190786756"
2.00922611997,2.00923443964,"2.01235553588"
1.9682984088,1.968298321,"1.96829807755"
2.01261648797,2.01261648797,"2.01058476045"
1.92079309443,1.92083318122,"1.91649857512"
2.10644947181,2.10646207931,"1.94731898204"
1.98187516208,1.98194569573,"2.0095979163"
2.44279795506,2.43994175137,"2.45330732463"
2.41535822138,2.41618704028,"2.41506396484"
2.44126371763,2.43841999074,"2.45145132504"
2.41964537283,2.42024532568,"2.41933745631"
2.41940819353,2.4194068312,"2.41940763925"
2.42645704895,2.42645541082,"2.4264561596"
1.93766129507,1.9376627761,"1.93769206069"
2.28298684466,2.28497400515,"1.92663856747"
1.97866194525,1.97863218136,"1.9179957246"
1.93344419834,1.93352409903,"1.93654636501"
2.40072446235,2.40072402245,"2.40072408671"
2.00577101246,2.00563635186,"1.93147543469"
2.01175422659,2.01166266166,"1.92539095341"
1.94468714053,1.94483997139,"1.9918643165"
1.94113373746,1.94117878338,"1.99845099756"
2.39610401979,2.39854298434,"2.39535644079"
1.93473016908,1.93473016908,"1.93753587172"
1.92112979739,1.92116860685,"1.91280093543"
2.1489056376,2.14780800203,"2.12242030503"
1.96109158651,1.96109199036,"1.91399995552"
1.95458464083,1.95460307198,"2.01339040388"
1.95592214177,1.95598967752,"2.01097109649"
1.9568897655,1.9568720423,"1.92218628416"
2.05248037661,2.0543300821,"2.05711053077"
1.9131689363,1.91346460482,"1.99514833577"
1.89183571203,1.89180728301,"1.93671534426"
2.05076224177,2.05076224177,"2.05064788076"
1.98410626228,1.98410626228,"1.98441036616"
1.98214971289,1.98214971289,"1.982479348"
2.05281556854,2.05281556854,"2.05272978854"
2.07975141363,2.07984523668,"2.03001610333"
1.96634194694,1.97379077157,"1.94770844764"
1.96107999858,1.96886544624,"1.94173469189"
1.92039100599,1.92037473815,"2.45458418244"
1.92330766577,1.92342031342,"2.01582109172"
2.03784706491,2.03773239192,"2.04000578294"
2.4602275854,2.46023454378,"2.46167058674"
2.02420578708,2.02423042404,"2.095847167"
1.92096103684,1.92088335787,"1.92106155575"
1.99416499552,1.99418535036,"1.99418514391"
1.98729179107,1.98728742976,"1.98725697148"
2.39788120998,2.39827882666,"1.94859984355"
2.264779222,2.26483646524,"1.90464250691"
2.40929691839,2.4092318258,"1.94484985588"
1.98359658594,1.98379074139,"1.93482514729"
2.06529517166,2.06530773533,"1.95026374746"
1.98133764127,1.98134715213,"1.92985353527"
2.3821876361,2.38195066113,"2.03141962237"
2.09850434214,2.0985043284,"2.100700176"
2.10646009792,2.10645901277,"2.10807163532"
1.98395825731,1.98395825731,"1.9843575902"
1.98896701506,1.98896701506,"1.98933125712"
2.49672309142,2.49650422094,"2.50937781895"
2.55624691253,2.55624562442,"1.97490378315"
2.0936910259,2.09369112149,"1.98248087529"
2.5503649328,2.55036371906,"1.97120830627"
2.01347402723,2.01404257559,"2.01146928227"
1.97222194998,1.97205419849,"1.97209848288"
1.98710066162,1.98714785769,"2.02330703349"
1.89662298355,1.89660738689,"2.0612384287"
1.94541329655,1.94541317621,"1.94545967929"
1.87397893588,1.8739797958,"2.0553508029"
1.90223769903,1.90225496323,"1.92730240617"
1.91332212718,1.91326495422,"1.9180547125"
1.9529283399,1.9528952208,"2.47440598938"
1.95352122718,1.95356235375,"2.4645947198"
2.37438114315,2.37442703634,"2.04853786135"
2.37848974998,2.37855954197,"2.04374936845"
1.96156778885,1.96156778885,"1.9529890015"
1.96670865802,1.96670865802,"1.9569289099"
2.04647241151,2.04645560751,"2.10299337723"
2.05134418526,2.05140935571,"2.10650903064"
1.93123546363,1.93118125784,"1.93120178997"
1.9422802679,1.94228241615,"1.94219799306"
1.94132645423,1.94131780615,"1.94112238939"
1.88035115701,1.88035074191,"2.30526622542"
2.0127937587,2.01279786151,"2.01402773265"
1.97205088292,1.98296409285,"1.95356369962"
2.41097942383,2.41098098726,"2.03098050601"
2.41832652269,2.41885934907,"2.05147013144"
2.42350392436,2.42589625984,"2.05539458415"
1.92215047689,1.92215047689,"1.92619262295"
1.92652552051,1.92652552051,"1.92991046735"
2.42032957614,2.4203236983,"2.02888024391"
2.44194874792,2.44194609113,"2.44194750539"
2.43393163096,2.43392912928,"2.4339305144"
1.9750730164,1.97504363082,"1.91377019558"
2.41118228509,2.41272207835,"2.41116151683"
2.40640434555,2.40771939138,"2.40622487752"
2.01534930474,2.01509049686,"1.92043469578"
1.94782214346,1.94781795175,"1.98448313265"
1.94655515465,1.94653008686,"1.9880335152"
2.05437217312,2.05437217312,"2.05614968928"
2.10330013572,2.1026767042,"1.95232876798"
1.91703375838,1.91678102153,"2.33388960574"
1.93971057666,1.93969606277,"2.34352179578"
1.93870153914,1.93868736076,"2.33820697937"
